"","gene","logFC","AveExpr","t","P.Value","adj.P.Val","seq","gene_len","blast","diamond","interpro","anno","length","b.status.final","cov.04v13","b.status","b.status.asn","b.status.kmer"
"20","g23629",2.7092732617034,-1.0988842278202,3.28335795960332,0.00153766057559502,0.0118668475621301,"scaffold_497",1468,"MYRO1_BREBR","A0A2J7PTJ0","Glycosyl hydrolase family 1","Y",224833,"B3",-0.0553107531962105,"B.loose","A","A"
"21","g12541",3.20943255807057,-4.336397959733,3.24403872791849,0.00169407726719701,0.0128436128923077,"scaffold_2066",1166,"RDX_DROME","A0A484BP37","BTB/POZ domain","Y",6652,"B3",-1.025073,"A","B","A"
"22","g226",-4.72908881290624,-2.65381304221645,-3.21786822477825,0.00182751153138555,0.0136798034595101,"scaffold_360",2471,NA,NA,NA,"N",372701,"B2",1.18624546871373,"A","A","B"
"23","g215",-4.89880739493036,-2.65916733799116,-3.05637624469876,0.00272081986355365,0.0192282893410355,"scaffold_360",569,NA,NA,NA,"N",372701,"B2",1.18624546871373,"A","A","B"
"24","g192",-5.21576606288451,-1.9672643807492,-3.0270524650463,0.00294191320817491,0.0206584010262439,"scaffold_360",1736,NA,NA,NA,"N",372701,"B2",1.18624546871373,"A","A","B"
"25","g13962",-2.59167284509521,2.72859157409216,-2.96122304904276,0.00335235577718584,0.0230654379693422,"scaffold_632",337,NA,NA,NA,"N",119487,"B2",0.302034684679189,"B.loose","A","A"
"26","g6318",-2.35674744000807,2.15718324830503,-2.96031954202887,0.00335934608768769,0.0231050549515981,"scaffold_1079",1126,NA,NA,NA,"N",21898,"B2",0.4765863,"B.loose","A","A"
"27","g111",-4.64610684751242,-2.24688358432873,-2.90883308604378,0.00386585841889658,0.0258675872576345,"scaffold_360",704,NA,NA,NA,"N",372701,"B2",1.18624546871373,"A","A","B"
"28","g157",-4.60931545018415,-2.0375533107412,-2.86517794495733,0.0042878461328099,0.0282476553563081,"scaffold_360",3449,NA,NA,NA,"N",372701,"B2",1.18624546871373,"A","A","B"
"29","g153",-4.03703323281654,-3.28668461069848,-2.83212761910507,0.00459048051983084,0.0298739740598085,"scaffold_360",821,NA,NA,NA,"N",372701,"B2",1.18624546871373,"A","A","B"
"30","g127",-4.78633696071309,-1.4775711796785,-2.79213751295847,0.00512249363116443,0.0327563550786841,"scaffold_360",1667,NA,NA,NA,"N",372701,"B2",1.18624546871373,"A","A","B"
"31","g149",-3.78546750344376,-2.28044714706878,-2.77459902733172,0.0052378784974296,0.0333487742027433,"scaffold_360",607,NA,NA,"Zinc finger, C3HC4 type (RING finger)","Y",372701,"B2",1.18624546871373,"A","A","B"
"32","g4587",-1.61578579360794,2.65233464174433,-2.71169100542768,0.00601917591012273,0.0375552509613614,"scaffold_640",292,NA,NA,NA,"N",113869,"B3",-0.411957789294194,"B.loose","A","A"
"33","g194",-4.4000585727222,-2.27759354685403,-2.71032019209608,0.00615501021168311,0.0383262326332935,"scaffold_360",365,NA,NA,NA,"N",372701,"B2",1.18624546871373,"A","A","B"
"34","g121",-5.68733003665763,-0.937392376102981,-2.71531777810672,0.0063198710227231,0.0391965801538324,"scaffold_360",1523,NA,NA,NA,"N",372701,"B2",1.18624546871373,"A","A","B"
"35","g188",-5.31283647226418,-0.985699611009588,-2.69109674702249,0.00660919056239318,0.040694815715701,"scaffold_360",362,NA,NA,NA,"N",372701,"B2",1.18624546871373,"A","A","B"
"36","g183",-5.22357325172386,-1.05834432421835,-2.68704152064535,0.00665332762695272,0.0408592334352232,"scaffold_360",1457,NA,NA,NA,"N",372701,"B2",1.18624546871373,"A","A","B"
"37","g168",-3.99239573383543,-3.36636766751385,-2.60551017619687,0.00778199011503857,0.0465790562145052,"scaffold_360",506,NA,NA,NA,"N",372701,"B2",1.18624546871373,"A","A","B"
"38","g173",-5.50580758817885,-0.960876580111682,-2.62382715350541,0.00779938593364572,0.0466594406094204,"scaffold_360",815,NA,NA,NA,"N",372701,"B2",1.18624546871373,"A","A","B"
"39","g5248",-2.68983033461694,-0.13016525991191,-2.594178852136,0.00788106744599712,0.0469831903163752,"scaffold_814",1116,"CATA_ASCSU","A0A2J7REJ5","Catalase-related immune-responsive,Catalase","Y",43109,"B3",-0.131942928822252,"B.loose","A","A"
"40","g163",-3.93252195297222,-3.20103703375878,-2.59018087285709,0.00805139697817272,0.0478768290338599,"scaffold_360",248,NA,NA,NA,"N",372701,"B2",1.18624546871373,"A","A","B"
