"","gene","B.males.tpm","B.females.tpm","nonB.males.tpm","nonB.females.tpm","seq","gene_len","blast","diamond","interpro","anno","length","b.status.final","cov.04v13","BmalevnoBmale","BmalevsfemaleB","BmalevsfemalenoB","BfemalevsnoBfemale","noBmalevsnoBfemale"
"29","g20084",0.202857142857143,0.13,0,0,"scaffold_552",1170,NA,"A0A0J7N8Y6","Integrase zinc binding domain","Y",189883,"B1",1.94663466562078,0,0,0,0,0
"30","g20085",1.67571428571429,2.30333333333333,0.00571428571428571,0,"scaffold_552",1087,NA,NA,NA,"N",189883,"B1",1.94663466562078,1,0,1,1,0
"31","g20086",0,0,0,0,"scaffold_552",742,NA,NA,NA,"N",189883,"B1",1.94663466562078,NA,NA,NA,NA,NA
"32","g20087",0.0528571428571429,0.0466666666666667,0,0,"scaffold_552",737,NA,NA,NA,"N",189883,"B1",1.94663466562078,NA,NA,NA,NA,NA
"33","g20088",0.00857142857142857,0,0,0,"scaffold_552",677,NA,NA,NA,"N",189883,"B1",1.94663466562078,NA,NA,NA,NA,NA
"34","g20089",0.0442857142857143,0.0266666666666667,0,0,"scaffold_552",1599,NA,NA,NA,"N",189883,"B1",1.94663466562078,0,0,0,0,0
"35","g20090",0.0242857142857143,0.025,0,0,"scaffold_552",686,NA,NA,"Protein of unknown function (DUF1759)","Y",189883,"B1",1.94663466562078,NA,NA,NA,NA,NA
"36","g20091",0.0171428571428571,0,0,0,"scaffold_552",1279,NA,NA,NA,"N",189883,"B1",1.94663466562078,NA,NA,NA,NA,NA
"37","g20092",0.00571428571428571,0.00333333333333333,0,0,"scaffold_552",2589,NA,"A0A0R3QBG2","Endonuclease-reverse transcriptase,Reverse transcriptase (RNA-dependent DNA polymerase)","Y",189883,"B1",1.94663466562078,NA,NA,NA,NA,NA
"38","g20093",0.00428571428571429,0,0,0,"scaffold_552",1501,NA,NA,NA,"N",189883,"B1",1.94663466562078,NA,NA,NA,NA,NA
"39","g20094",0,0,0,0,"scaffold_552",405,NA,NA,NA,"N",189883,"B1",1.94663466562078,NA,NA,NA,NA,NA
"40","g20095",0.0128571428571429,0,0,0,"scaffold_552",928,NA,NA,NA,"N",189883,"B1",1.94663466562078,NA,NA,NA,NA,NA
"41","g20096",0,0,0.0457142857142857,0.0283333333333333,"scaffold_552",526,NA,NA,NA,"N",189883,"B1",1.94663466562078,NA,NA,NA,NA,NA
"42","g20097",0,0,0,0,"scaffold_552",552,NA,"T1HLH9",NA,"Y",189883,"B1",1.94663466562078,NA,NA,NA,NA,NA
"43","g20098",0,0,0,0,"scaffold_552",1001,NA,NA,NA,"N",189883,"B1",1.94663466562078,NA,NA,NA,NA,NA
"44","g20099",0.01,0,0,0,"scaffold_552",1158,NA,NA,NA,"N",189883,"B1",1.94663466562078,NA,NA,NA,NA,NA
"45","g20100",0.00285714285714286,0.0183333333333333,0.00142857142857143,0,"scaffold_552",3042,NA,"A0A087T926","Immunoglobulin I-set domain,MULE transposase domain","Y",189883,"B1",1.94663466562078,NA,NA,NA,NA,NA
"46","g20101",0,0,0,0,"scaffold_552",475,NA,NA,NA,"N",189883,"B1",1.94663466562078,NA,NA,NA,NA,NA
"47","g20102",0.03,0.03,0,0,"scaffold_552",310,NA,NA,NA,"N",189883,"B1",1.94663466562078,NA,NA,NA,NA,NA
"48","g20103",0,0.0316666666666667,0,0,"scaffold_552",842,NA,"J9L5G6",NA,"Y",189883,"B1",1.94663466562078,NA,NA,NA,NA,NA
"49","g20104",0.0571428571428571,0.05,0.00571428571428571,0.0183333333333333,"scaffold_552",1025,NA,NA,NA,"N",189883,"B1",1.94663466562078,NA,NA,NA,NA,NA
"50","g20105",0.0328571428571429,0.0383333333333333,0,0,"scaffold_552",734,NA,NA,NA,"N",189883,"B1",1.94663466562078,NA,NA,NA,NA,NA
"51","g20106",0.0557142857142857,0.01,0,0,"scaffold_552",1316,"YMD2_CAEEL","A0A151IDY8",NA,"Y",189883,"B1",1.94663466562078,0,0,0,0,0
"52","g20107",0.0528571428571429,0,0,0,"scaffold_552",596,NA,NA,NA,"N",189883,"B1",1.94663466562078,NA,NA,NA,NA,NA
"53","g20108",0.0171428571428571,0.01,0,0,"scaffold_552",2547,NA,"A0A0R3QAL5","Integrase core domain","Y",189883,"B1",1.94663466562078,NA,NA,NA,NA,NA
"54","g20109",0,0,0,0,"scaffold_552",341,NA,NA,NA,"N",189883,"B1",1.94663466562078,NA,NA,NA,NA,NA
"55","g20110",0,0,0,0,"scaffold_552",641,NA,"D6WQK2",NA,"Y",189883,"B1",1.94663466562078,NA,NA,NA,NA,NA
"56","g20111",0,0.0116666666666667,0,0,"scaffold_552",965,NA,NA,"Immunoglobulin I-set domain","Y",189883,"B1",1.94663466562078,NA,NA,NA,NA,NA
"57","g20112",0.0228571428571429,0.0533333333333333,0,0,"scaffold_552",971,NA,NA,"Immunoglobulin domain","Y",189883,"B1",1.94663466562078,NA,NA,NA,NA,NA
"58","g20113",0,0,0,0,"scaffold_552",227,NA,NA,NA,"N",189883,"B1",1.94663466562078,NA,NA,NA,NA,NA
"59","g20114",0.0557142857142857,0.055,0,0,"scaffold_552",569,NA,NA,NA,"N",189883,"B1",1.94663466562078,NA,NA,NA,NA,NA
"60","g20115",0,0.0133333333333333,0,0,"scaffold_552",482,NA,"J9KK61",NA,"Y",189883,"B1",1.94663466562078,NA,NA,NA,NA,NA
"61","g20836",0,0,0,0,"scaffold_1546",595,NA,NA,NA,"N",12256,"B1",0.5577063,NA,NA,NA,NA,NA
"62","g2155",0.0328571428571429,0.0333333333333333,0,0,"scaffold_887",3164,NA,"J9KIL6",NA,"Y",31880,"B1",1.87492846172237,0,0,1,0,0
"63","g22826",0,0,0,0,"scaffold_1114",234,NA,NA,NA,"N",20570,"B1",0.6850493,NA,NA,NA,NA,NA
"64","g23135",4.61428571428571,2.94833333333333,0,0,"scaffold_932",122,NA,NA,NA,"N",28592,"B1",2.02197510567258,NA,NA,NA,NA,NA
"65","g23391",0.01,0.00166666666666667,0,0,"scaffold_1768",2182,NA,"J9LQI3",NA,"Y",9394,"B1",0.4527596,NA,NA,NA,NA,NA
"66","g2644",0.674285714285714,0.641666666666667,2.53857142857143,1.65333333333333,"scaffold_786",4614,"PGBD4_HUMAN","X1X046","Transposase IS4","Y",48770,"B1",1.38485148752984,0,0,0,0,0
"67","g4636",0.33,0.0683333333333333,0.28,0.0183333333333333,"scaffold_2174",664,NA,NA,NA,"N",5755,"B1",0.8347159,0,0,1,0,0
"68","g4788",0.0585714285714286,0.361666666666667,0,0,"scaffold_1271",222,NA,NA,NA,"N",17114,"B1",2.013767,NA,NA,NA,NA,NA
"69","g5582",3.54428571428571,3.57833333333333,0.01,0,"scaffold_897",663,"FAS_ANSAN","A0A158NZW8","Beta-ketoacyl synthase, N-terminal domain","Y",31263,"B1",0.42170527814484,1,0,1,1,0
"70","g818",0.0257142857142857,0,0,0,"scaffold_1226",1067,NA,NA,NA,"N",17908,"B1",1.843636,NA,NA,NA,NA,NA
"71","g819",0.0342857142857143,0.0233333333333333,0,0,"scaffold_1226",1096,NA,NA,NA,"N",17908,"B1",1.843636,NA,NA,NA,NA,NA
"72","g820",0.01,0,0,0,"scaffold_1226",2000,NA,NA,NA,"N",17908,"B1",1.843636,NA,NA,NA,NA,NA
"73","g9061",0.431428571428571,1.135,0,0,"scaffold_848",1328,NA,NA,"Predicted AAA-ATPase","Y",36415,"B1",1.38857690730129,1,0,1,1,0
"74","g9062",0.275714285714286,0.521666666666667,0,0,"scaffold_848",1025,NA,"A0A1H8D3N8","Predicted AAA-ATPase","Y",36415,"B1",1.38857690730129,0,0,1,1,0
"75","g9063",3.75714285714286,1.96166666666667,2.83714285714286,0.551666666666667,"scaffold_848",327,"TRET1_DROPS","A0A3Q0J369","Sugar (and other) transporter","Y",36415,"B1",1.38857690730129,0,0,0,0,0
"76","g9550",0.212857142857143,0.375,0.0285714285714286,0.22,"scaffold_1388",683,NA,NA,NA,"N",14907,"B1",0.6026681,0,0,0,0,0
"77","g9551",0.09,0.218333333333333,0.00571428571428571,0.0266666666666667,"scaffold_1388",1631,NA,NA,NA,"N",14907,"B1",0.6026681,0,0,0,1,0
"78","g9552",0.317142857142857,1.95666666666667,0.00285714285714286,0.145,"scaffold_1388",1646,NA,NA,NA,"N",14907,"B1",0.6026681,0,-1,0,1,0
