"","gene","B.males.tpm","B.females.tpm","nonB.males.tpm","nonB.females.tpm","seq","gene_len","blast","diamond","interpro","anno","length","b.status.final","cov.04v13","BmalevnoBmale","BmalevsfemaleB","BmalevsfemalenoB","BfemalevsnoBfemale","noBmalevsnoBfemale"
"30","g18153",0,0.161666666666667,0,0.12,"scaffold_1720",285,"CPR3_CAEEL",NA,"Papain family cysteine protease","Y",10031,"B3",-1.430967,NA,NA,NA,NA,NA
"31","g18356",0.0842857142857143,0.0233333333333333,0,0.00666666666666667,"scaffold_1838",1623,NA,NA,NA,"N",8734,"B3",-6.97008,0,0,0,0,0
"32","g18439",14.3142857142857,10.96,0,0,"scaffold_1579",577,"CSN4_DANRE","A0A2J7R0G0","CSN4/RPN5/eIF3a helix turn helix domain,PCI domain","Y",11810,"B3",-0.3628997,1,0,1,1,0
"33","g1876",2.15,4.305,0.875714285714286,1.58666666666667,"scaffold_620",1533,NA,"D6WEX8","Predicted AAA-ATPase","Y",128596,"B3",-1.12681257186367,0,0,0,0,0
"34","g1877",33.97,38.7216666666667,33.5285714285714,37.7366666666667,"scaffold_620",1434,"T161B_MOUSE","A0A2J7RAJ4","Predicted transmembrane protein 161AB","Y",128596,"B3",-1.12681257186367,0,0,0,0,0
"35","g1878",70.72,113.183333333333,68.5771428571429,135.99,"scaffold_620",930,"YQL5_SCHPO","C4WT46","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)","Y",128596,"B3",-1.12681257186367,0,0,0,0,0
"36","g1879",0.558571428571429,1.18333333333333,0.365714285714286,1.07333333333333,"scaffold_620",1764,"PERO_DROME","J9JLS0","Animal haem peroxidase","Y",128596,"B3",-1.12681257186367,0,0,0,0,0
"37","g18798",1.08857142857143,2.87833333333333,0.937142857142857,6.36,"scaffold_1056",1005,NA,NA,"Low-density lipoprotein receptor domain class A","Y",22680,"B3",-0.187517,0,0,-1,0,0
"38","g1880",136.502857142857,65.0733333333333,104.95,72.4016666666667,"scaffold_620",1884,"PERO_DROME","J9K1U3","Animal haem peroxidase","Y",128596,"B3",-1.12681257186367,0,0,0,0,0
"39","g1881",30.2328571428571,20.1933333333333,31.7742857142857,20.9033333333333,"scaffold_620",2615,"CEG1A_DROME","A0A482XTR2,A0A2J7QUF1","Putative GTPase activating protein for Arf,Ras family","Y",128596,"B3",-1.12681257186367,0,0,0,0,0
"40","g1882",0,0,0,0,"scaffold_620",361,NA,NA,NA,"N",128596,"B3",-1.12681257186367,NA,NA,NA,NA,NA
"41","g18899",2.39714285714286,27.7383333333333,0,0.0366666666666667,"scaffold_1628",291,NA,NA,"Carboxylesterase family","Y",11208,"B3",-2.763308,0,0,0,0,0
"42","g19056",0,0,0,0,"scaffold_1615",1536,"RTXE_DROME","J9LYS0","Endonuclease-reverse transcriptase","Y",11300,"B3",-0.6809373,NA,NA,NA,NA,NA
"43","g19063",2.43857142857143,0.816666666666667,3.08,0.616666666666667,"scaffold_829",482,"DRGX_MOUSE","A0A194QFU0","Homeodomain","Y",40557,"B3",-0.121677047906273,0,0,1,0,1
"44","g20075",0.0185714285714286,0,0.0171428571428571,0,"scaffold_1152",399,NA,NA,"BTB/POZ domain","Y",19452,"B3",-1.164553,NA,NA,NA,NA,NA
"45","g20192",1.10142857142857,1.08,0.942857142857143,0.546666666666667,"scaffold_1639",353,NA,"E0W394,A0A482WYE9",NA,"Y",11069,"B3",-0.11483,0,0,0,0,0
"46","g21053",0.328571428571429,0.158333333333333,0.515714285714286,0.158333333333333,"scaffold_1019",2289,NA,"A0A2J7Q228",NA,"Y",24096,"B3",-0.1654971,0,0,0,0,0
"47","g21054",43.7171428571429,29.1533333333333,45,29.92,"scaffold_1019",2283,"KAT2A_DANRE","A0A2J7QY91","PCAF (P300/CBP-associated factor) N-terminal domain,Acetyltransferase (GNAT) family,Bromodomain","Y",24096,"B3",-0.1654971,0,0,0,0,0
"48","g21144",0,0,0,0,"scaffold_1092",1106,NA,NA,NA,"N",21327,"B3",-2.129101,NA,NA,NA,NA,NA
"49","g21145",0.207142857142857,0.153333333333333,0.0228571428571429,0,"scaffold_1092",532,NA,NA,NA,"N",21327,"B3",-2.129101,0,0,0,0,0
"50","g21425",1.06,0.256666666666667,0.0485714285714286,0.105,"scaffold_851",1013,NA,"A0A2J7QKK3","Carboxylesterase family","Y",36248,"B3",-0.100256530294495,0,0,0,0,0
"51","g21426",0.602857142857143,1.615,0.697142857142857,0.901666666666667,"scaffold_851",353,NA,NA,"Carboxylesterase family","Y",36248,"B3",-0.100256530294495,0,0,0,0,0
"52","g21526",0.178571428571429,0.131666666666667,0.0314285714285714,0,"scaffold_1427",316,NA,NA,NA,"N",14233,"B3",-1.406135,NA,NA,NA,NA,NA
"53","g21527",0.0371428571428571,0.005,0,0,"scaffold_1427",2364,NA,"J9KHS0","THAP domain,Transposase protein","Y",14233,"B3",-1.406135,0,0,0,0,0
"54","g21652",0,0.0566666666666667,0,0,"scaffold_1385",315,NA,NA,NA,"N",14969,"B3",-0.2462563,NA,NA,NA,NA,NA
"55","g23309",0,0,0,0,"scaffold_2077",401,NA,NA,NA,"N",6557,"B3",-1.087422,NA,NA,NA,NA,NA
"56","g23491",0,0,0,0,"scaffold_1914",761,NA,NA,NA,"N",7985,"B3",-0.3673467,NA,NA,NA,NA,NA
"57","g23617",0,0,0,0,"scaffold_497",339,NA,NA,NA,"N",224833,"B3",-0.0553107531962105,NA,NA,NA,NA,NA
"58","g23618",0.238571428571429,0.085,0.0557142857142857,0.0966666666666667,"scaffold_497",670,NA,NA,NA,"N",224833,"B3",-0.0553107531962105,0,0,0,0,0
"59","g23619",0,0,0,0,"scaffold_497",230,NA,NA,NA,"N",224833,"B3",-0.0553107531962105,NA,NA,NA,NA,NA
"60","g23620",31.0428571428571,40.4533333333333,30.6614285714286,42.7633333333333,"scaffold_497",616,"KGP1_HUMAN","A0A3S2PII9","Coiled-coil N-terminus of cGMP-dependent protein kinase","Y",224833,"B3",-0.0553107531962105,0,0,0,0,0
"61","g23621",0,0.0216666666666667,0,0,"scaffold_497",344,NA,NA,NA,"N",224833,"B3",-0.0553107531962105,NA,NA,NA,NA,NA
"62","g23622",0,0.0866666666666667,0,0.03,"scaffold_497",325,NA,NA,NA,"N",224833,"B3",-0.0553107531962105,NA,NA,NA,NA,NA
"63","g23623",8.55285714285714,7.04666666666667,8.80285714285714,6.575,"scaffold_497",1259,NA,NA,NA,"N",224833,"B3",-0.0553107531962105,0,0,0,0,0
"64","g23624",42.8142857142857,47.6916666666667,42.6314285714286,46.565,"scaffold_497",395,"KGP25_DROME","A0A194QK34","Cyclic nucleotide-binding domain","Y",224833,"B3",-0.0553107531962105,0,0,0,0,0
"65","g23625",13.9371428571429,0.631666666666667,17.5414285714286,1.06833333333333,"scaffold_497",1584,"MYRO1_BREBR","A0A067RC84","Glycosyl hydrolase family 1","Y",224833,"B3",-0.0553107531962105,0,1,1,0,1
"66","g23626",0.0514285714285714,0.181666666666667,0.00857142857142857,0.236666666666667,"scaffold_497",1702,"MYRO1_BREBR","A0A2J7PTJ0","Glycosyl hydrolase family 1","Y",224833,"B3",-0.0553107531962105,0,0,0,0,0
"67","g23627",81.1,86.6683333333333,85.7514285714286,85.9933333333333,"scaffold_497",1284,"KGP25_DROME","T1H8H9","Cyclic nucleotide-binding domain,Protein kinase domain","Y",224833,"B3",-0.0553107531962105,0,0,0,0,0
"68","g23628",0.285714285714286,5.02666666666667,0.0842857142857143,5.05666666666667,"scaffold_497",2865,"LPH_RAT","A0A3Q0J5H8","Glycosyl hydrolase family 1","Y",224833,"B3",-0.0553107531962105,0,-1,-1,0,-1
"69","g23629",0.835714285714286,0.121666666666667,1.44285714285714,0.0733333333333333,"scaffold_497",1468,"MYRO1_BREBR","A0A2J7PTJ0","Glycosyl hydrolase family 1","Y",224833,"B3",-0.0553107531962105,0,1,1,0,1
"70","g2645",17.3514285714286,10.85,0.134285714285714,0,"scaffold_1454",894,NA,"J9K3D3","Thioesterase domain","Y",13677,"B3",-0.2613518,1,0,1,1,0
"71","g2646",22.0528571428571,11.105,27.9257142857143,9.945,"scaffold_1454",435,NA,NA,NA,"N",13677,"B3",-0.2613518,0,0,0,0,1
"72","g2710",0,0,0,0,"scaffold_1321",347,NA,NA,NA,"N",16213,"B3",-1.904202,NA,NA,NA,NA,NA
"73","g2727",0,0,0,0,"scaffold_1381",2115,NA,"T1I2R8","Endonuclease-reverse transcriptase","Y",14999,"B3",-2.893571,NA,NA,NA,NA,NA
"74","g2728",0,0,0,0,"scaffold_1381",935,NA,NA,NA,"N",14999,"B3",-2.893571,NA,NA,NA,NA,NA
"75","g2729",0,0,0,0,"scaffold_1381",272,NA,NA,NA,"N",14999,"B3",-2.893571,NA,NA,NA,NA,NA
"76","g3354",1.97285714285714,3.93,1.86,3.93666666666667,"scaffold_733",741,NA,NA,"FLYWCH zinc finger domain","Y",69198,"B3",-0.222579238024893,0,0,0,0,0
"77","g3355",0,0,0,0,"scaffold_733",391,NA,NA,NA,"N",69198,"B3",-0.222579238024893,NA,NA,NA,NA,NA
"78","g4491",0,0,0,0,"scaffold_1593",222,NA,NA,NA,"N",11666,"B3",-2.402098,NA,NA,NA,NA,NA
"79","g4586",0,0,0,0,"scaffold_640",238,NA,NA,NA,"N",113869,"B3",-0.411957789294194,NA,NA,NA,NA,NA
"80","g4587",35.7128571428571,106.818333333333,19.7685714285714,65.255,"scaffold_640",292,NA,NA,NA,"N",113869,"B3",-0.411957789294194,0,-1,0,0,-1
"81","g4588",0.0857142857142857,0.745,0.0571428571428571,0.436666666666667,"scaffold_640",375,NA,NA,NA,"N",113869,"B3",-0.411957789294194,0,-1,0,0,0
"82","g5232",37.0971428571429,14.61,1.25714285714286,0,"scaffold_2160",2567,NA,NA,"Transactive response DNA-binding protein N-terminal domain","Y",5884,"B3",-2.328587,1,0,1,1,0
"83","g5248",0.165714285714286,0.895,3.51142857142857,2.265,"scaffold_814",1116,"CATA_ASCSU","A0A2J7REJ5","Catalase-related immune-responsive,Catalase","Y",43109,"B3",-0.131942928822252,-1,-1,-1,0,0
"84","g5249",48.6271428571429,61.1983333333333,40.7742857142857,30.2533333333333,"scaffold_814",1154,"FXR1B_XENLA",NA,"KH domain,Regulator of G protein signalling-like domain","Y",43109,"B3",-0.131942928822252,0,0,0,0,0
"85","g5250",16.8371428571429,18.1783333333333,15.2357142857143,16.1833333333333,"scaffold_814",3394,"INT2_CHICK","A0A067QT10","Integrator complex subunit 2","Y",43109,"B3",-0.131942928822252,0,0,0,0,0
"86","g5251",53.91,92.7216666666667,57.8142857142857,90.6733333333333,"scaffold_814",244,NA,NA,"Uncharacterised protein family (UPF0203)","Y",43109,"B3",-0.131942928822252,0,0,0,0,0
"87","g5252",151.731428571429,189.591666666667,152.678571428571,196.28,"scaffold_814",802,"C1QBP_HUMAN","A0A067R160","Mitochondrial glycoprotein","Y",43109,"B3",-0.131942928822252,0,0,0,0,0
"88","g5253",38.8185714285714,15.2966666666667,49.0085714285714,19.5816666666667,"scaffold_814",381,NA,"A0A2P8YJG1","HIT zinc finger","Y",43109,"B3",-0.131942928822252,0,0,0,0,1
"89","g5254",54.4628571428571,49.4566666666667,53.5628571428571,47.2533333333333,"scaffold_814",2003,"BGLR_FELCA,BGLR_CHLAE,BGLR_HUMAN","A0A2J7QP48,A0A067QW61","Glycosyl hydrolases family 2, sugar binding domain,Glycosyl hydrolases family 2,Glycosyl hydrolases family 2, TIM barrel domain","Y",43109,"B3",-0.131942928822252,0,0,0,0,0
"90","g8501",15.5814285714286,0.0116666666666667,1.61571428571429,0.00833333333333333,"scaffold_543",761,NA,NA,NA,"N",195591,"B3",-0.0471392890068341,1,1,1,0,1
"91","g8502",7.01857142857143,6.36333333333333,6.49428571428571,5.92333333333333,"scaffold_543",5528,"RGPA2_HUMAN","A0A067RK08","Rap/ran-GAP","Y",195591,"B3",-0.0471392890068341,0,0,0,0,0
"92","g8503",94.6542857142857,42.2383333333333,100.517142857143,43.0666666666667,"scaffold_543",1035,"CGRF1_RAT","X1WID2","Zinc finger, C3HC4 type (RING finger)","Y",195591,"B3",-0.0471392890068341,0,0,0,0,0
"93","g8504",0,0,0,0,"scaffold_543",197,NA,NA,NA,"N",195591,"B3",-0.0471392890068341,NA,NA,NA,NA,NA
"94","g8505",18.4714285714286,10.0866666666667,17.7142857142857,11.8483333333333,"scaffold_543",1210,NA,"A0A2P8XML8","Ring finger domain","Y",195591,"B3",-0.0471392890068341,0,0,0,0,0
"95","g8506",1.11142857142857,1.21,1.05571428571429,1.52333333333333,"scaffold_543",2073,"LSHR_PIG","A0A067QID7","Leucine rich repeat,7 transmembrane receptor (rhodopsin family)","Y",195591,"B3",-0.0471392890068341,0,0,0,0,0
"96","g8513",15.4314285714286,0.48,11.34,0.615,"scaffold_1484",1055,"MURF_BACSU","Q5GT47","Mur ligase family, catalytic domain,Mur ligase middle domain","Y",13285,"B3",-0.0699916,0,1,1,0,1
"97","g8514",0.36,0.125,0.378571428571429,0,"scaffold_1484",225,NA,NA,NA,"N",13285,"B3",-0.0699916,NA,NA,NA,NA,NA
"98","g8515",61.8271428571429,58.2833333333333,54.9585714285714,51.6116666666667,"scaffold_1484",681,"CC124_XENTR","A0A1S3CXZ8","Coiled-coil domain-containing protein 124 /Oxs1","Y",13285,"B3",-0.0699916,0,0,0,0,0
"99","g9060",0,0,0,0,"scaffold_1344",364,NA,NA,NA,"N",15656,"B3",-0.729433,NA,NA,NA,NA,NA
"100","g9417",0.258571428571429,0.0783333333333333,0.664285714285714,0.19,"scaffold_676",3008,NA,"K7JWY9","Reverse transcriptase (RNA-dependent DNA polymerase)","Y",93060,"B3",-0.11580942181791,0,0,0,0,0
"101","g9418",0,0,0,0,"scaffold_676",241,NA,NA,NA,"N",93060,"B3",-0.11580942181791,NA,NA,NA,NA,NA
"102","g9419",0.501428571428571,0.105,0.238571428571429,0.0816666666666667,"scaffold_676",3016,NA,"K7JWY9","Reverse transcriptase (RNA-dependent DNA polymerase)","Y",93060,"B3",-0.11580942181791,0,0,0,0,0
"103","g9420",37.1257142857143,12.9433333333333,45.43,12.0733333333333,"scaffold_676",872,NA,"J9KWC3",NA,"Y",93060,"B3",-0.11580942181791,0,0,0,0,1
"104","g9592",0,0,0,0,"scaffold_1751",299,NA,NA,NA,"N",9623,"B3",-2.231326,NA,NA,NA,NA,NA
"105","g9593",0,0,0,0,"scaffold_1751",286,NA,NA,NA,"N",9623,"B3",-2.231326,NA,NA,NA,NA,NA
"106","g9856",0,0,0,0,"scaffold_423",134,NA,NA,NA,"N",294159,"B3",-0.269610913910345,NA,NA,NA,NA,NA
"107","g9857",15.34,9.35333333333333,17.2357142857143,8.90666666666667,"scaffold_423",2402,NA,"J9KR10","PDZ domain","Y",294159,"B3",-0.269610913910345,0,0,0,0,0
"108","g9858",90.9957142857143,186.12,65.6228571428571,193.893333333333,"scaffold_423",5719,NA,NA,NA,"N",294159,"B3",-0.269610913910345,0,0,0,0,-1
"109","g9859",0.118571428571429,0.536666666666667,0.11,0.695,"scaffold_423",2417,NA,NA,NA,"N",294159,"B3",-0.269610913910345,0,0,-1,0,0
"110","g9860",0.404285714285714,2.68333333333333,0.412857142857143,2.83333333333333,"scaffold_423",2813,NA,NA,NA,"N",294159,"B3",-0.269610913910345,0,-1,-1,0,-1
"111","g9861",24.5857142857143,21.8966666666667,20.65,17.6983333333333,"scaffold_423",739,NA,"A0A482XEQ4","Immunoglobulin I-set domain,Immunoglobulin domain","Y",294159,"B3",-0.269610913910345,0,0,0,0,0
