## 1.1.1
## assembly	: /data/ross/mealybugs/analyses/B_viburni_andres/1_pacbio_assembly/1_redbean/polished/pseudococcus_viburni.redbean.cns3.srp1.fa
## coverage	 bam0 - /data/ross/mealybugs/analyses/B_viburni_andres/1_pacbio_assembly/1_redbean/blobtools/p.viburni.decon.to.cns3.srp1.sorted.bam
## taxonomy	 tax0 - /data/ross/mealybugs/analyses/B_viburni_andres/1_pacbio_assembly/1_redbean/blobtools/p.viburni.decon.blast.out
## taxonomy	 tax1 - /data/ross/mealybugs/analyses/B_viburni_andres/1_pacbio_assembly/1_redbean/blobtools/p.viburni.decon.diamond.taxified.out
## nodesDB	: None
## taxrule	: bestsum
## min_score	: 0.0
## min_diff	: 0.0
## tax_collision_random	: False
##
# name	length	GC	N	bam0	phylum.t.6%s	phylum.s.7%s	phylum.c.8
ctg29	4055744	0.3342	0	19.9785	Arthropoda	7489.799999999999	0
ctg30	1401719	0.324	0	21.3253	Arthropoda	3305.4	0
ctg31	2723090	0.3338	0	19.7181	Arthropoda	1776.2	1
ctg32	1367243	0.3328	0	23.3687	Arthropoda	1078.8999999999999	0
ctg33	878284	0.3755	0	18.9681	Arthropoda	1188.1999999999998	0
ctg34	1008578	0.3281	0	22.38	Arthropoda	10557.1	0
ctg35	1288722	0.3325	0	19.9341	Arthropoda	3090.4	0
ctg36	1318465	0.3579	0	20.2725	Arthropoda	2350.8	1
ctg38	844931	0.3291	0	18.3858	Arthropoda	6288.1	0
ctg37	1134569	0.3392	0	20.1267	Arthropoda	2386.6	0
ctg39	1245437	0.3372	0	23.3359	Arthropoda	7297.3	0
ctg40	1593250	0.3298	0	21.3335	Arthropoda	1348.2	0
ctg41	1567001	0.3277	0	20.9983	Arthropoda	3609.9	0
ctg42	826685	0.3375	0	19.6747	Arthropoda	1155.7	0
ctg43	2003421	0.3289	0	19.7562	Arthropoda	2565.2	1
ctg44	1256841	0.3412	0	18.8228	Arthropoda	3375.7	0
ctg45	1745305	0.3307	0	21.9507	Arthropoda	2571.8	1
ctg46	800921	0.3317	0	21.2191	Arthropoda	2861.5	0
ctg47	1003080	0.3267	0	20.2013	Arthropoda	2701.6	0
ctg48	2702411	0.3261	0	21.0201	Arthropoda	5151.6	0
ctg49	2488136	0.335	0	20.335	Arthropoda	5305.3	1
ctg50	802099	0.356	0	18.7116	Arthropoda	6123.1	0
ctg51	777743	0.345	0	20.4307	Arthropoda	1025.1	0
ctg52	754082	0.3338	0	21.6213	Arthropoda	3137.1	0
ctg53	752028	0.3319	0	21.0331	Chordata	1698.0	1
ctg54	1404387	0.3414	0	19.716	Nematoda	1259.2	1
ctg55	1049655	0.3392	0	20.6082	Arthropoda	2191.7	0
ctg56	1240016	0.3225	0	20.436	Arthropoda	3013.3	0
ctg57	1333194	0.3329	0	20.5962	Arthropoda	3526.8	0
ctg58	1087435	0.3271	0	18.7794	Arthropoda	375.2	0
ctg59	908075	0.3556	0	18.7007	Arthropoda	2804.0	0
ctg60	1649712	0.34	0	19.9176	Arthropoda	4805.7	0
ctg61	1301554	0.3355	0	20.92	Arthropoda	1170.0	0
ctg62	2021893	0.3411	0	20.0018	Arthropoda	4050.1	0
ctg63	866203	0.3279	0	20.4171	Arthropoda	375.2	0
ctg64	1018076	0.3375	0	21.2733	Chordata	1565.3	3
ctg65	757936	0.3373	0	21.2076	Arthropoda	7023.1	0
ctg66	709314	0.333	0	19.8333	Arthropoda	3743.7	0
ctg67	862643	0.327	0	19.4492	Arthropoda	990.2	0
ctg68	1545211	0.3368	0	21.5966	Arthropoda	2177.6000000000004	1
ctg69	1067396	0.3411	0	20.2842	Arthropoda	2607.0	1
ctg70	1253546	0.3346	0	19.6225	Arthropoda	2640.9	0
ctg71	701333	0.336	0	19.8433	Arthropoda	2156.4	0
ctg72	1159705	0.3266	0	21.6924	Arthropoda	4102.9	1
ctg73	1141632	0.3329	0	18.7751	Arthropoda	4255.6	0
ctg74	2126039	0.3394	0	20.1078	Arthropoda	1591.3	0
ctg75	689744	0.3446	0	18.8418	Arthropoda	3031.0	1
ctg76	1408068	0.3254	0	19.3328	Arthropoda	3624.3	1
ctg77	669522	0.3342	0	18.7331	Arthropoda	1820.2	1
ctg78	1108869	0.344	0	19.4188	Arthropoda	2926.1	0
ctg79	666891	0.3254	0	29.0241	Arthropoda	2653.5	0
ctg80	1435267	0.3459	0	21.5142	Arthropoda	2064.3	0
ctg81	655009	0.3305	0	21.2869	Arthropoda	936.3	0
ctg82	654212	0.3389	0	18.4476	Proteobacteria	676.0	1
ctg83	1094412	0.3369	0	18.8339	Arthropoda	396.6	0
ctg84	653875	0.3343	0	19.302	Arthropoda	1224.8	0
ctg85	884325	0.3281	0	23.0554	Arthropoda	1342.5	0
ctg86	918941	0.3416	0	22.2728	Arthropoda	1309.5	0
ctg87	1031407	0.3352	0	24.0145	Arthropoda	2978.9	0
ctg88	644353	0.3423	0	22.8535	Proteobacteria	587.4	1
ctg89	1156321	0.3362	0	20.6297	Arthropoda	3458.6000000000004	0
ctg90	832934	0.324	0	19.8903	Arthropoda	1772.0	1
ctg91	656248	0.3337	0	19.4227	Arthropoda	1949.5	0
ctg92	903173	0.3332	0	18.8969	Arthropoda	641.8	0
ctg93	1570857	0.3432	0	22.1568	Arthropoda	2936.0	0
ctg94	624049	0.3273	0	19.8452	Arthropoda	1389.8	0
ctg95	2779174	0.334	0	20.2904	Arthropoda	11110.4	0
ctg96	1379820	0.336	0	19.4664	Arthropoda	1455.5	1
ctg97	1020786	0.3355	0	22.7503	Arthropoda	1068.6	0
ctg98	905637	0.3383	0	19.0996	Arthropoda	1392.2	0
ctg99	730568	0.3283	0	20.3006	Arthropoda	465.7	0
ctg100	629138	0.3736	0	18.5138	Arthropoda	4902.2	1
ctg101	992734	0.337	0	20.5973	Arthropoda	2145.7	1
ctg102	1130194	0.3265	0	19.9893	Arthropoda	2012.8	0
ctg103	1191324	0.3425	0	19.339	Arthropoda	7657.9	0
ctg104	600271	0.3282	0	20.0615	Arthropoda	744.8	0
ctg105	608617	0.3373	0	20.5213	Porifera	283.1	0
ctg106	632632	0.3363	0	26.0423	Arthropoda	2445.7	0
ctg107	899615	0.3267	0	20.7847	Arthropoda	5032.0	0
ctg108	1496721	0.332	0	18.3942	Arthropoda	2498.6	0
ctg109	770175	0.3284	0	19.7519	Arthropoda	2441.0	2
ctg110	2914842	0.3318	0	20.4381	Arthropoda	2653.7	0
ctg111	1290459	0.3331	0	21.1865	Arthropoda	5830.5	0
ctg112	637309	0.3413	0	19.2568	Arthropoda	1314.4	2
ctg113	1089290	0.3238	0	21.2229	Arthropoda	1886.1	0
ctg114	2668790	0.3346	0	19.7176	Arthropoda	2439.4	2
ctg115	942719	0.3297	0	20.0436	Arthropoda	1554.1	0
ctg116	1203249	0.3279	0	19.6338	Arthropoda	2366.7	1
ctg117	680149	0.332	0	19.0496	Arthropoda	1442.3	0
ctg118	542759	0.3216	0	22.878	Arthropoda	629.5999999999999	1
ctg119	630025	0.3294	0	18.7174	Arthropoda	2157.5	1
ctg120	2316321	0.3358	0	19.4299	Arthropoda	1321.0	1
ctg121	745739	0.3217	0	25.9289	Nematoda	1154.0	2
ctg122	601429	0.3323	0	25.2391	Arthropoda	2950.6	1
ctg123	1882325	0.3434	0	21.2473	Mollusca	2509.0	1
ctg124	801500	0.3327	0	18.9882	Arthropoda	2308.0	0
ctg125	903236	0.3262	0	20.3883	Arthropoda	2346.1	1
ctg126	544021	0.3322	0	19.0167	Arthropoda	4036.5	0
ctg127	1144978	0.3282	0	21.1557	Arthropoda	4681.3	1
ctg128	573853	0.3282	0	18.67	Arthropoda	578.9	0
ctg129	1154010	0.3453	0	18.8073	Arthropoda	9394.9	0
ctg130	786172	0.3378	0	19.0488	Arthropoda	1682.0	1
ctg131	528552	0.3307	0	19.7475	Arthropoda	301.2	0
ctg132	773530	0.3326	0	18.2378	Arthropoda	867.8	0
ctg133	581487	0.3282	0	19.9857	Arthropoda	3028.7	0
ctg134	1145185	0.3278	0	20.2043	Arthropoda	5693.2	0
ctg135	837517	0.3276	0	18.6506	Arthropoda	2116.2	0
ctg136	886430	0.3449	0	19.3725	Nematoda	601.3	1
ctg137	1250768	0.3402	0	20.2077	Arthropoda	3466.7	0
ctg138	1205343	0.3272	0	20.1071	Arthropoda	3360.2	0
ctg140	515202	0.3441	0	19.5188	Arthropoda	3887.1	0
ctg139	1598710	0.3371	0	19.8537	Arthropoda	1306.0	5
ctg141	1354464	0.3323	0	19.4764	Arthropoda	2779.4	0
ctg142	1786822	0.3331	0	19.8837	Arthropoda	2581.4	2
ctg143	943987	0.3227	0	21.8142	Arthropoda	5167.6	0
ctg144	970168	0.3333	0	18.9613	Arthropoda	2246.9	1
ctg145	918386	0.3291	0	20.8898	Viruses-undef	1705.7	2
ctg146	1370492	0.3378	0	19.4214	Arthropoda	6265.9	1
ctg147	504965	0.3436	0	17.8696	Arthropoda	530.4	0
ctg148	907343	0.3505	0	19.7886	Arthropoda	4405.9	0
ctg149	510214	0.3273	0	21.6303	Arthropoda	2774.3999999999996	0
ctg150	944534	0.3421	0	19.4759	Arthropoda	762.5	0
ctg151	1064744	0.3334	0	23.4664	Arthropoda	1712.8	3
ctg152	503361	0.3328	0	20.9318	Arthropoda	5501.3	0
ctg153	1188425	0.3389	0	19.7735	Arthropoda	1870.8000000000002	0
ctg154	496260	0.3376	0	22.4506	Arthropoda	13224.2	0
ctg155	757032	0.3335	0	20.5205	Arthropoda	348.6	0
ctg156	506272	0.3317	0	19.6033	Arthropoda	678.0	0
ctg157	501544	0.3503	0	20.1159	Arthropoda	3689.6000000000004	0
ctg158	1013549	0.3353	0	24.9438	Arthropoda	1245.1	0
ctg159	939539	0.3342	0	20.0695	Arthropoda	1601.3	0
ctg160	1893759	0.3372	0	17.5037	Arthropoda	1799.0	1
ctg161	837249	0.3433	0	18.8373	Arthropoda	1977.9	0
ctg162	1657076	0.3393	0	20.607	Arthropoda	10374.1	0
ctg163	491046	0.3276	0	20.412	Arthropoda	2689.7	1
ctg164	483888	0.3531	0	20.9314	Arthropoda	4472.4	0
ctg165	454211	0.3408	0	23.5588	Arthropoda	178.7	0
ctg166	808501	0.3172	0	20.1741	Arthropoda	2584.9	0
ctg167	481172	0.3253	0	20.2978	Arthropoda	2643.7	0
ctg168	883718	0.3314	0	21.2256	Arthropoda	4153.9	0
ctg169	768130	0.3343	0	18.8198	Arthropoda	1177.8	0
ctg170	467554	0.3237	0	19.201	Arthropoda	2502.8	2
ctg171	478572	0.3358	0	25.6716	Arthropoda	2520.9	0
ctg172	520912	0.3324	0	19.772	Arthropoda	13193.7	0
ctg173	455448	0.3317	0	19.9135	Arthropoda	1786.0	0
ctg174	584709	0.3357	0	21.1691	Arthropoda	531.2	0
ctg175	853003	0.337	0	20.4324	Arthropoda	946.8	0
ctg177	658728	0.3302	0	22.225	Arthropoda	881.4	0
ctg178	631543	0.3277	0	20.4741	Arthropoda	3662.3	0
ctg179	457468	0.3325	0	20.9758	Arthropoda	1038.9	0
ctg180	445169	0.3385	0	18.4084	Arthropoda	159.8	0
ctg176	470448	0.3408	0	20.2432	Arthropoda	3651.7	0
ctg182	751204	0.4343	0	94.1533	Proteobacteria	69642.9	0
ctg181	456243	0.3294	0	20.7438	Arthropoda	927.7	0
ctg183	936718	0.3378	0	19.154	Arthropoda	2038.4	0
ctg184	1138263	0.3284	0	20.4889	Arthropoda	1206.9	0
ctg185	1102567	0.3366	0	19.0466	Arthropoda	7354.8	1
ctg186	452218	0.3314	0	21.1029	Arthropoda	377.1	0
ctg187	582533	0.3674	0	21.3837	Arthropoda	2102.0	0
ctg188	727411	0.3266	0	19.2676	Arthropoda	2574.7	0
ctg189	463643	0.3326	0	29.4487	Arthropoda	138.3	0
ctg190	444199	0.3291	0	38.4815	Arthropoda	387.9	0
ctg191	791123	0.3351	0	18.6137	Arthropoda	1506.5	0
ctg192	619019	0.3417	0	20.3783	Arthropoda	738.4	0
ctg193	688397	0.3475	0	18.7736	Arthropoda	3822.8	1
ctg195	428562	0.3355	0	19.8277	Arthropoda	1159.8	0
ctg194	614619	0.34	0	28.2823	Arthropoda	2173.8	0
ctg196	591412	0.3272	0	21.1516	Arthropoda	1472.2	0
ctg197	440274	0.3617	0	17.6122	Arthropoda	1362.8	0
ctg198	452338	0.3438	0	22.435	Arthropoda	1580.8	0
ctg199	609135	0.3353	0	19.9963	Arthropoda	10484.2	0
ctg200	634682	0.3367	0	20.1448	Arthropoda	1360.5	0
ctg201	826878	0.3346	0	23.1937	Arthropoda	4865.5	0
ctg202	2012214	0.3292	0	18.5618	Arthropoda	3341.0	0
ctg203	462564	0.3338	0	19.8347	Arthropoda	3051.5	0
ctg205	413729	0.3246	0	103.4081	Arthropoda	577.0	1
ctg204	868302	0.3376	0	20.0118	Arthropoda	2366.3	0
ctg206	1210195	0.3505	0	17.9342	Arthropoda	1360.9	0
ctg207	691737	0.3393	0	18.8731	Arthropoda	3358.2	2
ctg209	498453	0.396	0	20.7684	Arthropoda	2590.1	0
ctg208	615351	0.322	0	19.6982	Arthropoda	3026.0	0
ctg210	406689	0.3439	0	21.3469	Arthropoda	7804.2	0
ctg211	498627	0.3427	0	21.3152	Arthropoda	1181.9	0
ctg212	414051	0.329	0	18.7912	Arthropoda	468.4	0
ctg213	796396	0.3323	0	22.1159	Porifera	1616.6000000000001	0
ctg214	882863	0.3463	0	19.5476	Arthropoda	328.0	1
ctg215	734632	0.3269	0	20.2599	Arthropoda	861.9	0
ctg216	405381	0.3518	0	16.3863	Arthropoda	10563.2	0
ctg218	540291	0.3512	0	19.6958	Arthropoda	3955.8	1
ctg219	392903	0.3367	0	21.8616	Arthropoda	278.1	0
ctg220	615802	0.3315	0	21.6809	Arthropoda	2432.4	0
ctg217	823576	0.3416	0	19.9645	Arthropoda	3692.2	0
ctg221	468853	0.3297	0	18.4184	Arthropoda	2333.6	0
ctg222	399794	0.3398	0	17.8491	Nematoda	199.9	0
ctg223	390253	0.3891	0	19.1787	Arthropoda	5638.7	0
ctg224	572005	0.3634	0	21.5703	Arthropoda	4678.3	0
ctg225	1082204	0.3294	0	18.8823	Arthropoda	1853.1	2
ctg226	1135333	0.3387	0	20.1942	Arthropoda	7128.7	0
ctg227	395114	0.3389	0	20.9236	Arthropoda	686.4	0
ctg228	392516	0.3503	0	20.995	Arthropoda	283.1	0
ctg229	441954	0.3455	0	21.34	Arthropoda	902.1	0
ctg230	384643	0.3373	0	21.5616	Arthropoda	2398.1	0
ctg231	389654	0.3273	0	18.955	Arthropoda	2321.3	0
ctg232	1281337	0.3402	0	21.6812	Arthropoda	10707.8	1
ctg233	671934	0.3407	0	18.1177	Chordata	1273.0	1
ctg234	379683	0.3284	0	20.6653	Arthropoda	1848.2	2
ctg235	655508	0.3758	0	18.9028	Arthropoda	6814.1	0
ctg236	384121	0.3306	0	20.1869	Nematoda	210.3	0
ctg237	387936	0.3207	0	19.1407	Arthropoda	472.3	0
ctg238	517980	0.3416	0	21.3187	Nematoda	942.5	0
ctg239	713262	0.3239	0	19.6313	Nematoda	681.0	0
ctg240	366136	0.3419	0	18.6097	Arthropoda	551.6	0
ctg241	379041	0.3354	0	20.683	Arthropoda	3839.5	1
ctg242	903388	0.3381	0	20.96	Arthropoda	1630.0	1
ctg244	452255	0.3803	0	21.4066	Arthropoda	1662.1	0
ctg243	879653	0.3734	0	18.303	Arthropoda	2912.1	0
ctg245	1127159	0.3382	0	19.0395	Arthropoda	294.0	1
ctg246	378273	0.3452	0	18.4995	Arthropoda	248.0	0
ctg247	491074	0.333	0	24.6832	Arthropoda	2027.6000000000001	0
ctg249	367153	0.3349	0	19.1314	Arthropoda	469.6	0
ctg248	371414	0.3327	0	20.5588	Arthropoda	2634.0	0
ctg250	361060	0.3364	0	19.6546	Arthropoda	1010.5999999999999	0
ctg251	385562	0.3442	0	22.2096	Nematoda	507.7	0
ctg252	372732	0.3386	0	20.4155	Arthropoda	1901.7	0
ctg253	608446	0.3318	0	20.7324	Arthropoda	2942.6	0
ctg254	554556	0.3237	0	21.0393	Arthropoda	2637.2	0
ctg255	367138	0.3328	0	19.3293	Arthropoda	389.4	0
ctg256	637986	0.3251	0	20.391	Arthropoda	2440.0	3
ctg257	814609	0.3323	0	21.8798	Arthropoda	686.0	0
ctg258	827594	0.3395	0	22.9113	Arthropoda	1679.7000000000003	0
ctg259	850446	0.3382	0	19.9602	Arthropoda	8852.3	0
ctg260	552329	0.3338	0	19.8143	Arthropoda	332.4	0
ctg261	401711	0.3336	0	21.0711	Arthropoda	1546.7	0
ctg262	371804	0.3807	0	20.3249	Arthropoda	384.0	0
ctg263	372467	0.442	0	52.3552	Viruses-undef	559.7	1
ctg264	986886	0.3317	0	22.0523	Arthropoda	1558.4	0
ctg265	450126	0.3291	0	20.1052	Mollusca	964.0	4
ctg267	1293212	0.3258	0	24.8845	Arthropoda	2492.0	1
ctg266	405558	0.3349	0	19.9631	Arthropoda	274.2	0
ctg268	355965	0.3261	0	19.1415	Arthropoda	1239.9	0
ctg269	367720	0.3219	0	19.8531	Arthropoda	4390.1	1
ctg270	364537	0.3464	0	22.9493	Arthropoda	2835.6	0
ctg271	350197	0.3236	0	19.0624	Arthropoda	1253.3	0
ctg272	360587	0.3321	0	23.073	Arthropoda	555.4	0
ctg273	362169	0.3359	0	18.8862	Arthropoda	445.3	0
ctg274	375090	0.3203	0	19.8488	Arthropoda	283.9	1
ctg275	442612	0.3289	0	21.2043	Arthropoda	1551.6	0
ctg279	353234	0.337	0	19.755	Arthropoda	976.4000000000001	0
ctg276	1246056	0.3326	0	19.7246	Arthropoda	3632.7	0
ctg278	1223479	0.3369	0	18.3899	Arthropoda	1989.4	1
ctg277	1024483	0.3378	0	18.4311	Arthropoda	2589.9	0
ctg281	474401	0.3271	0	20.5737	Arthropoda	1071.8	0
ctg282	339528	0.3177	0	19.9519	Arthropoda	347.7	0
ctg284	341706	0.3382	0	20.1327	Arthropoda	1110.9	0
ctg283	339260	0.3312	0	19.1147	Arthropoda	670.2	0
ctg285	336930	0.3315	0	21.0037	Arthropoda	1028.1	0
ctg280	337566	0.339	0	19.7756	Arthropoda	522.3	0
ctg286	338791	0.3301	0	19.2188	Arthropoda	806.1	0
ctg287	340275	0.321	0	20.2947	Arthropoda	486.9	0
ctg288	2138114	0.3325	0	19.7051	Arthropoda	1323.2	0
ctg289	645409	0.3358	0	19.6368	Arthropoda	2552.9	3
ctg290	606006	0.3309	0	19.9694	Arthropoda	2886.3	0
ctg291	433638	0.3232	0	18.7311	Arthropoda	1813.2	0
ctg292	415611	0.3676	0	18.0877	Arthropoda	897.0	1
ctg293	409414	0.3322	0	19.245	Arthropoda	838.0	0
ctg294	321063	0.3477	0	21.2428	Arthropoda	3435.8	0
ctg295	361220	0.3344	0	18.8266	Arthropoda	783.0000000000001	0
ctg296	328871	0.3285	0	20.0385	Arthropoda	1798.8	0
ctg297	325416	0.3366	0	19.5439	Arthropoda	649.8	0
ctg299	310608	0.3385	0	19.1205	Arthropoda	225.7	0
ctg298	373153	0.3324	0	19.0001	Arthropoda	820.1	0
ctg300	688257	0.3234	0	22.9724	Proteobacteria	2839.0	3
ctg301	1001494	0.3328	0	18.8805	Arthropoda	1700.8	0
ctg302	307817	0.3458	0	18.8238	Arthropoda	1097.6	0
ctg303	1026652	0.3325	0	19.0905	Arthropoda	1034.8	0
ctg304	314600	0.3442	0	20.404	Arthropoda	1122.8	0
ctg305	325423	0.3217	0	19.1392	Arthropoda	794.6	0
ctg306	393944	0.337	0	21.0525	Arthropoda	298.5	0
ctg307	1034819	0.3354	0	18.1263	Arthropoda	2911.9	0
ctg308	498201	0.3381	0	18.8911	Arthropoda	451.1	0
ctg309	485362	0.3269	0	21.2337	Arthropoda	838.9	0
ctg310	311444	0.3242	0	19.4915	Arthropoda	746.4	0
ctg311	381913	0.3774	0	21.1818	Arthropoda	1137.2	0
ctg312	304678	0.3386	0	19.6437	Arthropoda	1200.7	1
ctg314	756454	0.3306	0	21.0405	Arthropoda	2461.3	0
ctg313	778617	0.3304	0	22.1479	Arthropoda	941.5	1
ctg315	1229012	0.3246	0	48.6281	Arthropoda	2151.6	1
ctg316	519414	0.3415	0	20.7534	Chordata	1722.0	1
ctg317	307944	0.3413	0	20.0547	Arthropoda	393.3	0
ctg318	316965	0.3373	0	18.5917	Arthropoda	1115.8	1
ctg319	304681	0.3336	0	19.8594	Arthropoda	2554.4	0
ctg320	306775	0.3434	0	21.4175	Arthropoda	775.7	0
ctg321	365997	0.3391	0	18.5988	Arthropoda	2261.5	0
ctg322	707681	0.3285	0	19.8605	Arthropoda	671.3	0
ctg323	925847	0.3371	0	18.8319	Arthropoda	2093.9	0
ctg325	380652	0.3358	0	18.8504	Arthropoda	2270.4	0
ctg326	291283	0.3354	0	19.4858	Arthropoda	689.4	0
ctg328	291584	0.3317	0	24.7889	Arthropoda	583.1	0
ctg324	287604	0.3532	0	44.5926	Arthropoda	2330.9	1
ctg327	762292	0.3335	0	19.1624	Arthropoda	1947.0	0
ctg329	345302	0.335	0	18.8183	Arthropoda	1154.4	0
ctg330	289753	0.3267	0	19.9973	Arthropoda	1927.5	0
ctg331	675636	0.3262	0	21.9219	Arthropoda	3922.6	0
ctg332	897554	0.34	0	18.1871	Proteobacteria	489.6	1
ctg334	303450	0.325	0	20.3951	Arthropoda	943.5	0
ctg333	303634	0.4053	0	18.1084	Arthropoda	590.4	0
ctg335	806557	0.3344	0	20.712	Arthropoda	3812.2000000000003	2
ctg336	941245	0.3283	0	22.9189	Arthropoda	4562.8	0
ctg338	271923	0.3385	0	19.4945	Arthropoda	8518.2	0
ctg337	521204	0.3267	0	20.2909	Arthropoda	693.7	0
ctg340	278733	0.3217	0	21.1418	Arthropoda	791.6	0
ctg339	414730	0.3272	0	20.2194	Arthropoda	416.0	0
ctg341	281570	0.3507	0	21.8865	Arthropoda	2488.5	0
ctg342	278393	0.3292	0	19.2541	Arthropoda	772.0	1
ctg344	272727	0.3296	0	20.6187	Arthropoda	1210.0	0
ctg343	285432	0.3361	0	18.5719	Arthropoda	149.1	0
ctg345	841785	0.3394	0	19.5171	Arthropoda	2402.2	0
ctg346	285160	0.339	0	20.2502	Arthropoda	4925.9	0
ctg347	275079	0.328	0	20.012	Echinodermata	189.5	0
ctg352	312255	0.401	0	17.3135	Nematoda	552.0	0
ctg348	425713	0.3318	0	29.647	Arthropoda	5540.799999999999	0
ctg351	362484	0.3279	0	19.7952	Arthropoda	2371.3	1
ctg353	476776	0.3355	0	21.5609	Arthropoda	8172.0	1
ctg350	508394	0.3246	0	31.0222	Arthropoda	369.8	1
ctg349	1056851	0.3333	0	20.6359	Nematoda	949.5	1
ctg354	265478	0.3375	0	18.1593	Arthropoda	391.3	0
ctg357	272347	0.3369	0	24.6804	Arthropoda	1217.8	0
ctg355	341833	0.3403	0	21.3374	Arthropoda	490.7	0
ctg358	459769	0.3274	0	21.3285	Arthropoda	913.4	1
ctg359	904790	0.3326	0	19.0375	Arthropoda	3710.3	0
ctg360	277945	0.331	0	19.7347	Arthropoda	547.8	0
ctg361	348948	0.3284	0	19.696	Arthropoda	346.7	0
ctg363	272519	0.3266	0	20.5862	Arthropoda	276.9	0
ctg362	267711	0.3373	0	19.8258	Arthropoda	477.6	0
ctg364	520621	0.3366	0	20.1368	Arthropoda	2907.1	1
ctg365	368252	0.3594	0	19.6458	Arthropoda	1041.0	1
ctg366	453352	0.3252	0	18.8305	Arthropoda	1085.9	0
ctg367	274422	0.3288	0	19.3649	Arthropoda	1857.2	2
ctg368	391378	0.3302	0	18.4346	Nematoda	236.9	0
ctg369	285254	0.3257	0	35.7605	Arthropoda	1958.0	0
ctg370	628859	0.3542	0	19.1809	Arthropoda	2626.3	1
ctg371	270264	0.3394	0	19.7115	Porifera	728.8	1
ctg372	275117	0.3266	0	19.6268	Arthropoda	512.2	0
ctg373	561692	0.3506	0	22.7391	Arthropoda	677.6	0
ctg375	265982	0.3473	0	18.9903	Arthropoda	254.0	1
ctg377	266549	0.3215	0	19.7395	Arthropoda	1114.4	0
ctg374	583064	0.3308	0	53.873	Arthropoda	3942.7	0
ctg378	257892	0.3333	0	18.7955	Ascomycota	592.0	4
ctg376	268281	0.2779	0	93.6966	Proteobacteria	43296.0	1
ctg381	573305	0.3295	0	19.6056	Arthropoda	1694.5	2
ctg379	357449	0.3264	0	19.6876	Arthropoda	1968.7	1
ctg382	352281	0.339	0	22.8142	Arthropoda	427.9	0
ctg380	293241	0.3253	0	20.6566	Arthropoda	587.2	0
ctg383	289622	0.3305	0	19.3478	Arthropoda	999.5999999999999	0
ctg385	251894	0.3376	0	19.9741	Arthropoda	1969.3	0
ctg384	263924	0.3265	0	18.8394	Arthropoda	208.4	0
ctg386	789658	0.3328	0	26.3608	Arthropoda	1607.3	0
ctg390	253583	0.3281	0	21.3194	Proteobacteria	686.8	1
ctg387	243059	0.3288	0	54.7674	Arthropoda	214.5	0
