# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0004317	MF	e	3-hydroxypalmitoyl-[acyl-carrier-protein] dehydratase activity	6/211	258/106158	1.4627165187309248e-05	6	6	0.003642986661468075	TRINITY_DN103763_c0_g1_i1, TRINITY_DN11187_c1_g1_i1, TRINITY_DN177_c0_g1_i2, TRINITY_DN177_c0_g1_i7, TRINITY_DN177_c0_g3_i1, TRINITY_DN34178_c0_g1_i1
GO:0004315	MF	e	3-oxoacyl-[acyl-carrier-protein] synthase activity	6/211	260/106158	1.5277426208597328e-05	6	6	0.003642986661468075	TRINITY_DN103763_c0_g1_i1, TRINITY_DN11187_c1_g1_i1, TRINITY_DN177_c0_g1_i2, TRINITY_DN177_c0_g1_i7, TRINITY_DN177_c0_g3_i1, TRINITY_DN34178_c0_g1_i1
GO:0004316	MF	e	3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity	6/211	261/106158	1.5611194347433275e-05	6	6	0.003642986661468075	TRINITY_DN103763_c0_g1_i1, TRINITY_DN11187_c1_g1_i1, TRINITY_DN177_c0_g1_i2, TRINITY_DN177_c0_g1_i7, TRINITY_DN177_c0_g3_i1, TRINITY_DN34178_c0_g1_i1
GO:0102131	MF	e	3-oxo-glutaryl-[acp] methyl ester reductase activity	6/211	261/106158	1.5611194347433275e-05	5	6	0.003642986661468075	TRINITY_DN103763_c0_g1_i1, TRINITY_DN11187_c1_g1_i1, TRINITY_DN177_c0_g1_i2, TRINITY_DN177_c0_g1_i7, TRINITY_DN177_c0_g3_i1, TRINITY_DN34178_c0_g1_i1
GO:0102132	MF	e	3-oxo-pimeloyl-[acp] methyl ester reductase activity	6/211	261/106158	1.5611194347433275e-05	5	6	0.003642986661468075	TRINITY_DN103763_c0_g1_i1, TRINITY_DN11187_c1_g1_i1, TRINITY_DN177_c0_g1_i2, TRINITY_DN177_c0_g1_i7, TRINITY_DN177_c0_g3_i1, TRINITY_DN34178_c0_g1_i1
GO:0016420	MF	e	malonyltransferase activity	6/211	265/106158	1.7005643129259687e-05	5	6	0.003642986661468075	TRINITY_DN103763_c0_g1_i1, TRINITY_DN11187_c1_g1_i1, TRINITY_DN177_c0_g1_i2, TRINITY_DN177_c0_g1_i7, TRINITY_DN177_c0_g3_i1, TRINITY_DN34178_c0_g1_i1
GO:0016419	MF	e	S-malonyltransferase activity	6/211	265/106158	1.7005643129259687e-05	6	6	0.003642986661468075	TRINITY_DN103763_c0_g1_i1, TRINITY_DN11187_c1_g1_i1, TRINITY_DN177_c0_g1_i2, TRINITY_DN177_c0_g1_i7, TRINITY_DN177_c0_g3_i1, TRINITY_DN34178_c0_g1_i1
GO:0004314	MF	e	[acyl-carrier-protein] S-malonyltransferase activity	6/211	265/106158	1.7005643129259687e-05	7	6	0.003642986661468075	TRINITY_DN103763_c0_g1_i1, TRINITY_DN11187_c1_g1_i1, TRINITY_DN177_c0_g1_i2, TRINITY_DN177_c0_g1_i7, TRINITY_DN177_c0_g3_i1, TRINITY_DN34178_c0_g1_i1
GO:0016418	MF	e	S-acetyltransferase activity	6/211	270/106158	1.8888208338318134e-05	6	6	0.0037803908877401993	TRINITY_DN103763_c0_g1_i1, TRINITY_DN11187_c1_g1_i1, TRINITY_DN177_c0_g1_i2, TRINITY_DN177_c0_g1_i7, TRINITY_DN177_c0_g3_i1, TRINITY_DN34178_c0_g1_i1
GO:0031177	MF	e	phosphopantetheine binding	6/211	280/106158	2.3157352568449132e-05	4	6	0.0037803908877401993	TRINITY_DN103763_c0_g1_i1, TRINITY_DN11187_c1_g1_i1, TRINITY_DN177_c0_g1_i2, TRINITY_DN177_c0_g1_i7, TRINITY_DN177_c0_g3_i1, TRINITY_DN34178_c0_g1_i1
GO:0000829	MF	e	inositol heptakisphosphate kinase activity	2/211	4/106158	2.3529403865602898e-05	5	2	0.0037803908877401993	TRINITY_DN8725_c0_g2_i1, TRINITY_DN88704_c0_g1_i1
GO:0033857	MF	e	diphosphoinositol-pentakisphosphate kinase activity	2/211	4/106158	2.3529403865602898e-05	5	2	0.0037803908877401993	TRINITY_DN8725_c0_g2_i1, TRINITY_DN88704_c0_g1_i1
GO:0102092	MF	e	5-diphosphoinositol pentakisphosphate 3-kinase activity	2/211	4/106158	2.3529403865602898e-05	5	2	0.0037803908877401993	TRINITY_DN8725_c0_g2_i1, TRINITY_DN88704_c0_g1_i1
GO:0000827	MF	e	inositol-1,3,4,5,6-pentakisphosphate kinase activity	2/211	4/106158	2.3529403865602898e-05	5	2	0.0037803908877401993	TRINITY_DN8725_c0_g2_i1, TRINITY_DN88704_c0_g1_i1
GO:0016628	MF	e	oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor	6/211	289/106158	2.7633562841380343e-05	4	6	0.004262200732654504	TRINITY_DN103763_c0_g1_i1, TRINITY_DN11187_c1_g1_i1, TRINITY_DN177_c0_g1_i2, TRINITY_DN177_c0_g1_i7, TRINITY_DN177_c0_g3_i1, TRINITY_DN34178_c0_g1_i1
GO:0016417	MF	e	S-acyltransferase activity	6/211	330/106158	5.76395943960843e-05	5	6	0.008548395230434656	TRINITY_DN103763_c0_g1_i1, TRINITY_DN11187_c1_g1_i1, TRINITY_DN177_c0_g1_i2, TRINITY_DN177_c0_g1_i7, TRINITY_DN177_c0_g3_i1, TRINITY_DN34178_c0_g1_i1
GO:0003697	MF	e	single-stranded DNA binding	7/211	509/106158	8.058091998875405e-05	5	7	0.01020337635604111	TRINITY_DN10332_c0_g1_i1, TRINITY_DN103763_c0_g1_i1, TRINITY_DN11187_c1_g1_i1, TRINITY_DN1761_c0_g1_i12, TRINITY_DN177_c0_g1_i2, TRINITY_DN177_c0_g1_i7, TRINITY_DN82117_c0_g1_i1
GO:0052723	MF	e	inositol hexakisphosphate 1-kinase activity	2/211	7/106158	8.202921862999854e-05	6	2	0.01020337635604111	TRINITY_DN8725_c0_g2_i1, TRINITY_DN88704_c0_g1_i1
GO:0052724	MF	e	inositol hexakisphosphate 3-kinase activity	2/211	7/106158	8.202921862999854e-05	6	2	0.01020337635604111	TRINITY_DN8725_c0_g2_i1, TRINITY_DN88704_c0_g1_i1
GO:0000828	MF	e	inositol hexakisphosphate kinase activity	2/211	7/106158	8.202921862999854e-05	5	2	0.01020337635604111	TRINITY_DN8725_c0_g2_i1, TRINITY_DN88704_c0_g1_i1
GO:0000832	MF	e	inositol hexakisphosphate 5-kinase activity	2/211	7/106158	8.202921862999854e-05	6	2	0.01020337635604111	TRINITY_DN8725_c0_g2_i1, TRINITY_DN88704_c0_g1_i1
GO:0004312	MF	e	fatty acid synthase activity	6/211	362/106158	9.568660821781314e-05	5	6	0.011530236290246484	TRINITY_DN103763_c0_g1_i1, TRINITY_DN11187_c1_g1_i1, TRINITY_DN177_c0_g1_i2, TRINITY_DN177_c0_g1_i7, TRINITY_DN177_c0_g3_i1, TRINITY_DN34178_c0_g1_i1
GO:0016790	MF	e	thiolester hydrolase activity	6/211	390/106158	0.00014333742543704242	4	6	0.016748760984401076	TRINITY_DN103763_c0_g1_i1, TRINITY_DN11187_c1_g1_i1, TRINITY_DN177_c0_g1_i2, TRINITY_DN177_c0_g1_i7, TRINITY_DN177_c0_g3_i1, TRINITY_DN34178_c0_g1_i1
GO:0016627	MF	e	oxidoreductase activity, acting on the CH-CH group of donors	6/211	415/106158	0.00020021380765775933	3	6	0.022706601244950587	TRINITY_DN103763_c0_g1_i1, TRINITY_DN11187_c1_g1_i1, TRINITY_DN177_c0_g1_i2, TRINITY_DN177_c0_g1_i7, TRINITY_DN177_c0_g3_i1, TRINITY_DN34178_c0_g1_i1
GO:0072341	MF	e	modified amino acid binding	6/211	434/106158	0.0002542916947105173	2	6	0.02801567928010728	TRINITY_DN103763_c0_g1_i1, TRINITY_DN11187_c1_g1_i1, TRINITY_DN177_c0_g1_i2, TRINITY_DN177_c0_g1_i7, TRINITY_DN177_c0_g3_i1, TRINITY_DN34178_c0_g1_i1
