"","genes","logFC","AveExpr","t","P.Value","adj.P.Val","B","gid","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"16","g10065.t1",-0.819941091445829,10.8894442369321,-7.68644851695546,5.69582402858747e-08,4.75459429846852e-07,7.31459239945543,"g10065","af9afc5257cc3a55fb5276122bd6ea27",298,"Pfam","PF00153","Mitochondrial carrier protein",209,298,"2.2E-14",TRUE,"27-07-2020","IPR018108","Mitochondrial substrate/solute carrier",""
"17","g10065.t1",-0.819941091445829,10.8894442369321,-7.68644851695546,5.69582402858747e-08,4.75459429846852e-07,7.31459239945543,"g10065","af9afc5257cc3a55fb5276122bd6ea27",298,"Pfam","PF00153","Mitochondrial carrier protein",8,102,"2.4E-25",TRUE,"27-07-2020","IPR018108","Mitochondrial substrate/solute carrier",""
"18","g10065.t1",-0.819941091445829,10.8894442369321,-7.68644851695546,5.69582402858747e-08,4.75459429846852e-07,7.31459239945543,"g10065","af9afc5257cc3a55fb5276122bd6ea27",298,"Pfam","PF00153","Mitochondrial carrier protein",112,203,"1.7E-25",TRUE,"27-07-2020","IPR018108","Mitochondrial substrate/solute carrier",""
"19","g10089.t1",3.21033441151541,3.86167754628562,8.61389484890579,7.2741911654268e-09,8.59639219721596e-08,10.1877300368149,"g10089","0c3cb586b3a7de11533ab1f5d3f29372",546,"Pfam","PF04923","Ninjurin",123,225,"1.2E-23",TRUE,"27-07-2020","IPR007007","Ninjurin","GO:0007155|GO:0016021|GO:0042246"
"20","g10089.t1",3.21033441151541,3.86167754628562,8.61389484890579,7.2741911654268e-09,8.59639219721596e-08,10.1877300368149,"g10089","0c3cb586b3a7de11533ab1f5d3f29372",546,"Pfam","PF00445","Ribonuclease T2 family",279,475,"3.1E-33",TRUE,"27-07-2020","IPR001568","Ribonuclease T2-like","GO:0003723|GO:0033897"
"21","g10094.t1",0.591194388362601,4.94618198571478,9.71423984548565,7.3317810752024e-10,1.39398531328341e-08,12.1532004968662,"g10094","16456019863706e7db4d1504b083d6fb",1236,"Pfam","PF00533","BRCA1 C Terminus (BRCT) domain",402,476,"3.3E-6",TRUE,"27-07-2020","IPR001357","BRCT domain",""
"22","g10094.t1",0.591194388362601,4.94618198571478,9.71423984548565,7.3317810752024e-10,1.39398531328341e-08,12.1532004968662,"g10094","16456019863706e7db4d1504b083d6fb",1236,"Pfam","PF12738","twin BRCT domain",210,272,"1.5E-11",TRUE,"27-07-2020","IPR001357","BRCT domain",""
"23","g10094.t1",0.591194388362601,4.94618198571478,9.71423984548565,7.3317810752024e-10,1.39398531328341e-08,12.1532004968662,"g10094","16456019863706e7db4d1504b083d6fb",1236,"Pfam","PF00533","BRCA1 C Terminus (BRCT) domain",674,757,"7.4E-13",TRUE,"27-07-2020","IPR001357","BRCT domain",""
"24","g10094.t1",0.591194388362601,4.94618198571478,9.71423984548565,7.3317810752024e-10,1.39398531328341e-08,12.1532004968662,"g10094","16456019863706e7db4d1504b083d6fb",1236,"Pfam","PF16589","BRCT domain, a BRCA1 C-terminus domain",584,665,"1.9E-7",TRUE,"27-07-2020","IPR001357","BRCT domain",""
"25","g10094.t1",0.591194388362601,4.94618198571478,9.71423984548565,7.3317810752024e-10,1.39398531328341e-08,12.1532004968662,"g10094","16456019863706e7db4d1504b083d6fb",1236,"Pfam","PF12738","twin BRCT domain",115,177,"6.1E-12",TRUE,"27-07-2020","IPR001357","BRCT domain",""
"26","g10094.t1",0.591194388362601,4.94618198571478,9.71423984548565,7.3317810752024e-10,1.39398531328341e-08,12.1532004968662,"g10094","16456019863706e7db4d1504b083d6fb",1236,"Pfam","PF00533","BRCA1 C Terminus (BRCT) domain",1014,1084,"3.0E-5",TRUE,"27-07-2020","IPR001357","BRCT domain",""
"27","g10122.t1",7.25119234056082,0.633965944099899,10.5177441712436,1.51195936981019e-10,4.0416968368078e-09,13.9630479110978,"g10122","12c400add9d9b6b4718eb7387f0d7733",251,"Pfam","PF00188","Cysteine-rich secretory protein family",62,183,"6.2E-10",TRUE,"27-07-2020","IPR014044","CAP domain",""
"28","g10122.t1",7.25119234056082,0.633965944099899,10.5177441712436,1.51195936981019e-10,4.0416968368078e-09,13.9630479110978,"g10122","12c400add9d9b6b4718eb7387f0d7733",251,"SignalP_EUK","SignalP-noTM","",1,18,"-",TRUE,"27-07-2020","","",""
"29","g10125.t1",6.17816628211985,3.19583915127277,8.46387302787333,1.00691444531793e-08,1.12555956717812e-07,10.1336283818315,"g10125","6372609035accb11e5f6293a6adabbae",172,"Pfam","PF00188","Cysteine-rich secretory protein family",31,150,"7.9E-18",TRUE,"27-07-2020","IPR014044","CAP domain",""
"30","g10127.t1",1.12318337796855,4.28371433384419,9.44414914273381,1.26922311769354e-09,2.1583076283551e-08,11.7718190952212,"g10127","4212fba4e4d20e8bc6b1aa30795f3b1a",344,"Pfam","PF11717","RNA binding activity-knot of a chromodomain",14,65,"9.1E-14",TRUE,"27-07-2020","IPR025995","RNA binding activity-knot of a chromodomain",""
"31","g10127.t1",1.12318337796855,4.28371433384419,9.44414914273381,1.26922311769354e-09,2.1583076283551e-08,11.7718190952212,"g10127","4212fba4e4d20e8bc6b1aa30795f3b1a",344,"Pfam","PF05712","MRG",163,333,"6.0E-48",TRUE,"27-07-2020","IPR026541","MRG domain",""
"32","g10133.t1",-1.65735379482022,7.13529009671772,-8.46077730494953,1.01372481039632e-08,1.13197688251001e-07,9.21245752387997,"g10133","9f2b7d9c4b0b50ef2fa9c4e0540624dd",1316,"Pfam","PF07679","Immunoglobulin I-set domain",525,612,"1.0E-15",TRUE,"27-07-2020","IPR013098","Immunoglobulin I-set",""
"33","g10133.t1",-1.65735379482022,7.13529009671772,-8.46077730494953,1.01372481039632e-08,1.13197688251001e-07,9.21245752387997,"g10133","9f2b7d9c4b0b50ef2fa9c4e0540624dd",1316,"Pfam","PF03098","Animal haem peroxidase",741,1287,"5.0E-191",TRUE,"27-07-2020","IPR019791","Haem peroxidase, animal-type",""
"34","g10133.t1",-1.65735379482022,7.13529009671772,-8.46077730494953,1.01372481039632e-08,1.13197688251001e-07,9.21245752387997,"g10133","9f2b7d9c4b0b50ef2fa9c4e0540624dd",1316,"Pfam","PF07679","Immunoglobulin I-set domain",430,517,"2.7E-16",TRUE,"27-07-2020","IPR013098","Immunoglobulin I-set",""
"35","g10133.t1",-1.65735379482022,7.13529009671772,-8.46077730494953,1.01372481039632e-08,1.13197688251001e-07,9.21245752387997,"g10133","9f2b7d9c4b0b50ef2fa9c4e0540624dd",1316,"Pfam","PF07679","Immunoglobulin I-set domain",340,413,"4.2E-9",TRUE,"27-07-2020","IPR013098","Immunoglobulin I-set",""
"36","g10133.t1",-1.65735379482022,7.13529009671772,-8.46077730494953,1.01372481039632e-08,1.13197688251001e-07,9.21245752387997,"g10133","9f2b7d9c4b0b50ef2fa9c4e0540624dd",1316,"Pfam","PF13855","Leucine rich repeat",50,109,"1.1E-11",TRUE,"27-07-2020","IPR001611","Leucine-rich repeat","GO:0005515"
"37","g10133.t1",-1.65735379482022,7.13529009671772,-8.46077730494953,1.01372481039632e-08,1.13197688251001e-07,9.21245752387997,"g10133","9f2b7d9c4b0b50ef2fa9c4e0540624dd",1316,"SignalP_EUK","SignalP-noTM","",1,19,"-",TRUE,"27-07-2020","","",""
"38","g10133.t1",-1.65735379482022,7.13529009671772,-8.46077730494953,1.01372481039632e-08,1.13197688251001e-07,9.21245752387997,"g10133","9f2b7d9c4b0b50ef2fa9c4e0540624dd",1316,"Pfam","PF13927","Immunoglobulin domain",234,309,"2.2E-12",TRUE,"27-07-2020","","",""
"39","g10133.t1",-1.65735379482022,7.13529009671772,-8.46077730494953,1.01372481039632e-08,1.13197688251001e-07,9.21245752387997,"g10133","9f2b7d9c4b0b50ef2fa9c4e0540624dd",1316,"Pfam","PF13855","Leucine rich repeat",122,181,"1.3E-10",TRUE,"27-07-2020","IPR001611","Leucine-rich repeat","GO:0005515"
"40","g10143.t1",1.31411848396986,2.19923877190898,6.88825909991343,3.66503517266936e-07,2.23678930733537e-06,6.43760266558859,"g10143",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","g10146.t1",5.38693502144246,1.54521732814327,8.52331417426326,8.84888547216408e-09,1.00927243819204e-07,10.2821952056125,"g10146","0944619d0be8a7ec8952f00ef287b6e5",823,"Pfam","PF07782","DC-STAMP-like protein",419,607,"1.4E-33",TRUE,"27-07-2020","IPR012858","Dendritic cell-specific transmembrane protein-like","GO:0016021"
"42","g10159.t1",-1.39647172680404,9.16864103459551,-10.8726470283592,7.71700311235277e-11,2.31847571640802e-09,14.1361579743696,"g10159","3de1b1fc0ba216d08991e8044a6ec637",926,"Pfam","PF13927","Immunoglobulin domain",220,294,"1.5E-7",TRUE,"27-07-2020","","",""
"43","g10159.t1",-1.39647172680404,9.16864103459551,-10.8726470283592,7.71700311235277e-11,2.31847571640802e-09,14.1361579743696,"g10159","3de1b1fc0ba216d08991e8044a6ec637",926,"Pfam","PF13927","Immunoglobulin domain",412,493,"4.1E-7",TRUE,"27-07-2020","","",""
"44","g10159.t1",-1.39647172680404,9.16864103459551,-10.8726470283592,7.71700311235277e-11,2.31847571640802e-09,14.1361579743696,"g10159","3de1b1fc0ba216d08991e8044a6ec637",926,"Pfam","PF13927","Immunoglobulin domain",736,796,"3.5E-7",TRUE,"27-07-2020","","",""
"45","g10159.t1",-1.39647172680404,9.16864103459551,-10.8726470283592,7.71700311235277e-11,2.31847571640802e-09,14.1361579743696,"g10159","3de1b1fc0ba216d08991e8044a6ec637",926,"Pfam","PF13927","Immunoglobulin domain",626,703,"1.0E-9",TRUE,"27-07-2020","","",""
"46","g10159.t1",-1.39647172680404,9.16864103459551,-10.8726470283592,7.71700311235277e-11,2.31847571640802e-09,14.1361579743696,"g10159","3de1b1fc0ba216d08991e8044a6ec637",926,"Pfam","PF00041","Fibronectin type III domain",813,897,"1.5E-9",TRUE,"27-07-2020","IPR003961","Fibronectin type III","GO:0005515"
"47","g10159.t1",-1.39647172680404,9.16864103459551,-10.8726470283592,7.71700311235277e-11,2.31847571640802e-09,14.1361579743696,"g10159","3de1b1fc0ba216d08991e8044a6ec637",926,"SignalP_EUK","SignalP-noTM","",1,18,"-",TRUE,"27-07-2020","","",""
"48","g10160.t1",-1.21305280088839,3.97718645585807,-7.96908135589573,3.00555943596385e-08,2.8105526304544e-07,8.57018043191268,"g10160","4d6dfda25c6a265b0d4c5ab03d4a6108",476,"Pfam","PF07679","Immunoglobulin I-set domain",257,333,"2.9E-5",TRUE,"27-07-2020","IPR013098","Immunoglobulin I-set",""
"49","g10164.t1",-0.388773487914413,6.37012950638446,-7.94994923066604,3.13742715969456e-08,2.89787616839726e-07,8.10114929368374,"g10164","330e5ab63f2c0c2ecc23b9f9948168d3",689,"Pfam","PF00581","Rhodanese-like domain",329,433,"3.4E-5",TRUE,"27-07-2020","IPR001763","Rhodanese-like domain",""
"50","g10164.t1",-0.388773487914413,6.37012950638446,-7.94994923066604,3.13742715969456e-08,2.89787616839726e-07,8.10114929368374,"g10164","330e5ab63f2c0c2ecc23b9f9948168d3",689,"Pfam","PF00566","Rab-GTPase-TBC domain",39,232,"4.2E-18",TRUE,"27-07-2020","IPR000195","Rab-GTPase-TBC domain",""
"51","g10172.t1",-1.03157044467553,5.55804212392905,-7.37041433838535,1.17872741314151e-07,8.71674631677308e-07,6.85947260543767,"g10172","9331d836e008912a258eb7d917988b0c",534,"Pfam","PF13927","Immunoglobulin domain",308,388,"1.3E-9",TRUE,"27-07-2020","","",""
"52","g10172.t1",-1.03157044467553,5.55804212392905,-7.37041433838535,1.17872741314151e-07,8.71674631677308e-07,6.85947260543767,"g10172","9331d836e008912a258eb7d917988b0c",534,"Pfam","PF00047","Immunoglobulin domain",224,292,"1.4E-6",TRUE,"27-07-2020","IPR013151","Immunoglobulin",""
"53","g10178.t1",-2.45100389354352,2.77359320784416,-7.73942582138758,5.04855289158064e-08,4.29251959964839e-07,8.21939590160586,"g10178","428e77f7e6f9527a8f498a68834c7254",938,"SignalP_EUK","SignalP-noTM","",1,16,"-",TRUE,"27-07-2020","","",""
"54","g10180.t1",-1.66439814383771,2.91663371081072,-7.70790685376514,5.42396471731833e-08,4.56649970685992e-07,8.22314048559862,"g10180","f9b31a233178e7b391b08a01529a5ce6",655,"Pfam","PF07732","Multicopper oxidase",102,207,"2.2E-34",TRUE,"27-07-2020","IPR011707","Multicopper oxidase, type 3","GO:0005507"
"55","g10180.t1",-1.66439814383771,2.91663371081072,-7.70790685376514,5.42396471731833e-08,4.56649970685992e-07,8.22314048559862,"g10180","f9b31a233178e7b391b08a01529a5ce6",655,"Pfam","PF07731","Multicopper oxidase",513,633,"1.2E-27",TRUE,"27-07-2020","IPR011706","Multicopper oxidase, type 2","GO:0005507|GO:0016491|GO:0055114"
"56","g10180.t1",-1.66439814383771,2.91663371081072,-7.70790685376514,5.42396471731833e-08,4.56649970685992e-07,8.22314048559862,"g10180","f9b31a233178e7b391b08a01529a5ce6",655,"SignalP_EUK","SignalP-noTM","",1,21,"-",TRUE,"27-07-2020","","",""
"57","g10180.t1",-1.66439814383771,2.91663371081072,-7.70790685376514,5.42396471731833e-08,4.56649970685992e-07,8.22314048559862,"g10180","f9b31a233178e7b391b08a01529a5ce6",655,"Pfam","PF00394","Multicopper oxidase",225,377,"2.2E-28",TRUE,"27-07-2020","IPR001117","Multicopper oxidase, type 1","GO:0055114"
"58","g10203.t1",1.30085455898674,6.81164985944591,12.3544983376319,5.42412429783516e-12,2.78781051816416e-10,16.9787934580392,"g10203","0286fdf35c7b2f4c711a748859054c28",612,"Pfam","PF00754","F5/8 type C domain",452,556,"8.3E-7",TRUE,"27-07-2020","IPR000421","Coagulation factor 5/8 C-terminal domain",""
"59","g10203.t1",1.30085455898674,6.81164985944591,12.3544983376319,5.42412429783516e-12,2.78781051816416e-10,16.9787934580392,"g10203","0286fdf35c7b2f4c711a748859054c28",612,"Pfam","PF00651","BTB/POZ domain",36,139,"1.9E-24",TRUE,"27-07-2020","IPR000210","BTB/POZ domain","GO:0005515"
"60","g10203.t1",1.30085455898674,6.81164985944591,12.3544983376319,5.42412429783516e-12,2.78781051816416e-10,16.9787934580392,"g10203","0286fdf35c7b2f4c711a748859054c28",612,"Pfam","PF07707","BTB And C-terminal Kelch",146,246,"5.2E-21",TRUE,"27-07-2020","IPR011705","BTB/Kelch-associated",""
"61","g10203.t1",1.30085455898674,6.81164985944591,12.3544983376319,5.42412429783516e-12,2.78781051816416e-10,16.9787934580392,"g10203","0286fdf35c7b2f4c711a748859054c28",612,"Pfam","PF00754","F5/8 type C domain",300,410,"1.5E-7",TRUE,"27-07-2020","IPR000421","Coagulation factor 5/8 C-terminal domain",""
"62","g10213.t1",3.16794975006255,5.58116071029484,13.8392187697236,4.74958354105457e-13,3.853894361462e-11,19.7171523943985,"g10213","5d4c9431122c7983e5589b8166554689",736,"Pfam","PF00069","Protein kinase domain",30,275,"1.8E-70",TRUE,"27-07-2020","IPR000719","Protein kinase domain","GO:0004672|GO:0005524|GO:0006468"
"63","g10213.t1",3.16794975006255,5.58116071029484,13.8392187697236,4.74958354105457e-13,3.853894361462e-11,19.7171523943985,"g10213","5d4c9431122c7983e5589b8166554689",736,"Pfam","PF18409","Polo-like Kinase 4 Polo Box 2",601,710,"3.5E-31",TRUE,"27-07-2020","IPR033698","Plk4, second cryptic polo-box domain",""
"64","g10213.t1",3.16794975006255,5.58116071029484,13.8392187697236,4.74958354105457e-13,3.853894361462e-11,19.7171523943985,"g10213","5d4c9431122c7983e5589b8166554689",736,"Pfam","PF18190","Polo-like Kinase 4 Polo Box 1",491,599,"1.6E-32",TRUE,"27-07-2020","IPR033699","Plk4, first cryptic polo-box domain",""
"65","g1022.t1",1.73714769049848,2.7398948602162,9.56502936347472,9.91688232171766e-10,1.77573366334145e-08,12.3208786586004,"g1022","95b44191fa9180bc663b67e5e136948b",470,"Pfam","PF03261","Cyclin-dependent kinase 5 activator protein",80,459,"3.7E-119",TRUE,"27-07-2020","IPR004944","Cyclin-dependent kinase 5 activator","GO:0016533|GO:0061575"
"66","g10223.t1",12.1012816499453,1.05983212718282,14.2952971948746,2.34111272605969e-13,2.2235176628613e-11,19.0739489807815,"g10223",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","g10230.t1",-0.444382101800999,6.14083801144588,-7.38316558002951,1.14435193737344e-07,8.52062623889686e-07,6.79787919884244,"g10230","55cc0d82fa88180ec9129c2615e7201e",416,"Pfam","PF09325","Vps5 C terminal like",183,398,"2.7E-11",TRUE,"27-07-2020","IPR015404","Sorting nexin Vps5-like, C-terminal",""
"68","g10230.t1",-0.444382101800999,6.14083801144588,-7.38316558002951,1.14435193737344e-07,8.52062623889686e-07,6.79787919884244,"g10230","55cc0d82fa88180ec9129c2615e7201e",416,"Pfam","PF00787","PX domain",30,168,"5.0E-21",TRUE,"27-07-2020","IPR001683","Phox homologous domain","GO:0035091"
"69","g10238.t1",-2.438242217777,-0.264388632980272,-7.74269253050047,5.01119968906971e-08,4.26603988400358e-07,8.59913586738696,"g10238",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","g10241.t1",5.64323886496675,-3.36554055091242,7.70686887686608,5.43680366009356e-08,4.57357238508279e-07,8.2214267885111,"g10241",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","g10247.t1",0.620095953852844,6.19820349063746,10.1716585847741,2.95567218961016e-10,6.8063021036721e-09,12.9072304989117,"g10247","c4efff6eeedbaa910d9b15ea3eb1d063",518,"Pfam","PF13424","Tetratricopeptide repeat",216,290,"2.0E-17",TRUE,"27-07-2020","","",""
"72","g10247.t1",0.620095953852844,6.19820349063746,10.1716585847741,2.95567218961016e-10,6.8063021036721e-09,12.9072304989117,"g10247","c4efff6eeedbaa910d9b15ea3eb1d063",518,"Pfam","PF13374","Tetratricopeptide repeat",383,421,"3.4E-5",TRUE,"27-07-2020","","",""
"73","g10247.t1",0.620095953852844,6.19820349063746,10.1716585847741,2.95567218961016e-10,6.8063021036721e-09,12.9072304989117,"g10247","c4efff6eeedbaa910d9b15ea3eb1d063",518,"Pfam","PF13424","Tetratricopeptide repeat",299,373,"4.9E-21",TRUE,"27-07-2020","","",""
"74","g10247.t1",0.620095953852844,6.19820349063746,10.1716585847741,2.95567218961016e-10,6.8063021036721e-09,12.9072304989117,"g10247","c4efff6eeedbaa910d9b15ea3eb1d063",518,"Pfam","PF13374","Tetratricopeptide repeat",468,501,"1.2E-4",TRUE,"27-07-2020","","",""
"75","g10265.t1",2.46107524381611,7.30853543426068,12.7587856016899,2.73644653649335e-12,1.62028008642994e-10,17.6690431377591,"g10265",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","g1027.t1",4.10954805895022,-0.732238183623676,9.05629994825054,2.83717522609778e-09,4.01332748180339e-08,11.2681211782164,"g1027",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","g1027.t2",6.32901494312609,-2.40759718559356,10.3913293708578,1.92818405012903e-10,4.92439569679794e-09,13.1342190485696,"g1027",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","g10277.t1",-1.52908340727324,5.58302097602076,-9.24807195843111,1.90149381157832e-09,2.91673203822329e-08,11.0523169229014,"g10277","56548c6dfdf697a85e856b935fa46577",313,"Pfam","PF00701","Dihydrodipicolinate synthetase family",19,307,"7.2E-46",TRUE,"27-07-2020","IPR002220","DapA-like","GO:0016829"
"79","g10281.t1",-1.55464710204402,3.77975545279095,-14.2766176322643,2.40908529326277e-13,2.27758017863054e-11,20.5463519098278,"g10281","e2afe0f96ce32b3f9d3f6fcb0bff50b6",815,"Pfam","PF03473","MOSC domain",681,792,"4.0E-21",TRUE,"27-07-2020","IPR005302","Molybdenum cofactor sulfurase, C-terminal","GO:0003824|GO:0030151|GO:0030170"
"80","g10281.t1",-1.55464710204402,3.77975545279095,-14.2766176322643,2.40908529326277e-13,2.27758017863054e-11,20.5463519098278,"g10281","e2afe0f96ce32b3f9d3f6fcb0bff50b6",815,"Pfam","PF00266","Aminotransferase class-V",25,462,"2.1E-24",TRUE,"27-07-2020","IPR000192","Aminotransferase class V domain",""
"81","g10281.t1",-1.55464710204402,3.77975545279095,-14.2766176322643,2.40908529326277e-13,2.27758017863054e-11,20.5463519098278,"g10281","e2afe0f96ce32b3f9d3f6fcb0bff50b6",815,"Pfam","PF03476","MOSC N-terminal beta barrel domain",532,655,"9.4E-21",TRUE,"27-07-2020","IPR005303","MOSC, N-terminal beta barrel",""
"82","g10282.t1",-0.820077274489961,4.23206705367898,-7.64946202070253,6.19766573319643e-08,5.09747444556013e-07,7.75298839435759,"g10282",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","g10299.t1",6.04123641927375,-1.58989682294028,10.6590766668727,1.15464653343597e-10,3.26437106366466e-09,13.8115807479044,"g10299",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","g10300.t1",6.79875202148026,4.58633403794758,16.7730146958422,6.71271370632017e-15,1.88743714679984e-12,24.0893151442972,"g10300","d6748507f3b72e9a9644b5b8452b0699",235,"Pfam","PF00011","Hsp20/alpha crystallin family",85,167,"4.3E-19",TRUE,"27-07-2020","IPR002068","Alpha crystallin/Hsp20 domain",""
"85","g10302.t1",-1.99296569346783,9.22820870194033,-9.53666249128899,1.05063118378862e-09,1.85867027449644e-08,11.4484517283582,"g10302","6bdc38ebd516adda85ad2971f74d0321",713,"Pfam","PF00501","AMP-binding enzyme",106,564,"1.2E-82",TRUE,"27-07-2020","IPR000873","AMP-dependent synthetase/ligase","GO:0003824"
"86","g10319.t1",1.78234088600284,5.48945701253438,16.8219377860402,6.28641766193191e-15,1.85090097160595e-12,24.0705717289747,"g10319","252e1369caaea9d499d4dacc1785406b",165,"Pfam","PF01981","Peptidyl-tRNA hydrolase PTH2",51,164,"2.4E-33",TRUE,"27-07-2020","IPR002833","Peptidyl-tRNA hydrolase, PTH2","GO:0004045"
"87","g10325.t1",4.19030351243926,5.24358021455486,17.9416798857468,1.46150275134132e-15,5.96925512483481e-13,25.6831144414266,"g10325","24fdeb76540dc4da8ede91ffbfb61e8d",334,"Pfam","PF14780","Domain of unknown function (DUF4477)",21,195,"8.9E-27",TRUE,"27-07-2020","IPR027951","Domain of unknown function DUF4477",""
"88","g10337.t1",2.72356366901259,0.530695854481613,9.3665626164776,1.48849674275928e-09,2.42185537877351e-08,11.9825782578649,"g10337","3039699eb4d0efad31c8d96cb9720184",248,"Pfam","PF10211","Axonemal dynein light chain",56,241,"8.0E-74",TRUE,"27-07-2020","IPR019347","Axonemal dynein light chain",""
"89","g10353.t1",1.49041030078473,7.60069735935912,9.83042128361966,5.80661716093688e-10,1.15334231145273e-08,12.1368017102587,"g10353","9fecc9ea7837053f6f5098dc77e48a67",438,"Pfam","PF18609","Exuperantia SAM-like domain",293,369,"6.4E-11",TRUE,"27-07-2020","IPR040941","Exuperantia, SAM-like domain",""
