"","genes","logFC","AveExpr","t","P.Value","adj.P.Val","B","gid","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"15","g11049.t1",1.60080379325094,0.866675280342978,6.36379758992555,1.30029748909748e-06,0.000113555640891098,5.31491168068789,"g11049","fd024e9545f0cb1a5485b2968679f77b",758,"SignalP_EUK","SignalP-noTM","",1,25,"-",TRUE,"27-07-2020","","",""
"16","g11147.t1",4.22715554119628,-4.29692873960669,6.68058059547411,6.02786939161404e-07,6.11992059907219e-05,6.1567661593306,"g11147",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","g1124.t1",9.40220124390881,-2.98612392093903,7.52281281097937,8.28688311514601e-08,1.20276521833211e-05,8.07333350639324,"g1124","e9eb5953ddbc66014bb41a03d9787572",145,"SignalP_EUK","SignalP-noTM","",1,27,"-",TRUE,"27-07-2020","","",""
"18","g1125.t1",9.13838233291765,-3.00338709060885,9.70066790449056,7.53510898957088e-10,2.67756200474234e-07,12.4332051174986,"g1125","709f0aa99384952687240585480e1b8b",107,"SignalP_EUK","SignalP-noTM","",1,36,"-",TRUE,"27-07-2020","","",""
"19","g1126.t1",8.74604009645922,-3.03328671894244,7.70262381752001,5.48963684782517e-08,8.97947741537117e-06,8.46497707460309,"g1126",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","g1127.t1",9.18888805479624,-2.97007278654341,7.1287632460594,2.07362000174004e-07,2.48472722301525e-05,7.20708989649732,"g1127",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","g1128.t1",3.47038192914938,5.11022515021365,16.3114233605614,1.25678659546164e-14,4.81287503064896e-11,23.3990374706414,"g1128","f17849298a808d3e4d70feb366757268",933,"Pfam","PF00621","RhoGEF domain",541,727,"7.5E-37",TRUE,"27-07-2020","IPR000219","Dbl homology (DH) domain","GO:0005089|GO:0035023"
"22","g11372.t1",5.97310741593966,-1.75444750747928,7.6941412638794,5.59679189557111e-08,9.0826677927339e-06,8.45666130038975,"g11372",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","g1157.t1",-2.07388968715341,1.26202940024186,-11.6134168656438,1.98615989044284e-11,1.63739021368108e-08,16.2541863635995,"g1157","afc5abc4a79db670c595989ccb809a97",437,"Pfam","PF05577","Serine carboxypeptidase S28",46,347,"4.1E-65",TRUE,"27-07-2020","IPR008758","Peptidase S28","GO:0006508|GO:0008236"
"24","g1157.t1",-2.07388968715341,1.26202940024186,-11.6134168656438,1.98615989044284e-11,1.63739021368108e-08,16.2541863635995,"g1157","afc5abc4a79db670c595989ccb809a97",437,"Pfam","PF05577","Serine carboxypeptidase S28",352,425,"1.1E-14",TRUE,"27-07-2020","IPR008758","Peptidase S28","GO:0006508|GO:0008236"
"25","g1157.t1",-2.07388968715341,1.26202940024186,-11.6134168656438,1.98615989044284e-11,1.63739021368108e-08,16.2541863635995,"g1157","afc5abc4a79db670c595989ccb809a97",437,"SignalP_EUK","SignalP-noTM","",1,15,"-",TRUE,"27-07-2020","","",""
"26","g11595.t1",4.04394824650365,-3.17718739482532,8.07464921951516,2.37359753028435e-08,4.36784331242505e-06,9.18478763033757,"g11595","d14123277f7512ec7e8c60d366a7c288",843,"Pfam","PF03184","DDE superfamily endonuclease",213,378,"8.6E-20",TRUE,"27-07-2020","IPR004875","DDE superfamily endonuclease domain","GO:0003676"
"27","g11595.t1",4.04394824650365,-3.17718739482532,8.07464921951516,2.37359753028435e-08,4.36784331242505e-06,9.18478763033757,"g11595","d14123277f7512ec7e8c60d366a7c288",843,"Pfam","PF03221","Tc5 transposase DNA-binding domain",66,131,"3.2E-5",TRUE,"27-07-2020","IPR006600","HTH CenpB-type DNA-binding domain",""
"28","g11595.t1",4.04394824650365,-3.17718739482532,8.07464921951516,2.37359753028435e-08,4.36784331242505e-06,9.18478763033757,"g11595","d14123277f7512ec7e8c60d366a7c288",843,"Pfam","PF05225","helix-turn-helix, Psq domain",11,45,"3.4E-6",TRUE,"27-07-2020","IPR007889","DNA binding HTH domain, Psq-type","GO:0003677"
"29","g1162.t1",4.46260965042463,-3.86857074009646,8.8095524075649,4.7815217751726e-09,1.18731522634105e-06,10.5740972026846,"g1162",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","g11727.t1",7.39940134786464,-1.67115191904564,7.02761432396894,2.63252717289631e-07,3.04811151872994e-05,6.92144473851706,"g11727","d7d06c5fe30dc874329785d56ea1cecb",578,"Pfam","PF13843","Transposase IS4",111,465,"9.2E-71",TRUE,"27-07-2020","IPR029526","PiggyBac transposable element-derived protein",""
"31","g11737.t1",0.664365531437633,7.48657144179824,6.86081683711754,3.91291419673497e-07,4.32414497082673e-05,5.2988236479998,"g11737","81decbc94c84b643bdae6a165afa898c",1531,"Pfam","PF10541","Nuclear envelope localisation domain",1479,1531,"1.7E-17",TRUE,"27-07-2020","IPR012315","KASH domain","GO:0016021"
"32","g11911.t1",3.95011985154714,-2.41032819438839,8.82332928665413,4.64320869376975e-09,1.16703086803164e-06,10.913079578249,"g11911","5db1fb730b4e3f95a3dd797ef0a42f6d",443,"SignalP_EUK","SignalP-noTM","",1,23,"-",TRUE,"27-07-2020","","",""
"33","g1208.t1",5.56101137861412,-2.87207170844358,12.4801446725548,4.37742492678481e-12,5.0121515411686e-09,16.842327087697,"g1208",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","g12210.t1",4.7205129519315,-1.4549779618328,6.32485050211553,1.43032277340657e-06,0.000123342896903386,5.34121603505304,"g12210","381d2bb2d0a016deecc182ebdd7cbc0c",387,"Pfam","PF09820","Predicted AAA-ATPase",1,273,"2.5E-57",TRUE,"27-07-2020","IPR018631","AAA-ATPase-like domain",""
"35","g12328.t1",-4.06172556659177,-4.50520372314255,-6.20444971133792,1.92241005286672e-06,0.000156604233950921,5.0820040015753,"g12328","c1f0e41330165fa4a65eb9ec563482ee",222,"Pfam","PF02055","Glycosyl hydrolase family 30 TIM-barrel domain",23,146,"8.1E-30",TRUE,"27-07-2020","IPR033453","Glycosyl hydrolase family 30, TIM-barrel domain",""
"36","g12328.t1",-4.06172556659177,-4.50520372314255,-6.20444971133792,1.92241005286672e-06,0.000156604233950921,5.0820040015753,"g12328","c1f0e41330165fa4a65eb9ec563482ee",222,"Pfam","PF17189","Glycosyl hydrolase family 30 beta sandwich domain",161,214,"2.3E-6",TRUE,"27-07-2020","IPR033452","Glycosyl hydrolase family 30, beta sandwich domain",""
"37","g12441.t1",-2.01486946198216,3.38633235494378,-8.61849982178902,7.20229293804633e-09,1.68680974378562e-06,10.0491425247913,"g12441","acc2ce107416a27ef9fca76ed24f704d",627,"Pfam","PF00240","Ubiquitin family",45,115,"5.1E-24",TRUE,"27-07-2020","IPR000626","Ubiquitin domain","GO:0005515"
"38","g12441.t1",-2.01486946198216,3.38633235494378,-8.61849982178902,7.20229293804633e-09,1.68680974378562e-06,10.0491425247913,"g12441","acc2ce107416a27ef9fca76ed24f704d",627,"Pfam","PF00240","Ubiquitin family",121,190,"1.2E-19",TRUE,"27-07-2020","IPR000626","Ubiquitin domain","GO:0005515"
"39","g12530.t1",-4.4987515370501,-4.01041165602176,-8.85825853369532,4.31068523847718e-09,1.11054028456268e-06,10.8348332750946,"g12530",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","g12841.t1",-5.42075718538503,-3.17393993368263,-14.7446134942583,1.18652193901502e-13,2.7171352403444e-10,19.6374836389987,"g12841","52eba16b2b778159ceca9682c74779fc",152,"Pfam","PF10260","Uncharacterized conserved domain (SAYSvFN)",78,146,"2.9E-28",TRUE,"27-07-2020","IPR019387","Uncharacterised domain SAYSvFN",""
"41","g12888.t1",-0.70916478586033,3.70399223366429,-7.83879629827261,4.03026417251227e-08,6.80850365536704e-06,8.26347933270783,"g12888",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","g13032.t1",-0.512135196478187,6.69272466881238,-7.30760259812393,1.36415506501738e-07,1.81388618645214e-05,6.41133365600151,"g13032","0af87bbf3d45e6150d2637ed9c0c9ff6",1669,"SignalP_EUK","SignalP-noTM","",1,22,"-",TRUE,"27-07-2020","","",""
"43","g13042.t1",-3.07294007403673,-1.80806225528247,-7.75563694270597,4.86595174229323e-08,8.15343621208646e-06,8.62422699964462,"g13042",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","g13171.t1",4.72644290947194,-3.64832936002575,12.1020169624659,8.3860278838402e-12,8.45354430734899e-09,16.1001716687326,"g13171",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","g13191.t1",3.69273134276745,-3.59965152725451,10.5233210101509,1.49589216989802e-10,8.33252368151303e-08,13.5573664992991,"g13191","6a05b99f30c14885f53042d97e569a0b",318,"SignalP_EUK","SignalP-noTM","",1,16,"-",TRUE,"27-07-2020","","",""
"46","g13198.t1",1.4931369526018,1.7498828450542,9.08500658296815,2.67139975937781e-09,7.86536414868238e-07,11.3285100994252,"g13198",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","g1324.t1",-4.56350585002748,3.54228738381832,-6.29297544955618,1.54654841582285e-06,0.000131712243182268,4.80499715367943,"g1324","0c9e836e82fc7bc89a760d31c06bff6e",648,"Pfam","PF09820","Predicted AAA-ATPase",29,364,"2.9E-26",TRUE,"27-07-2020","IPR018631","AAA-ATPase-like domain",""
"48","g13321.t1",4.56310949955174,-3.17629119951663,8.70713958907286,5.95210669630549e-09,1.42642929082391e-06,10.3833134026745,"g13321",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","g13384.t1",0.557313890628444,7.98541192986118,7.65720457821736,6.08898677800541e-08,9.65338596113012e-06,7.18034258558296,"g13384","5feeb0371f01ed8695cd43cef776e7ad",1871,"Pfam","PF00097","Zinc finger, C3HC4 type (RING finger)",252,292,"1.6E-4",TRUE,"27-07-2020","IPR018957","Zinc finger, C3HC4 RING-type","GO:0046872"
"50","g13384.t1",0.557313890628444,7.98541192986118,7.65720457821736,6.08898677800541e-08,9.65338596113012e-06,7.18034258558296,"g13384","5feeb0371f01ed8695cd43cef776e7ad",1871,"Pfam","PF08783","DWNN domain",3,76,"9.7E-25",TRUE,"27-07-2020","IPR014891","DWNN domain","GO:0008270"
"51","g13388.t1",-2.94911860554275,-0.890394747277233,-7.20621328767649,1.72882163983909e-07,2.17262280470022e-05,7.38014056415981,"g13388",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","g13389.t1",-2.31294110371104,-0.467880527640381,-6.10341191158122,2.4667408774395e-06,0.000188294553644548,4.74524233374941,"g13389",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","g13495.t1",-3.45144653459262,1.62898305069324,-8.35556949918903,1.27567429234223e-08,2.6828211393034e-06,9.86635519096269,"g13495","293138c97810ef5ef2e4fb6b7ade4bdc",522,"Pfam","PF04389","Peptidase family M28",228,422,"1.4E-41",TRUE,"27-07-2020","IPR007484","Peptidase M28",""
"54","g13497.t1",-3.9446227419117,2.23119343512038,-9.8897829157743,5.1576948329753e-10,2.04423250976194e-07,13.018859804411,"g13497",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","g13530.t1",3.95403773448862,6.04104626067561,25.7890765996741,3.23171399658296e-19,6.66056254695748e-15,34.0447263885625,"g13530","60b0fafa2b92247241c9ead47cd7709d",1036,"Pfam","PF05184","Saposin-like type B, region 1",828,864,"5.7E-8",TRUE,"27-07-2020","IPR007856","Saposin-like type B, region 1","GO:0006629"
"56","g13530.t1",3.95403773448862,6.04104626067561,25.7890765996741,3.23171399658296e-19,6.66056254695748e-15,34.0447263885625,"g13530","60b0fafa2b92247241c9ead47cd7709d",1036,"Pfam","PF05184","Saposin-like type B, region 1",553,587,"3.5E-7",TRUE,"27-07-2020","IPR007856","Saposin-like type B, region 1","GO:0006629"
"57","g13530.t1",3.95403773448862,6.04104626067561,25.7890765996741,3.23171399658296e-19,6.66056254695748e-15,34.0447263885625,"g13530","60b0fafa2b92247241c9ead47cd7709d",1036,"Pfam","PF05184","Saposin-like type B, region 1",239,275,"2.7E-10",TRUE,"27-07-2020","IPR007856","Saposin-like type B, region 1","GO:0006629"
"58","g13530.t1",3.95403773448862,6.04104626067561,25.7890765996741,3.23171399658296e-19,6.66056254695748e-15,34.0447263885625,"g13530","60b0fafa2b92247241c9ead47cd7709d",1036,"Pfam","PF03489","Saposin-like type B, region 2",595,627,"3.1E-9",TRUE,"27-07-2020","IPR008138","Saposin B type, region 2",""
"59","g13530.t1",3.95403773448862,6.04104626067561,25.7890765996741,3.23171399658296e-19,6.66056254695748e-15,34.0447263885625,"g13530","60b0fafa2b92247241c9ead47cd7709d",1036,"Pfam","PF02199","Saposin A-type domain",38,63,"2.4E-8",TRUE,"27-07-2020","IPR003119","Saposin A-type domain",""
"60","g13530.t1",3.95403773448862,6.04104626067561,25.7890765996741,3.23171399658296e-19,6.66056254695748e-15,34.0447263885625,"g13530","60b0fafa2b92247241c9ead47cd7709d",1036,"Pfam","PF03489","Saposin-like type B, region 2",679,712,"5.5E-9",TRUE,"27-07-2020","IPR008138","Saposin B type, region 2",""
"61","g13530.t1",3.95403773448862,6.04104626067561,25.7890765996741,3.23171399658296e-19,6.66056254695748e-15,34.0447263885625,"g13530","60b0fafa2b92247241c9ead47cd7709d",1036,"Pfam","PF05184","Saposin-like type B, region 1",439,473,"1.1E-6",TRUE,"27-07-2020","IPR007856","Saposin-like type B, region 1","GO:0006629"
"62","g13530.t1",3.95403773448862,6.04104626067561,25.7890765996741,3.23171399658296e-19,6.66056254695748e-15,34.0447263885625,"g13530","60b0fafa2b92247241c9ead47cd7709d",1036,"Pfam","PF02199","Saposin A-type domain",197,228,"1.1E-9",TRUE,"27-07-2020","IPR003119","Saposin A-type domain",""
"63","g13530.t1",3.95403773448862,6.04104626067561,25.7890765996741,3.23171399658296e-19,6.66056254695748e-15,34.0447263885625,"g13530","60b0fafa2b92247241c9ead47cd7709d",1036,"Pfam","PF02199","Saposin A-type domain",998,1029,"4.8E-10",TRUE,"27-07-2020","IPR003119","Saposin A-type domain",""
"64","g13530.t1",3.95403773448862,6.04104626067561,25.7890765996741,3.23171399658296e-19,6.66056254695748e-15,34.0447263885625,"g13530","60b0fafa2b92247241c9ead47cd7709d",1036,"Pfam","PF03489","Saposin-like type B, region 2",281,314,"1.8E-8",TRUE,"27-07-2020","IPR008138","Saposin B type, region 2",""
"65","g13530.t1",3.95403773448862,6.04104626067561,25.7890765996741,3.23171399658296e-19,6.66056254695748e-15,34.0447263885625,"g13530","60b0fafa2b92247241c9ead47cd7709d",1036,"Pfam","PF03489","Saposin-like type B, region 2",873,904,"3.1E-5",TRUE,"27-07-2020","IPR008138","Saposin B type, region 2",""
"66","g13530.t1",3.95403773448862,6.04104626067561,25.7890765996741,3.23171399658296e-19,6.66056254695748e-15,34.0447263885625,"g13530","60b0fafa2b92247241c9ead47cd7709d",1036,"Pfam","PF03489","Saposin-like type B, region 2",479,512,"2.3E-8",TRUE,"27-07-2020","IPR008138","Saposin B type, region 2",""
"67","g13530.t1",3.95403773448862,6.04104626067561,25.7890765996741,3.23171399658296e-19,6.66056254695748e-15,34.0447263885625,"g13530","60b0fafa2b92247241c9ead47cd7709d",1036,"Pfam","PF03489","Saposin-like type B, region 2",123,152,"2.8E-5",TRUE,"27-07-2020","IPR008138","Saposin B type, region 2",""
"68","g13530.t1",3.95403773448862,6.04104626067561,25.7890765996741,3.23171399658296e-19,6.66056254695748e-15,34.0447263885625,"g13530","60b0fafa2b92247241c9ead47cd7709d",1036,"Pfam","PF05184","Saposin-like type B, region 1",638,674,"8.3E-10",TRUE,"27-07-2020","IPR007856","Saposin-like type B, region 1","GO:0006629"
"69","g13530.t1",3.95403773448862,6.04104626067561,25.7890765996741,3.23171399658296e-19,6.66056254695748e-15,34.0447263885625,"g13530","60b0fafa2b92247241c9ead47cd7709d",1036,"SignalP_EUK","SignalP-noTM","",1,20,"-",TRUE,"27-07-2020","","",""
"70","g13531.t1",6.25456706772499,-1.64092175770661,11.4552704967153,2.64006170006715e-11,2.01524709771792e-08,15.51946860394,"g13531","bd05729323df3d16d301982aa0ce7861",297,"Pfam","PF05485","THAP domain",5,85,"1.9E-16",TRUE,"27-07-2020","IPR006612","THAP-type zinc finger","GO:0003676"
"71","g1438.t1",-4.48391369999551,-0.909566566638768,-7.14914275930711,1.97658344364166e-07,2.39631675137969e-05,7.27143630315099,"g1438","135f1c2985193c46d4aba77424be2880",814,"Pfam","PF12017","Transposase protein",96,291,"1.1E-8",TRUE,"27-07-2020","IPR021896","Transposase protein","GO:0004803|GO:0006313"
"72","g14433.t1",3.07946573147965,-1.87417793866794,6.23530006827337,1.78187916689103e-06,0.000148779601680986,4.92997741112746,"g14433","3d0750ffb224ef3450c2f06195c78c4f",475,"Pfam","PF04500","FLYWCH zinc finger domain",7,66,"1.7E-11",TRUE,"27-07-2020","IPR007588","Zinc finger, FLYWCH-type",""
"73","g14433.t1",3.07946573147965,-1.87417793866794,6.23530006827337,1.78187916689103e-06,0.000148779601680986,4.92997741112746,"g14433","3d0750ffb224ef3450c2f06195c78c4f",475,"Pfam","PF10551","MULE transposase domain",236,305,"6.7E-11",TRUE,"27-07-2020","IPR018289","MULE transposase domain",""
"74","g14546.t1",1.37672697058802,4.57165267904742,6.52691894029769,8.73954777866575e-07,8.18328428988658e-05,4.86436293139024,"g14546","61a13f526ee1ce15961a9cc87f6ca13f",1112,"Pfam","PF18694","Transactive response DNA-binding protein N-terminal domain",279,343,"9.4E-15",TRUE,"27-07-2020","IPR041105","TAR DNA-binding protein 43, N-terminal",""
"75","g14657.t1",5.0069607548423,-3.17334588665601,6.87988223392111,3.73895177141869e-07,4.16539437886158e-05,6.64266506873218,"g14657",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","g14658.t1",6.46546257681281,-2.22815506945217,9.82400011997101,5.88168714604086e-10,2.20402858327095e-07,12.6391651381093,"g14658",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","g1484.t1",-3.57634645071742,-0.871429671702361,-6.61605040538507,7.04312342266731e-07,6.87956273654849e-05,6.05116347331112,"g1484","c2851c2984bd08694cb88f4fb66ab486",655,"Pfam","PF07722","Peptidase C26",33,250,"2.4E-17",TRUE,"27-07-2020","IPR011697","Peptidase C26","GO:0016787"
"78","g1484.t1",-3.57634645071742,-0.871429671702361,-6.61605040538507,7.04312342266731e-07,6.87956273654849e-05,6.05116347331112,"g1484","c2851c2984bd08694cb88f4fb66ab486",655,"Pfam","PF07722","Peptidase C26",365,582,"1.2E-18",TRUE,"27-07-2020","IPR011697","Peptidase C26","GO:0016787"
"79","g15071.t1",-0.994151997215737,4.29595460390831,-9.57543052282735,9.70939371367013e-10,3.33517674064569e-07,11.7967212820822,"g15071","e07077e9ba89e8b6a62886dc56c2dd84",653,"SignalP_EUK","SignalP-noTM","",1,17,"-",TRUE,"27-07-2020","","",""
"80","g15071.t1",-0.994151997215737,4.29595460390831,-9.57543052282735,9.70939371367013e-10,3.33517674064569e-07,11.7967212820822,"g15071","e07077e9ba89e8b6a62886dc56c2dd84",653,"Pfam","PF07773","Protein of unknown function (DUF1619)",116,417,"5.7E-45",TRUE,"27-07-2020","IPR011677","Domain of unknown function DUF1619",""
"81","g15120.t1",0.775595694643707,2.27747733188026,6.99312924231701,2.85651456367486e-07,3.28898129370608e-05,6.5543496396727,"g15120","626c4b0563661a8791d244a343896d20",268,"Pfam","PF01728","FtsJ-like methyltransferase",89,179,"1.5E-26",TRUE,"27-07-2020","IPR002877","Ribosomal RNA methyltransferase FtsJ domain","GO:0008168|GO:0032259"
"82","g15433.t1",1.56163402985568,2.03660627104199,7.3906791827783,1.12457877411559e-07,1.55554151238404e-05,7.62004561025041,"g15433","aca05bf21a66e1b0c217b6ada0d41df2",697,"Pfam","PF00057","Low-density lipoprotein receptor domain class A",87,119,"7.2E-7",TRUE,"27-07-2020","IPR002172","Low-density lipoprotein (LDL) receptor class A repeat","GO:0005515"
"83","g15433.t1",1.56163402985568,2.03660627104199,7.3906791827783,1.12457877411559e-07,1.55554151238404e-05,7.62004561025041,"g15433","aca05bf21a66e1b0c217b6ada0d41df2",697,"Pfam","PF00089","Trypsin",224,323,"5.3E-10",TRUE,"27-07-2020","IPR001254","Serine proteases, trypsin domain","GO:0004252|GO:0006508"
"84","g15433.t1",1.56163402985568,2.03660627104199,7.3906791827783,1.12457877411559e-07,1.55554151238404e-05,7.62004561025041,"g15433","aca05bf21a66e1b0c217b6ada0d41df2",697,"Pfam","PF00089","Trypsin",436,543,"1.8E-6",TRUE,"27-07-2020","IPR001254","Serine proteases, trypsin domain","GO:0004252|GO:0006508"
"85","g15433.t1",1.56163402985568,2.03660627104199,7.3906791827783,1.12457877411559e-07,1.55554151238404e-05,7.62004561025041,"g15433","aca05bf21a66e1b0c217b6ada0d41df2",697,"Pfam","PF00057","Low-density lipoprotein receptor domain class A",46,78,"1.6E-7",TRUE,"27-07-2020","IPR002172","Low-density lipoprotein (LDL) receptor class A repeat","GO:0005515"
"86","g15527.t1",6.34524695593976,-2.68417892689929,10.6079996622239,1.2724672306821e-10,7.36515033008774e-08,13.9933237091852,"g15527",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","g15590.t1",-1.45681080116782,3.59774635968961,-7.06701848823046,2.39844675582679e-07,2.84091882974656e-05,6.42588846722285,"g15590",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","g15704.t1",-2.03076803961717,4.61777401963678,-19.7691607048919,1.58798132603733e-16,1.09094317098765e-12,27.8550051622656,"g15704","cd54cc5df71888669da57be55faf7e84",1039,"Pfam","PF17207","MCM OB domain",118,243,"5.2E-21",TRUE,"27-07-2020","IPR033762","MCM OB domain",""
"89","g15704.t1",-2.03076803961717,4.61777401963678,-19.7691607048919,1.58798132603733e-16,1.09094317098765e-12,27.8550051622656,"g15704","cd54cc5df71888669da57be55faf7e84",1039,"Pfam","PF00493","MCM P-loop domain",302,506,"8.6E-76",TRUE,"27-07-2020","IPR001208","MCM domain","GO:0003677|GO:0005524|GO:0006270"
"90","g15704.t1",-2.03076803961717,4.61777401963678,-19.7691607048919,1.58798132603733e-16,1.09094317098765e-12,27.8550051622656,"g15704","cd54cc5df71888669da57be55faf7e84",1039,"Pfam","PF17855","MCM AAA-lid domain",523,605,"2.0E-14",TRUE,"27-07-2020","IPR041562","MCM, AAA-lid domain",""
"91","g1574.t1",2.77720268958798,0.0246361869375224,6.41053061862461,1.16004176212845e-06,0.000103053709989083,5.52200276193753,"g1574","4006ca55d7412db6e74dee80197933e9",241,"SignalP_EUK","SignalP-noTM","",1,16,"-",TRUE,"27-07-2020","","",""
