"","gene","logFC","AveExpr","t","P.Value","adj.P.Val","seq","gene_len","blast","diamond","interpro","anno","length","b.status.final","cov.04v13","b.status","b.status.asn","b.status.kmer"
"12","g11667",4.38671840478194,7.34635203541494,19.7034935983924,7.39550411148719e-17,1.15548588821894e-13,"scaffold_152",1517,"TBCE_RAT","A0A2J7QV38","CAP-Gly domain,Leucine-rich repeat","Y",874986,"A",-0.337730979,"A","A","A"
"13","g19229",4.71074583065174,6.8122397091293,19.3798866452242,1.0846029016984e-16,1.5642476772264e-13,"scaffold_421",3225,"NRDC_MOUSE","A0A0M9A7S4","Peptidase M16 inactive domain,Insulinase (Peptidase family M16),Middle or third domain of peptidase_M16","Y",295146,"A",-0.00802893,"A","A","A"
"14","g21687",9.01677206364549,5.11136670266167,18.9122809096041,1.91571546259282e-16,2.56555351486806e-13,"scaffold_9",893,NA,NA,NA,"N",2791333,"A",0.15502902,"A","A","A"
"15","g7883",8.72321620121686,8.23478104920851,18.7256750487148,2.4047689061935e-16,3.00580081481479e-13,"scaffold_46",1061,"PP1G_HUMAN","A0A0C9MMR5","Calcineurin-like phosphoesterase","Y",1511820,"A",0.268979977,"A","A","A"
"16","g14384",3.38549700027933,7.95246613066988,18.1997337715502,4.60400779538879e-16,5.39503388473402e-13,"scaffold_24",4282,"RPC2_DROME","A0A482X4H9","Ulp1 protease family, C-terminal catalytic domain,RNA polymerase Rpb2, domain 6,RNA polymerase Rpb2, domain 2,RNA polymerase Rpb2, domain 5,RNA polymerase Rpb2, domain 3,RNA polymerase beta subunit,RNA polymerase Rpb2, domain 7,RNA polymerase Rpb2, domain 4","Y",1928806,"A",-0.074834814,"A","A","A"
"17","g17480",8.42558283829447,4.52476443766004,17.9586806963534,6.27256426198055e-16,6.91790043222785e-13,"scaffold_41",1700,NA,NA,"Domain of unknown function (DUF4485)","Y",1577355,"A",0.165155028,"A","A","A"
"18","g5194",8.11494031451064,7.02069641828332,17.7093271832639,8.62809369517019e-16,8.987118260597e-13,"scaffold_504",1535,NA,"A0A067R6B0",NA,"Y",220088,"A",0.432675202,"A","A","A"
"19","g10981",12.316827691007,4.92321502949762,17.6536864167809,9.45775181883036e-16,9.3328099395395e-13,"scaffold_1",860,NA,NA,NA,"N",4205925,"A",-0.407990297,"A","A","A"
"20","g21514",3.05853472827216,8.22206056323673,17.5441229955843,1.06513703282771e-15,9.98512711424334e-13,"scaffold_477",3222,"RYK2_DROME","E0W415","Protein tyrosine kinase,WIF domain","Y",243240,"A",0.139535298,"A","A","A"
"21","g5591",11.4352684341188,4.47056622644369,17.1117442495861,1.91310980318023e-15,1.70804265237267e-12,"scaffold_402",1751,NA,NA,NA,"N",314374,"A",-0.395076455,"A","A","A"
"22","g3313",9.21257630654924,-1.10860331638685,17.0482377686844,2.05889217888661e-15,1.75464406645205e-12,"scaffold_135",332,NA,NA,NA,"N",932943,"A",0.249686739,"A","A","A"
"23","g15581",10.240723287384,5.30590329307752,16.9827875303934,2.25670158147833e-15,1.83960425874509e-12,"scaffold_166",1718,NA,NA,NA,"N",818316,"A",0.308824859,"A","A","A"
"24","g18206",3.38782199993128,8.14743350170639,16.8182198879608,2.78362842275693e-15,2.11783626740537e-12,"scaffold_78",4710,NA,"J9LFM3",NA,"Y",1238903,"A",-0.410988649,"A","A","A"
"25","g18285",5.25667646250276,4.95902046637723,16.8076516820745,2.82393229959647e-15,2.11783626740537e-12,"scaffold_250",858,"TBA1_PNECA","M7AS14","Tubulin/FtsZ family, GTPase domain","Y",539725,"A",-0.363944797,"A","A","A"
"26","g9979",13.754699089084,2.42257460900227,16.5659392087935,4.05968481994096e-15,2.92750118034896e-12,"scaffold_53",1316,NA,NA,NA,"N",1421213,"A",0.153286275,"A","A","A"
"27","g12147",14.2782973163763,2.78137037566606,16.5271945804705,4.30002403083302e-15,2.98596853904031e-12,"scaffold_563",872,NA,NA,NA,"N",181475,"A",-0.028364565,"A","A","A"
"28","g20359",3.06103163790951,6.57975185680352,16.2393196327419,6.14342289846181e-15,4.11367985440216e-12,"scaffold_129",1076,"MAPK2_DROME","A0A182G249","Protein kinase domain","Y",951482,"A",0.005302338,"A","A","A"
"29","g13442",9.89887930375528,-0.749252413508949,16.2022043471352,6.53123579115747e-15,4.22255654649695e-12,"scaffold_40",316,NA,NA,NA,"N",1584338,"A",0.346876683,"A","A","A"
"30","g3567",8.47259179576883,3.00822791326909,16.01288247299,8.46440845989144e-15,5.28997314048349e-12,"scaffold_10",309,"GLRX2_MOUSE",NA,"Glutaredoxin","Y",2776264,"A",-0.506933192,"A","A","A"
"31","g15778",9.840366520568,6.1439744323854,15.936100396361,9.47823415943557e-15,5.73249716952444e-12,"scaffold_59",355,NA,NA,NA,"N",1359663,"A",-0.669052076,"A","A","A"
"32","g15569",13.5100871755733,3.55432152915804,15.9150784206364,1.00039171493065e-14,5.86135758226089e-12,"scaffold_166",1592,NA,NA,NA,"N",818316,"A",0.308824859,"A","A","A"
"33","g17162",12.7882290962444,3.9118063680344,15.8802794744049,1.04469502367966e-14,5.93545060574846e-12,"scaffold_57",1517,NA,NA,NA,"N",1361687,"A",-0.000589339,"A","A","A"
"34","g1319",13.9604835431775,2.52594392154199,15.7706768328367,1.23243695403039e-14,6.79616483856347e-12,"scaffold_274",1658,NA,NA,NA,"N",504972,"A",0.301253912,"A","A","A"
"35","g21148",8.27101131629741,-1.33460557585886,15.7027894503197,1.31225862913341e-14,7.02958201074921e-12,"scaffold_1765",494,NA,NA,NA,"N",9438,"A",-1.353215369,"A","A","A"
"36","g15701",10.2545545575871,4.6230563780282,15.662345941803,1.40108359027224e-14,7.29692117611505e-12,"scaffold_493",1196,NA,NA,NA,"N",227342,"A",-0.264036686,"A","A","A"
"37","g6570",4.18821206150768,9.03587752124359,15.5959694598976,1.52309287482571e-14,7.71796440813708e-12,"scaffold_52",7712,NA,"A0A2J7PZL8",NA,"Y",1435599,"A",-0.134785629,"A","A","A"
"38","g3058",11.9047045392876,4.24866553442201,15.5730493447026,1.60857589106412e-14,7.93662878462135e-12,"scaffold_36",932,NA,NA,NA,"N",1654184,"A",-0.216133518,"A","A","A"
"39","g3189",14.8102030028398,3.24070998457035,15.5544996708721,1.69241863262741e-14,8.13619408798237e-12,"scaffold_12",2318,NA,NA,NA,"N",2392395,"A",-0.150391693,"A","A","A"
"40","g22861",4.55106290115636,6.04983803993908,15.5022243007575,1.74305455537992e-14,8.1648080878533e-12,"scaffold_37",2004,"CENPJ_MOUSE",NA,"T-complex protein 10 C-terminus","Y",1648890,"A",-0.516653857,"A","A","A"
"41","g9583",7.58975732399784,4.74364236932675,15.4871771803707,1.7854665934289e-14,8.1648080878533e-12,"scaffold_343",1166,NA,"A0A2P8YCN5",NA,"Y",389428,"A",0.031920982,"A","A","A"
"42","g882",5.22631849164113,5.37485852234632,15.4085433019471,1.9961026240809e-14,8.76800354975496e-12,"scaffold_158",3005,NA,"A0A482XF45","F-box-like","Y",859120,"A",-0.331860321,"A","A","A"
"43","g3476",10.6326409388245,4.65192587853618,15.4128527933505,2.01090272888935e-14,8.76800354975496e-12,"scaffold_10",569,NA,NA,NA,"N",2776264,"A",-0.506933192,"A","A","A"
"44","g15992",11.2818411689152,3.97569643686204,15.3892968859934,2.08892111536589e-14,8.90117772545343e-12,"scaffold_75",1106,"KAPC1_DROME","N6UW64","Protein kinase domain","Y",1276505,"A",-0.011623067,"A","A","A"
"45","g14187",15.6547004078442,3.58077365138187,15.3339166623751,2.34845839429034e-14,9.69921432611996e-12,"scaffold_3",893,NA,NA,NA,"N",3189128,"A",0.077377853,"A","A","A"
"46","g3180",15.0118404704338,3.78222623816621,15.3205748368277,2.37966749694127e-14,9.69921432611996e-12,"scaffold_12",2096,NA,NA,NA,"N",2392395,"A",-0.150391693,"A","A","A"
"47","g23556",14.7349875693045,1.92946573145515,15.2305998759438,2.70694397864754e-14,1.07984026926942e-11,"scaffold_85",773,"ASHH2_ARATH","A0A0L0BZU8","SET domain","Y",1217065,"A",0.213896036,"A","A","A"
"48","g10587",14.9612651585281,2.66481442703848,15.163858896949,2.99188794106152e-14,1.16864389597838e-11,"scaffold_32",1226,NA,NA,NA,"N",1713197,"A",-0.227731827,"A","A","A"
"49","g15656",14.3926172470116,2.38548833005109,15.1060069216623,3.24056974548493e-14,1.23994779914484e-11,"scaffold_21",953,NA,NA,NA,"N",2065129,"A",-0.086951811,"A","A","A"
"50","g2171",14.6908643367508,2.91272072528569,15.0870611005413,3.3416946526495e-14,1.25306866085051e-11,"scaffold_14",908,NA,NA,NA,"N",2278001,"A",-0.521531797,"A","A","A"
"51","g11913",14.4920207466915,2.72393631899051,15.0494199533347,3.52627110346888e-14,1.29177065814381e-11,"scaffold_513",785,NA,NA,NA,"N",213775,"A",0.171487202,"A","A","A"
"52","g22397",9.45569891964038,-1.31092254491822,15.0021718817665,3.64999574724406e-14,1.29177065814381e-11,"scaffold_109",392,NA,NA,NA,"N",1067028,"A",-0.002991992,"A","A","A"
"53","g7859",12.2788182829188,4.20441781182585,15.0131806062991,3.65159981234317e-14,1.29177065814381e-11,"scaffold_46",962,NA,NA,NA,"N",1511820,"A",0.268979977,"A","A","A"
"54","g19335",13.6463055001123,2.0076996937142,14.9536989453187,4.0332220267338e-14,1.37167294871779e-11,"scaffold_292",632,NA,NA,NA,"N",472304,"A",0.203653683,"A","A","A"
"55","g9600",15.0027386607964,2.77763119525386,14.9582802516751,4.05608027321518e-14,1.37167294871779e-11,"scaffold_287",920,NA,NA,NA,"N",482722,"A",-0.648754451,"A","A","A"
"56","g15336",14.8251048750261,2.69805851941331,14.9503954494626,4.09694837741726e-14,1.37167294871779e-11,"scaffold_100",1151,NA,NA,NA,"N",1120582,"A",-0.102676691,"A","A","A"
"57","g17515",3.60161510558453,6.94295434970884,14.8342728087757,4.64796210996871e-14,1.52885336140006e-11,"scaffold_41",3225,"NRDC_MOUSE","A0A087ZSL6","Middle or third domain of peptidase_M16,Insulinase (Peptidase family M16),Peptidase M16 inactive domain","Y",1577355,"A",0.165155028,"A","A","A"
"58","g19963",14.9758907187312,2.987126158194,14.8299032111349,4.91097049270539e-14,1.58104145512224e-11,"scaffold_236",1274,NA,NA,NA,"N",587163,"A",0.293994945,"A","A","A"
"59","g13592",13.6095259984803,2.23365450430831,14.7998088106484,5.07328541773454e-14,1.58104145512224e-11,"scaffold_391",1142,NA,NA,NA,"N",334521,"A",-0.419356249,"A","A","A"
"60","g14186",15.4273046791989,3.08263665772407,14.8048675218596,5.12114424224874e-14,1.58104145512224e-11,"scaffold_3",896,NA,NA,NA,"N",3189128,"A",0.077377853,"A","A","A"
"61","g2721",13.8584279152375,2.40517349539629,14.7894851173587,5.16376111285054e-14,1.58104145512224e-11,"scaffold_644",761,NA,NA,NA,"N",109125,"A",-0.120151228,"A","A","A"
"62","g17144",8.32271760249052,5.517840024435,14.7585722341144,5.22825591858653e-14,1.58104145512224e-11,"scaffold_57",1652,"POLO_DROME","Q2M0V5","POLO box duplicated region,Protein kinase domain","Y",1361687,"A",-0.000589339,"A","A","A"
"63","g8567",15.0122978361899,3.51836986822185,14.7333345137956,5.67897692688928e-14,1.69008156194043e-11,"scaffold_422",2408,NA,NA,NA,"N",294261,"A",0.173186438,"A","A","A"
"64","g5398",14.4070854787066,3.73930492121451,14.6878304330311,6.04716357535174e-14,1.77153546678547e-11,"scaffold_223",2852,NA,NA,NA,"N",633436,"A",-0.258700006,"A","A","A"
"65","g8005",7.43701780290119,5.67875104666176,14.6407913218186,6.23019759945443e-14,1.78785890130419e-11,"scaffold_212",995,NA,"R7UQH7","Cyclin, N-terminal domain","Y",664391,"A",-0.184568561,"A","A","A"
"66","g4016",14.3539438258443,3.10091726183587,14.6610448593825,6.29359899120361e-14,1.78785890130419e-11,"scaffold_478",1935,NA,NA,NA,"N",243219,"A",0.131561291,"A","A","A"
"67","g22012",12.7773964858518,3.42765865280073,14.638041967252,6.42744174419543e-14,1.79862843674508e-11,"scaffold_124",959,NA,NA,NA,"N",971564,"A",-0.484528007,"A","A","A"
"68","g5624",13.9260017637806,2.55974771771184,14.4776334633696,8.28216712853289e-14,2.2835639925421e-11,"scaffold_356",704,NA,NA,NA,"N",374984,"A",0.109979446,"A","A","A"
"69","g22396",8.98638926744053,-1.5903717382298,14.3970016825403,9.06650405526321e-14,2.46359252945116e-11,"scaffold_109",392,NA,NA,NA,"N",1067028,"A",-0.002991992,"A","A","A"
"70","g8869",14.2439968212876,2.81057120920181,14.3531583511083,1.00506379477185e-13,2.69199158402533e-11,"scaffold_2",1637,NA,NA,NA,"N",3312200,"A",-0.03043378,"A","A","A"
"71","g10300",6.80446707368053,4.58633250016917,14.2631586678922,1.10786289338874e-13,2.92553822368247e-11,"scaffold_652",702,NA,NA,"Hsp20/alpha crystallin family","Y",106700,"A",0.07865017,"A","A","A"
"72","g8655",14.4820503028445,2.43563427073666,14.2082895591645,1.25962179145549e-13,3.28009013444431e-11,"scaffold_237",1133,NA,NA,NA,"N",579896,"A",0.073909084,"A","A","A"
"73","g3146",6.57493806630208,5.05897276938481,14.1660389471133,1.28712489365147e-13,3.30579515494128e-11,"scaffold_338",944,"PP1A_RAT,PP1B_DROME","A0A0R3TXS7","Calcineurin-like phosphoesterase","Y",393854,"A",-0.665897518,"A","A","A"
"74","g4486",7.4582134843799,-1.21138395532272,14.1268335091785,1.36972617661717e-13,3.47040487640478e-11,"scaffold_94",290,NA,NA,NA,"N",1173942,"A",-0.107696948,"A","A","A"
"75","g997",13.8542313917948,3.48278906229556,14.1310865991593,1.41176948131252e-13,3.49975556842658e-11,"scaffold_832",1322,NA,NA,NA,"N",40185,"A",-0.319289214,"A","A","A"
"76","g10895",15.3712711659581,2.53166920771101,14.1369928786351,1.41929719099512e-13,3.49975556842658e-11,"scaffold_1",947,NA,NA,NA,"N",4205925,"A",-0.407990297,"A","A","A"
"77","g10811",13.7570299252202,1.45755233898122,14.1190017972798,1.43730960994638e-13,3.49975556842658e-11,"scaffold_464",1187,NA,NA,NA,"N",252746,"A",0.057533818,"A","A","A"
"78","g21447",14.2714070958943,2.79078915932348,14.0881911737269,1.51514513326541e-13,3.61840232744474e-11,"scaffold_348",1633,"TTLL4_MOUSE","J9K688","Tubulin-tyrosine ligase family","Y",384002,"A",-0.179294032,"A","A","A"
"79","g7186",12.7147115206068,3.84308042920421,14.0754136106681,1.52463482782087e-13,3.61840232744474e-11,"scaffold_17",1588,"TTLL4_MOUSE","J9K688","Tubulin-tyrosine ligase family","Y",2133015,"A",-0.17858936,"A","A","A"
"80","g6988",8.76396041089151,8.04583449626496,14.0101682579959,1.64894555095012e-13,3.86451001684547e-11,"scaffold_26",1301,"TBA2_CAEEL","C3YW48","Tubulin/FtsZ family, GTPase domain,Tubulin C-terminal domain","Y",1877544,"A",-0.164714665,"A","A","A"
"81","g13000",8.32934776858367,5.01542794140349,13.9656750191236,1.76551726101123e-13,4.08662754650611e-11,"scaffold_579",2294,"PFKA_DROME","A0A026WQT5","Phosphofructokinase","Y",164536,"A",-0.815303986,"A","A","A"
"82","g14697",13.986011118921,1.75092416346088,13.9592179556844,1.84917402794329e-13,4.228068762184e-11,"scaffold_718",773,NA,NA,NA,"N",73810,"A",-0.236855595,"A","A","A"
"83","g19660",13.9813623334691,1.74895095239308,13.9400427986139,1.9056738659692e-13,4.30475654374175e-11,"scaffold_369",548,NA,NA,NA,"N",364737,"A",-0.093740077,"A","A","A"
"84","g19964",14.7328302012234,3.24551479474638,13.9155974231526,1.99455985550842e-13,4.45190508701515e-11,"scaffold_236",1142,NA,NA,NA,"N",587163,"A",0.293994945,"A","A","A"
"85","g19844",13.9792762685935,2.62108773767131,13.9008220923713,2.0270168889717e-13,4.47112231192123e-11,"scaffold_431",1460,NA,NA,"Ulp1 protease family, C-terminal catalytic domain","Y",285712,"A",-0.885644037,"A","A","A"
"86","g22699",6.98529240133925,4.29343619576789,13.8528637486001,2.10230042121259e-13,4.51776025732477e-11,"scaffold_6",559,NA,NA,"Endoribonuclease L-PSP","Y",2881478,"A",-0.080544033,"A","A","A"
"87","g11140",13.8464832141589,1.98480843316434,13.8735430430496,2.11356148420642e-13,4.51776025732477e-11,"scaffold_165",677,NA,NA,NA,"N",826454,"A",0.469543682,"A","A","A"
"88","g9760",2.89338362436888,7.13079495336527,13.8464446740144,2.12044857136156e-13,4.51776025732477e-11,"scaffold_557",2378,"PDXD1_HUMAN","A0A482XU15","F-box-like","Y",184046,"A",0.363599236,"A","A","A"
"89","g21216",3.77470171988285,3.48476449731068,13.8114540201364,2.24105120733055e-13,4.7210639422742e-11,"scaffold_98",429,NA,NA,NA,"N",1127684,"A",0.245144773,"A","A","A"
"90","g4672",13.7595660406312,1.94379461162831,13.8281566049648,2.26895288119729e-13,4.72673306328533e-11,"scaffold_181",497,NA,NA,NA,"N",778394,"A",0.11410331,"A","A","A"
"91","g5831",5.23017089387962,5.3469391908811,13.7894381820161,2.32090627004673e-13,4.78183205023144e-11,"scaffold_125",2087,NA,NA,NA,"N",964565,"A",-0.488307221,"A","A","A"
"92","g9602",14.1783961555891,1.79229758582415,13.7954815119582,2.39875334807956e-13,4.86589845503656e-11,"scaffold_287",488,NA,NA,NA,"N",482722,"A",-0.648754451,"A","A","A"
"93","g12499",13.2138665252405,3.07963070818907,13.7860884397333,2.41361435979732e-13,4.86589845503656e-11,"scaffold_283",1377,NA,NA,"Serpin (serine protease inhibitor)","Y",489983,"A",0.288039299,"A","A","A"
"94","g3915",6.73133764665882,-2.53649960884349,13.7091650069076,2.6392084491836e-13,5.2509477001215e-11,"scaffold_104",203,NA,NA,NA,"N",1087456,"A",0.216634848,"A","A","A"
"95","g8725",12.4579562426722,2.10825931395007,13.7208026807799,2.66062206790518e-13,5.2509477001215e-11,"scaffold_528",557,NA,NA,NA,"N",204458,"A",-0.569266351,"A","A","A"
"96","g10325",4.19661667645588,5.24357867677645,13.6816482505989,2.75416580472913e-13,5.33650729612612e-11,"scaffold_259",996,NA,NA,"Domain of unknown function (DUF4477)","Y",526775,"A",0.109963311,"A","A","A"
"97","g17562",13.7837546263002,2.81187784353365,13.7047308446914,2.76090035588156e-13,5.33650729612612e-11,"scaffold_247",1205,NA,NA,NA,"N",544523,"A",-0.145962259,"A","A","A"
"98","g13754",13.4789532597437,1.41554493570352,13.6689359204155,2.91511525330808e-13,5.53634148485685e-11,"scaffold_377",296,NA,NA,NA,"N",355012,"A",-0.598204135,"A","A","A"
"99","g12498",14.2091373355625,2.14664600203503,13.6713719620958,2.92334421569592e-13,5.53634148485685e-11,"scaffold_283",1604,NA,NA,NA,"N",489983,"A",0.288039299,"A","A","A"
"100","g15417",13.3161452639941,2.52358293406292,13.6525623405104,2.98806745578642e-13,5.60232767285396e-11,"scaffold_133",481,NA,NA,NA,"N",943319,"A",0.10865628,"A","A","A"
"101","g20165",13.8041154306075,1.79515177385622,13.6456483912301,3.03455218866157e-13,5.63315039457581e-11,"scaffold_333",341,NA,NA,NA,"N",396600,"A",0.218473314,"A","A","A"
"102","g14490",8.38604931856855,0.204904869739626,13.5648360597784,3.33577276150159e-13,6.13160818680327e-11,"scaffold_145",420,NA,NA,NA,"N",902093,"A",-0.013096565,"A","A","A"
"103","g12375",14.7898628767061,3.10534445395582,13.5785704285025,3.41072087916201e-13,6.20850541392317e-11,"scaffold_231",1504,NA,NA,NA,"N",613014,"A",-0.234882928,"A","A","A"
"104","g294",14.6070984680526,2.18193305899522,13.5336304739215,3.6596980707565e-13,6.59766145467439e-11,"scaffold_137",707,NA,NA,NA,"N",931543,"A",0.060769954,"A","A","A"
"105","g2235",13.5964926579904,2.47939186010682,13.503418959216,3.80584221378823e-13,6.78561863993989e-11,"scaffold_14",1127,NA,NA,NA,"N",2278001,"A",-0.521531797,"A","A","A"
"106","g9714",14.3126345046144,3.04020320631242,13.502606687185,3.83634100929985e-13,6.78561863993989e-11,"scaffold_192",1256,NA,NA,NA,"N",714988,"A",-0.114910032,"A","A","A"
"107","g12672",13.6672161060372,2.43246037411189,13.4868081486036,3.91169874582403e-13,6.854246708921e-11,"scaffold_272",947,NA,NA,NA,"N",510019,"A",-0.233176055,"A","A","A"
"108","g738",15.2112599093602,3.46627864223697,13.4631105328987,4.12523025910276e-13,7.16147612295533e-11,"scaffold_56",1208,NA,NA,NA,"N",1371732,"A",-0.143478725,"A","A","A"
"109","g15682",13.7247749205917,1.640114540701,13.4394738300925,4.22485836484482e-13,7.26714398921794e-11,"scaffold_600",392,NA,NA,NA,"N",144795,"A",0.0589289,"A","A","A"
"110","g10894",15.5167102320258,4.01604824395201,13.4195604408917,4.44025401806919e-13,7.54165923859534e-11,"scaffold_1",1894,NA,NA,NA,"N",4205925,"A",-0.407990297,"A","A","A"
"111","g21307",8.68480976705676,5.0630767777799,13.3847514313937,4.46490039726963e-13,7.54165923859534e-11,"scaffold_43",2443,NA,NA,NA,"N",1553300,"A",-0.218640579,"A","A","A"
"112","g9601",9.77377789531801,-0.602396691006564,13.3386359159668,4.83459048617798e-13,8.0931908058349e-11,"scaffold_287",305,NA,NA,NA,"N",482722,"A",-0.648754451,"A","A","A"
"113","g2756",14.8510738300019,2.59616111441253,13.3474499916,4.95839231545676e-13,8.22698208163706e-11,"scaffold_51",1034,NA,NA,"Double-stranded RNA binding motif","Y",1437107,"A",0.002536088,"A","A","A"
"114","g9296",12.3382056400199,1.05114046949408,13.3018106694418,5.2207467530727e-13,8.5635231472065e-11,"scaffold_58",428,NA,NA,"HMG (high mobility group) box","Y",1360862,"A",0.057971928,"A","A","A"
"115","g9097",14.0990215798004,2.33502273365212,13.3075792194898,5.25257433425114e-13,8.5635231472065e-11,"scaffold_205",1256,NA,NA,NA,"N",683989,"A",-0.034564025,"A","A","A"
"116","g1775",11.7423061818492,0.203860597004996,13.2680618851308,5.49105508204763e-13,8.87515445976819e-11,"scaffold_199",388,NA,NA,"RING-type zinc-finger","Y",693045,"A",0.067727375,"A","A","A"
"117","g22535",13.900512103401,2.66535459634069,13.2723453737587,5.55311133970848e-13,8.89874226565763e-11,"scaffold_551",653,NA,NA,NA,"N",189885,"A",0.440245959,"A","A","A"
"118","g20216",13.4527464013707,1.52978425440314,13.2370231717032,5.85918188059119e-13,9.3096441592546e-11,"scaffold_71",875,NA,NA,"TraB family","Y",1288280,"A",-0.243252715,"A","A","A"
"119","g16229",9.30401085412756,3.47704811612607,13.2032865552451,6.01684039746998e-13,9.47981013547603e-11,"scaffold_54",1079,"KAPC1_DROME","K1PS11","Protein kinase domain","Y",1412569,"A",0.132418539,"A","A","A"
"120","g16031",10.1419730797352,2.05704140693313,13.1459870502491,6.63798345257004e-13,1.0371295979353e-10,"scaffold_225",1229,NA,NA,NA,"N",632046,"A",-0.350678019,"A","A","A"
"121","g4123",14.0985942920711,1.85575708388147,13.1303279743248,7.02326425003021e-13,1.08825769771749e-10,"scaffold_70",911,NA,NA,NA,"N",1292812,"A",0.03553754,"A","A","A"
"122","g8501",9.04380691420203,-1.75623946498867,13.0792248597263,7.37074267275523e-13,1.13273815058596e-10,"scaffold_543",761,NA,NA,NA,"N",195591,"B4",-0.047138547,"B.loose","A","A"
"123","g1373",8.24806498688954,4.1567769784555,13.0439758545167,7.79060191009055e-13,1.18752841636006e-10,"scaffold_69",2497,"BBS4_HUMAN","J9K409","Tetratricopeptide repeat","Y",1296325,"A",0.352042245,"A","A","A"
"124","g7234",14.1950134937789,4.14112972768543,13.0571709849176,7.93221597337186e-13,1.19936384907056e-10,"scaffold_17",926,NA,NA,NA,"N",2133015,"A",-0.17858936,"A","A","A"
"125","g13334",13.3965462246267,1.89168826411449,13.0310918697807,8.22063224560231e-13,1.23302907178238e-10,"scaffold_15",778,NA,NA,NA,"N",2222211,"A",-0.381851168,"A","A","A"
"126","g17850",13.6479637034827,1.60964911171546,12.9950074711569,8.7477559686499e-13,1.30167997346204e-10,"scaffold_459",314,NA,NA,NA,"N",256154,"A",-0.553133697,"A","A","A"
"127","g3682",12.3778495496236,1.51473017426199,12.9533905507944,9.27081578482638e-13,1.36864980432842e-10,"scaffold_269",1604,NA,NA,NA,"N",511711,"A",-0.171084975,"A","A","A"
"128","g2788",9.05780992688649,-0.390171279246872,12.9304194465012,9.43367196298386e-13,1.37347574875676e-10,"scaffold_51",485,NA,NA,NA,"N",1437107,"A",0.002536088,"A","A","A"
"129","g7597",7.89721810411539,-1.95441431840132,12.9237766383384,9.50119859071706e-13,1.37347574875676e-10,"scaffold_16",564,NA,NA,NA,"N",2210925,"A",0.024375116,"A","A","A"
"130","g15178",2.98718522921965,5.5826682370996,12.9202335101759,9.52327309927882e-13,1.37347574875676e-10,"scaffold_76",554,NA,NA,NA,"N",1257193,"A",0.209389323,"A","A","A"
"131","g6549",9.67463235069442,-1.3088117738649,12.8576547242049,1.06817713715143e-12,1.52879794995818e-10,"scaffold_52",478,NA,NA,NA,"N",1435599,"A",-0.134785629,"A","A","A"
