"","gene","logFC","AveExpr","t","P.Value","adj.P.Val","seq","gene_len","blast","diamond","interpro","anno","length","b.status.final","cov.04v13","b.status","b.status.asn","b.status.kmer"
"39","g14490",-4.14605139561837,0.204904869739626,-5.06254758673688,1.66711914522123e-05,0.00240437052721176,"scaffold_145",420,NA,NA,NA,"N",902093,"A",-0.013096565,"A","A","A"
"40","g17317",-2.99599221328911,1.29329506450916,-4.9485056057831,2.23224530626631e-05,0.00303410755669689,"scaffold_390",1170,"ZNF41_HUMAN",NA,"Zinc finger, C2H2 type,Zinc-finger of C2H2 type,C2H2-type zinc finger","Y",334945,"A",-0.814213244,"A","A","A"
"41","g12078",-2.23852272538287,0.469861541615399,-4.94833098118401,2.23322226691648e-05,0.00303410755669689,"scaffold_238",1379,"PABP_DROME","A0A0H2UI64","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)","Y",573533,"A",-0.115864631,"A","A","A"
"42","g15222",-4.01506642443799,-4.59281912684887,-4.880512246122,2.65883392650331e-05,0.00353549484312131,"scaffold_1517",5205,NA,"A0A226F1P1","Helitron helicase-like domain at N-terminus,Ubiquitin carboxyl-terminal hydrolase,PIF1-like helicase","Y",12788,"A",-0.875413151,"A","A","A"
"43","g17070",-4.82175008177442,0.347928840424302,-4.6758062221244,4.50758458726867e-05,0.00574916349841498,"scaffold_2094",680,NA,NA,NA,"N",6389,"A",-0.335325456,"A","A","A"
"44","g10800",-4.38605909464633,-0.542078469835842,-4.66069514770467,4.68074497543229e-05,0.00588988507009261,"scaffold_270",710,NA,NA,NA,"N",511095,"A",-0.121599868,"A","A","A"
"45","g9216",-2.33742313553734,0.0703416670568838,-4.63735734676458,4.96477419340235e-05,0.00616453982464243,"scaffold_178",252,NA,NA,NA,"N",790326,"A",0.129681444,"A","A","A"
"46","g22858",-2.17744196254884,2.78776498033891,-4.53213701101373,6.50723693122374e-05,0.00792234968983857,"scaffold_37",1311,NA,NA,NA,"N",1648890,"A",-0.516653857,"A","A","A"
"47","g17216",-2.90931212332425,-0.791112321317333,-4.52734800901858,6.58793891111383e-05,0.00796885591254666,"scaffold_57",1266,"VGLU1_XENLA","K7J9C8","Major Facilitator Superfamily","Y",1361687,"A",-0.000589339,"A","A","A"
"48","g17034",-3.26040147259256,-2.10800696251216,-4.47980827753703,7.44474514428374e-05,0.00879971516575308,"scaffold_142",403,NA,NA,NA,"N",914383,"A",-0.035215214,"A","A","A"
"49","g21355",-1.8241379427313,3.61865938377938,-4.4696735182399,7.64071951239153e-05,0.0089534906336143,"scaffold_992",751,NA,NA,NA,"N",25457,"A",1.452919899,"A","A","A"
"50","g22922",-2.36177798305801,-0.784971957991513,-4.41982659233085,8.68498427171523e-05,0.00995860476881835,"scaffold_37",1224,NA,NA,NA,"N",1648890,"A",-0.516653857,"A","A","A"
"51","g4615",-2.80600611665602,-1.0229825542514,-4.41866927980625,8.7109242204182e-05,0.00995860476881835,"scaffold_383",1329,NA,NA,"Gamma interferon inducible lysosomal thiol reductase (GILT)","Y",345076,"A",-0.633045148,"A","A","A"
"52","g1157",-2.10315435597995,1.26202786246345,-4.40433999388102,9.03752332916825e-05,0.0102693651453682,"scaffold_494",1297,"YM67_CAEEL","A0A1A9UJ87","Serine carboxypeptidase S28","Y",226033,"A",-0.396277747,"A","A","A"
"53","g17312",-4.91995710480115,1.31048842458198,-4.36862343353172,9.94159955450672e-05,0.0112197802725037,"scaffold_811",288,NA,NA,NA,"N",44050,"A",-0.083848737,"A","A","A"
"54","g13388",-3.38507251347199,-0.890396285055639,-4.3652402271566,9.99361728896534e-05,0.0112197802725037,"scaffold_297",1084,NA,NA,NA,"N",460796,"A",-0.441019376,"A","A","A"
"55","g23495",-2.92984394704878,-1.11972518510534,-4.34648285142536,0.000104856478785243,0.01163286461979,"scaffold_1149",494,NA,NA,NA,"N",19548,"A",-0.37308944,"A","A","A"
"56","g17785",-3.1998977022621,3.9717837517604,-4.32053169877679,0.000112085849918424,0.0123617505889443,"scaffold_965",2400,"LFC_TACTR","J9KTP3","Trypsin","Y",26730,"A",-1.610710922,"A","A","A"
"57","g592",-4.28722095203391,-2.34780230665191,-4.27812958505103,0.000125141790874253,0.0137209557725226,"scaffold_107",1273,NA,NA,NA,"N",1073716,"A",-0.332734421,"A","A","A"
"58","g15704",-1.41721618148667,4.61777248185837,-4.27319701076039,0.000126552839267094,0.0137419303202658,"scaffold_493",3104,"MCM9_XENTR","A0A067RI06","MCM OB domain,MCM P-loop domain,MCM AAA-lid domain","Y",227342,"A",-0.264036686,"A","A","A"
"59","g10306",-4.35370010300466,-1.99252020055443,-4.27307927803592,0.000126798973033548,0.0137419303202658,"scaffold_765",274,NA,NA,NA,"N",54856,"A",0.243401878,"A","A","A"
"60","g2778",-4.06641810861532,-4.04424230956492,-4.24456073299453,0.000136328413979971,0.0146058367640599,"scaffold_51",394,NA,NA,NA,"N",1437107,"A",0.002536088,"A","A","A"
"61","g17214",-3.72209950901506,-4.32935338018569,-4.23122810189837,0.000140993670570093,0.0149349736130998,"scaffold_57",377,NA,NA,NA,"N",1361687,"A",-0.000589339,"A","A","A"
"62","g16614",-4.5741499443801,-4.46416483038732,-4.20411692716304,0.000151467659813894,0.0158651796304508,"scaffold_154",1949,NA,NA,NA,"N",869335,"A",-0.393270995,"A","A","A"
"63","g17311",-6.37065349790907,1.16515399604924,-4.08849672677086,0.000207217725409111,0.0212301919874067,"scaffold_811",2024,NA,"J9KHS0","Transposase protein","Y",44050,"A",-0.083848737,"A","A","A"
"64","g18023",-3.68335677482032,-2.59268746312836,-4.07203449513641,0.000211924395354358,0.0215944048287981,"scaffold_1231",335,NA,"U4UG15",NA,"Y",17812,"A",-1.484249248,"A","A","A"
"65","g2975",-4.71777913158457,-4.4541026740284,-4.06615054417524,0.000215855550793151,0.021876084982815,"scaffold_366",844,NA,"A0A482XH24","Lipase","Y",367849,"A",0.43608487,"A","A","A"
"66","g18641",-4.60356362040015,1.38545255713976,-4.03237158031759,0.000235191176726492,0.0235807453071925,"scaffold_362",918,"HSP7C_RAT","A0A3B3CHS0","Hsp70 protein,DnaJ domain","Y",370763,"A",0.126613542,"A","A","A"
"67","g7959",-5.50513008180562,0.181824763951049,-3.99032610312898,0.0002637517659938,0.0258904809456427,"scaffold_323",1597,"YL_DROME",NA,"Low-density lipoprotein receptor domain class A","Y",409036,"A",0.019870135,"A","A","A"
"68","g13840",-3.55007930074592,-4.45716897706801,-3.94375961655777,0.000293916831317045,0.0282597265146835,"scaffold_685",989,NA,NA,NA,"N",89893,"A",0.089748722,"A","A","A"
"69","g14876",-1.87090728890498,0.767705879677238,-3.91728850753608,0.000314260635083194,0.0299089982090092,"scaffold_33",1181,"PELI_DROME","A0A088A146","Pellino","Y",1685622,"A",0.059508469,"A","A","A"
"70","g9932",-4.01189519904255,-0.872431374902188,-3.91322733292804,0.000317962677239702,0.0301084961392282,"scaffold_80",1377,NA,"A0A437B0J5","Phage integrase family","Y",1236135,"A",0.12319606,"A","A","A"
"71","g17215",-3.29587109387639,-1.69922042702463,-3.8876820003112,0.000338893329310334,0.0317695551561972,"scaffold_57",1556,NA,"A0A2P8ZLW3","Transposase IS4","Y",1361687,"A",-0.000589339,"A","A","A"
"72","g8581",-3.03218856172112,-3.81339357006345,-3.8819707810289,0.000343799995599165,0.0320691846641232,"scaffold_447",1240,NA,NA,"7tm Odorant receptor","Y",269477,"A",-0.019476095,"A","A","A"
"73","g15894",-5.54421282230137,-1.09092956115517,-3.86326771419115,0.000365142973689516,0.0337269024354274,"scaffold_187",325,NA,NA,NA,"N",753167,"A",0.222681535,"A","A","A"
"74","g19038",-3.50898932127519,-2.60191726476267,-3.85537689915852,0.000367945055704361,0.0338166757323582,"scaffold_682",3865,"YI31B_YEAST","A0A3B5QZY7,A0A3B5PQ07","Reverse transcriptase (RNA-dependent DNA polymerase),Integrase zinc binding domain,Integrase core domain,RNase H-like domain found in reverse transcriptase,Aspartyl protease","Y",90845,"A",0.07087511,"A","A","A"
"75","g21133",-3.30464027040608,-0.0291204506080568,-3.83856621739999,0.000383897054308171,0.0351106627864581,"scaffold_341",1518,"MAL1_DROVI","A0A2P8Y0B5","Alpha amylase, catalytic domain","Y",391211,"A",0.28096253,"A","A","A"
"76","g7733",-4.91210024473665,-0.654700077825364,-3.81657855293024,0.00040858185345183,0.0371868988852833,"scaffold_276",1547,NA,NA,NA,"N",502907,"A",-0.376325848,"A","A","A"
"77","g18441",-3.94830091100346,-2.43062845187541,-3.75999714948424,0.000468991757212023,0.0418720307427058,"scaffold_314",1259,NA,NA,NA,"N",423911,"A",-0.031914168,"A","A","A"
"78","g15097",-3.33994580690022,0.350955708542506,-3.75345501228859,0.000476226709971156,0.0423164672286692,"scaffold_298",2581,NA,"A0A1S3W0A9","hAT family C-terminal dimerisation region","Y",460290,"A",-0.267637772,"A","A","A"
"79","g5168",-2.57014290925654,-1.05366042933728,-3.71662691662366,0.000522469756538761,0.0455617928620708,"scaffold_174",346,NA,NA,NA,"N",804455,"A",-0.125551195,"A","A","A"
"80","g17932",-1.99224061998994,0.897453232341449,-3.71070798960478,0.000530322717905329,0.0460325029537362,"scaffold_226",1409,NA,NA,NA,"N",631026,"A",-0.691918968,"A","A","A"
"81","g9535",-5.93163693935961,1.4974494016896,-3.69203034517716,0.000567935406815393,0.0486220134355334,"scaffold_101",1210,NA,NA,NA,"N",1110711,"A",-0.06777845,"A","A","A"
"82","g7421",-3.72496873788369,-1.07249241107821,-3.67316914487268,0.000583550660115086,0.0497317787568079,"scaffold_526",1408,"RCBT1_MOUSE","A0A232EN37","BTB/POZ domain,Regulator of chromosome condensation (RCC1) repeat","Y",204775,"B3",0.082368629,"B.loose","A","A"
