"gene","seq","gene_len","blast","diamond","pfam_acc","pfam_descr","ipr_acc","ipr_descr","GO","b.status.final"
"g20103","scaffold_552",842,NA,"J9L5G6",NA,NA,NA,NA,NA,"B"
"g20090","scaffold_552",686,NA,NA,"PF03564","Protein of unknown function (DUF1759)","IPR005312","Protein of unknown function DUF1759",NA,"B"
"g20111","scaffold_552",965,NA,NA,"PF07679","Immunoglobulin I-set domain","IPR013098","Immunoglobulin I-set",NA,"B"
"g20115","scaffold_552",482,NA,"J9KK61",NA,NA,NA,NA,NA,"B"
"g20084","scaffold_552",1170,NA,"A0A0J7N8Y6","PF17921","Integrase zinc binding domain","IPR041588","Integrase zinc-binding domain",NA,"B"
"g20112","scaffold_552",971,NA,NA,"PF00047","Immunoglobulin domain","IPR013151","Immunoglobulin",NA,"B"
"g20097","scaffold_552",552,NA,"T1HLH9",NA,NA,NA,NA,NA,"B"
"g20106","scaffold_552",1316,"YMD2_CAEEL","A0A151IDY8",NA,NA,NA,NA,NA,"B"
"g20110","scaffold_552",641,NA,"D6WQK2",NA,NA,NA,NA,NA,"B"
"g20108","scaffold_552",2547,NA,"A0A0R3QAL5","PF00665","Integrase core domain","IPR001584","Integrase, catalytic core","GO:0015074","B"
"g2644","scaffold_786",4614,"PGBD4_HUMAN","X1X046","PF13843","Transposase IS4","IPR029526","PiggyBac transposable element-derived protein",NA,"B"
"g2155","scaffold_887",3164,NA,"J9KIL6",NA,NA,NA,NA,NA,"B"
"g19061","scaffold_902",1061,NA,"K7JWY9","PF00078","Reverse transcriptase (RNA-dependent DNA polymerase)","IPR000477","Reverse transcriptase domain",NA,"B"
"g20745","scaffold_957",663,"MAP11_DANRE","A0A482X705",NA,NA,NA,NA,NA,"B-A"
"g20744","scaffold_957",372,NA,NA,"PF07690","Major Facilitator Superfamily","IPR011701","Major facilitator superfamily","GO:0016021;GO:0055085","B-A"
"g20743","scaffold_957",1327,NA,NA,"PF00013;PF09128","KH domain; Regulator of G protein signalling-like domain","IPR004088;IPR015212","K Homology domain, type 1; Regulator of G protein signalling-like domain","GO:0003723;GO:0005089;GO:0005737","B-A"
"g16022","scaffold_1048",1298,NA,NA,"PF02902","Ulp1 protease family, C-terminal catalytic domain","IPR003653","Ulp1 protease family, C-terminal catalytic domain","GO:0006508;GO:0008234","Bc"
"g11624","scaffold_1060",2894,"PAIN_DROME","A0A482WJY3","PF12796;PF13606;PF00520","Ankyrin repeats (3 copies); Ankyrin repeat; Ion transport protein","IPR020683;IPR002110;IPR005821","Ankyrin repeat-containing domain; Ankyrin repeat; Ion transport domain","GO:0005515;GO:0005216;GO:0006811;GO:0016020;GO:0055085","Bc"
"g11625","scaffold_1060",2252,"PAIN_DROME","A0A482WJY3","PF00520;PF12796;PF13637","Ion transport protein; Ankyrin repeats (3 copies); Ankyrin repeats (many copies)","IPR005821;IPR020683","Ion transport domain; Ankyrin repeat-containing domain","GO:0005216;GO:0006811;GO:0016020;GO:0055085","Bc"
"g17419","scaffold_1288",1704,NA,"A0A087T1E7","PF13358","DDE superfamily endonuclease","IPR038717","Tc1-like transposase, DDE domain",NA,"Bc"
"g16455","scaffold_1425",3374,"PAIN_DROME","A0A482WJY3","PF00520;PF12796","Ion transport protein; Ankyrin repeats (3 copies)","IPR005821;IPR020683","Ion transport domain; Ankyrin repeat-containing domain","GO:0005216;GO:0006811;GO:0016020;GO:0055085","Bc"
"g16456","scaffold_1425",788,NA,"A0A2P8Z590","PF00520","Ion transport protein","IPR005821","Ion transport domain","GO:0005216;GO:0006811;GO:0016020;GO:0055085","Bc"
"g5825","scaffold_1469",797,NA,"A0A1S3DI71",NA,NA,NA,NA,NA,"Bc"
"g5824","scaffold_1469",952,NA,"J9LFV8","PF05970","PIF1-like helicase","IPR010285","DNA helicase Pif1-like","GO:0000723;GO:0003678;GO:0006281","Bc"
"g17650","scaffold_1472",1800,NA,"A0A0R3Q943",NA,NA,NA,NA,NA,"Bc"
"g17648","scaffold_1472",803,NA,"A0A0R3Q550",NA,NA,NA,NA,NA,"Bc"
"g17647","scaffold_1472",1013,NA,"D7EID9","PF08398","Parvovirus coat protein VP1","IPR013607","Parvovirus coat protein VP1, N-terminal","GO:0005198","Bc"
"g1206","scaffold_1495",836,NA,NA,"PF03258","Baculovirus FP protein","IPR004941","Baculovirus FP protein",NA,"Bc"
"g17664","scaffold_1508",1238,"RM38_MOUSE","A0A067QJE0","PF01161","Phosphatidylethanolamine-binding protein","IPR008914","Phosphatidylethanolamine-binding protein",NA,"Bc"
"g17662","scaffold_1508",1823,"SUCB2_COLLI","R4G3Z4","PF08442","ATP-grasp domain","IPR013650","ATP-grasp fold, succinyl-CoA synthetase-type",NA,"Bc"
"g17661","scaffold_1508",267,NA,"A0A482VIA6",NA,NA,NA,NA,NA,"Bc"
"g15851","scaffold_1514",2339,NA,"J9K4F9",NA,NA,NA,NA,NA,"Bc"
"g18439","scaffold_1579",577,"CSN4_DANRE","A0A2J7R0G0","PF18420;PF01399","CSN4/RPN5/eIF3a helix turn helix domain; PCI domain","IPR041406;IPR000717","COP9 signalosome complex subunit 4, helix turn helix domain; Proteasome component (PCI) domain",NA,"Bc"
"g18800","scaffold_1581",1289,NA,"J9MAL5",NA,NA,NA,NA,NA,"Bc"
"g19056","scaffold_1615",1536,"RTXE_DROME","J9LYS0","PF14529","Endonuclease-reverse transcriptase","IPR005135","Endonuclease/exonuclease/phosphatase",NA,"Bc"
"g18899","scaffold_1628",291,NA,NA,"PF00135","Carboxylesterase family","IPR002018","Carboxylesterase, type B",NA,"Bc"
"g18153","scaffold_1720",285,"CPR3_CAEEL",NA,"PF00112","Papain family cysteine protease","IPR000668","Peptidase C1A, papain C-terminal","GO:0006508;GO:0008234","Bc"
"g23391","scaffold_1768",2182,NA,"J9LQI3",NA,NA,NA,NA,NA,"Bc"
"g1595","scaffold_1845",321,"SULF1_DROME","A0A482X3I3","PF00884","Sulfatase","IPR000917","Sulfatase, N-terminal","GO:0008484","Bc"
"g12541","scaffold_2066",1166,"RDX_DROME","A0A484BP37","PF00651","BTB/POZ domain","IPR000210","BTB/POZ domain","GO:0005515","Bc"
"g1208","scaffold_2293",283,"FAS_CHICK","A0A2J7PFW7",NA,NA,NA,NA,NA,"Bc"
"g23011","scaffold_529",1175,NA,NA,"PF02949","7tm Odorant receptor","IPR004117","Olfactory receptor, insect","GO:0004984;GO:0005549;GO:0007608;GO:0016020","Bc"
"g23013","scaffold_529",719,NA,NA,"PF03258","Baculovirus FP protein","IPR004941","Baculovirus FP protein",NA,"Bc"
"g23012","scaffold_529",2755,"ARSB_RAT","D2A206","PF00884","Sulfatase","IPR000917","Sulfatase, N-terminal","GO:0008484","Bc"
"g23009","scaffold_529",887,NA,"A0A165ZFZ6","PF09820","Predicted AAA-ATPase","IPR018631","AAA-ATPase-like domain",NA,"Bc"
"g23008","scaffold_529",2003,NA,NA,"PF00026","Eukaryotic aspartyl protease","IPR033121","Peptidase family A1 domain",NA,"Bc"
"g23003","scaffold_529",822,NA,NA,"PF02949","7tm Odorant receptor","IPR004117","Olfactory receptor, insect","GO:0004984;GO:0005549;GO:0007608;GO:0016020","Bc"
"g23004","scaffold_529",890,NA,NA,"PF02949","7tm Odorant receptor","IPR004117","Olfactory receptor, insect","GO:0004984;GO:0005549;GO:0007608;GO:0016020","Bc"
"g23007","scaffold_529",854,NA,NA,"PF00026","Eukaryotic aspartyl protease","IPR033121","Peptidase family A1 domain",NA,"Bc"
"g22534","scaffold_551",1038,"YDJ1_CAEEL","J9JMQ3","PF03096","Ndr family","IPR004142","NDRG",NA,"Bc"
"g22529","scaffold_551",2465,"CC186_MOUSE","A0A2J7PG99",NA,NA,NA,NA,NA,"Bc"
"g22527","scaffold_551",1580,NA,NA,"PF03564","Protein of unknown function (DUF1759)","IPR005312","Protein of unknown function DUF1759",NA,"Bc"
"g22530","scaffold_551",1732,"RNF44_RAT,RNF44_DANRE","A0A482XGH4","PF13639","Ring finger domain","IPR001841","Zinc finger, RING-type",NA,"Bc"
"g22533","scaffold_551",845,"SDHB_DROME","A0A067RP06","PF13085;PF13534","2Fe-2S iron-sulfur cluster binding domain; 4Fe-4S dicluster domain","IPR025192","Succinate dehydogenase/fumarate reductase N-terminal","GO:0009055;GO:0051536","Bc"
"g22531","scaffold_551",2982,"IDE_HUMAN","A0A067RBB4","PF00675;PF16187;PF05193","Insulinase (Peptidase family M16); Middle or third domain of peptidase_M16; Peptidase M16 inactive domain","IPR011765;IPR032632;IPR007863","Peptidase M16, N-terminal; Peptidase M16, middle/third domain; Peptidase M16, C-terminal",NA,"Bc"
"g22528","scaffold_551",686,NA,NA,"PF18701;PF05585","Family of unknown function (DUF5641); Putative peptidase (DUF1758)","IPR040676;IPR008737","Domain of unknown function DUF5641; Peptidase aspartic, putative",NA,"Bc"
"g13964","scaffold_632",686,NA,NA,"PF15998","Domain of unknown function (DUF4773)","IPR031941","Domain of unknown function DUF4773",NA,"Bc"
"g13965","scaffold_632",618,NA,"A0A3Q0IT39","PF15998","Domain of unknown function (DUF4773)","IPR031941","Domain of unknown function DUF4773",NA,"Bc"
"g12655","scaffold_746",245,NA,NA,"PF00128","Alpha amylase, catalytic domain","IPR006047","Glycosyl hydrolase, family 13, catalytic domain","GO:0003824;GO:0005975","Bc"
"g12658","scaffold_746",1354,"MAL2_DROVI","A0A482WPG2","PF00128","Alpha amylase, catalytic domain","IPR006047","Glycosyl hydrolase, family 13, catalytic domain","GO:0003824;GO:0005975","Bc"
"g12656","scaffold_746",620,NA,"J9K4K7",NA,NA,NA,NA,NA,"Bc"
"g12657","scaffold_746",530,"MAL1_DROVI","J9M7C8","PF00128","Alpha amylase, catalytic domain","IPR006047","Glycosyl hydrolase, family 13, catalytic domain","GO:0003824;GO:0005975","Bc"
"g9190","scaffold_757",905,NA,NA,"PF03258","Baculovirus FP protein","IPR004941","Baculovirus FP protein",NA,"Bc"
"g9063","scaffold_848",327,"TRET1_DROPS","A0A3Q0J369","PF00083","Sugar (and other) transporter","IPR005828","Major facilitator,  sugar transporter-like","GO:0016021;GO:0022857;GO:0055085","Bc"
"g9061","scaffold_848",1328,NA,NA,"PF09820","Predicted AAA-ATPase","IPR018631","AAA-ATPase-like domain",NA,"Bc"
"g9062","scaffold_848",1025,NA,"A0A1H8D3N8","PF09820","Predicted AAA-ATPase","IPR018631","AAA-ATPase-like domain",NA,"Bc"
"g22245","scaffold_874",891,NA,"A0A482VZ22","PF00650","CRAL/TRIO domain","IPR001251","CRAL-TRIO lipid binding domain",NA,"Bc"
"g5582","scaffold_897",663,"FAS_ANSAN","A0A158NZW8","PF00109","Beta-ketoacyl synthase, N-terminal domain","IPR014030","Beta-ketoacyl synthase, N-terminal",NA,"Bc"
"g21357","scaffold_992",300,NA,NA,"PF12906","RING-variant domain","IPR011016","Zinc finger, RING-CH-type","GO:0008270","Bc"
