"","seq","length","b.status.final","cov.04v13","b.status","b.status.asn","b.status.kmer","gene","gene_len","blast","diamond","pfam_acc","pfam_descr","ipr_acc","ipr_descr","GO","anno"
"7499","scaffold_552",189883,"B1",1.94663466562078,"B.strict","A","B","g20108",2547,NA,"A0A0R3QAL5","PF00665","Integrase core domain","IPR001584","Integrase, catalytic core","GO:0015074","Y"
"7500","scaffold_552",189883,"B1",1.94663466562078,"B.strict","A","B","g20085",1087,NA,NA,NA,NA,NA,NA,NA,"N"
"7501","scaffold_552",189883,"B1",1.94663466562078,"B.strict","A","B","g20092",2589,NA,"A0A0R3QBG2","PF14529;PF00078","Endonuclease-reverse transcriptase; Reverse transcriptase (RNA-dependent DNA polymerase)","IPR005135;IPR000477","Endonuclease/exonuclease/phosphatase; Reverse transcriptase domain",NA,"Y"
"7502","scaffold_552",189883,"B1",1.94663466562078,"B.strict","A","B","g20105",734,NA,NA,NA,NA,NA,NA,NA,"N"
"7503","scaffold_552",189883,"B1",1.94663466562078,"B.strict","A","B","g20093",1501,NA,NA,NA,NA,NA,NA,NA,"N"
"7504","scaffold_552",189883,"B1",1.94663466562078,"B.strict","A","B","g20110",641,NA,"D6WQK2",NA,NA,NA,NA,NA,"Y"
"7505","scaffold_552",189883,"B1",1.94663466562078,"B.strict","A","B","g20098",1001,NA,NA,NA,NA,NA,NA,NA,"N"
"7506","scaffold_552",189883,"B1",1.94663466562078,"B.strict","A","B","g20102",310,NA,NA,NA,NA,NA,NA,NA,"N"
"7507","scaffold_552",189883,"B1",1.94663466562078,"B.strict","A","B","g20094",405,NA,NA,NA,NA,NA,NA,NA,"N"
"7508","scaffold_552",189883,"B1",1.94663466562078,"B.strict","A","B","g20100",3042,NA,"A0A087T926","PF07679;PF10551","Immunoglobulin I-set domain; MULE transposase domain","IPR013098;IPR018289","Immunoglobulin I-set; MULE transposase domain",NA,"Y"
"7509","scaffold_552",189883,"B1",1.94663466562078,"B.strict","A","B","g20101",475,NA,NA,NA,NA,NA,NA,NA,"N"
"7510","scaffold_552",189883,"B1",1.94663466562078,"B.strict","A","B","g20109",341,NA,NA,NA,NA,NA,NA,NA,"N"
"7511","scaffold_552",189883,"B1",1.94663466562078,"B.strict","A","B","g20115",482,NA,"J9KK61",NA,NA,NA,NA,NA,"Y"
"8465","scaffold_786",48770,"B1",1.38485148752984,"B.strict","A","B","g2644",4614,"PGBD4_HUMAN","X1X046","PF13843","Transposase IS4","IPR029526","PiggyBac transposable element-derived protein",NA,"Y"
"9127","scaffold_902",30666,"B1",1.82721634578886,"B.strict","B","B","g19061",1061,NA,"K7JWY9","PF00078","Reverse transcriptase (RNA-dependent DNA polymerase)","IPR000477","Reverse transcriptase domain",NA,"Y"
"9190","scaffold_932",28592,"B1",2.02197510567258,"B.strict","A","B","g23135",122,NA,NA,NA,NA,NA,NA,NA,"N"
