seq	length	PV04.asn	PV13.asn	PV21.asn	PV23.asn	b.status.asn	A.lo	B.lo	A.st	B.st	AB.ratio.st	AB.ratio.lo	b.status.kmer	b.status.old.final	norm_cov_PV04	norm_cov_PV13	norm_cov_PV21	norm_cov_PV23	fraction_of_B_windows	cov.b.status	b.status.final	assignment_changes
scaffold_13	2344678	Y	Y	Y	Y	A	1931822	378029	2145302	164549	-3.70458349504298	-2.35339028112507	A	A	2.06724931228315	1.986234828617	1.93059724850359	1.9368166324819	0.0128	A	A	A -> A
scaffold_14	2278001	Y	Y	Y	Y	A	2190387	72160	2205506	57041	-5.27294196286844	-4.92382330626983	A	A	1.94800401266853	2.07777119117386	2.12348056026227	2.10192665472476	0	A	A	A -> A
scaffold_15	2222211	Y	Y	Y	Y	A	1979881	220408	2065608	134681	-3.93893823641807	-3.16715940889908	A	A	1.90097621558597	1.93945476216614	1.93898996284847	1.92478627058509	0.0045	A	A	A -> A
scaffold_16	2210925	Y	Y	Y	Y	A	1902876	279709	2000524	182061	-3.45787691836606	-2.76617857221936	A	A	2.00933728334494	1.98110253187174	1.96750227131648	1.94563946145269	0	A	A	A -> A
scaffold_17	2133015	Y	Y	Y	Y	A	1997813	109958	2083338	24433	-6.41386374173138	-4.18338467509872	A	A	2.0581090372497	2.07058823540068	2.10226904487306	2.05553112399702	0.0047	A	A	A -> A
scaffold_18	2121024	Y	Y	Y	Y	A	1993849	100343	2077499	16693	-6.95937499075476	-4.31253061850155	A	A	1.94916136082301	1.93065646837169	2.02871410480655	2.04735532568486	0	A	A	A -> A
scaffold_19	2112375	Y	Y	Y	Y	A	1989314	106240	2046504	49050	-5.38273583245011	-4.22685920276569	A	A	1.92263114292888	2.01233902543041	1.97082587415227	1.98952488820619	0	A	A	A -> A
scaffold_20	2080048	Y	Y	Y	Y	A	1905727	162048	1991758	76017	-4.71155821466735	-3.55584019856434	A	A	2.0537591861889	2.09299220210472	2.03328439902995	2.01748876752963	0.0048	A	A	A -> A
scaffold_21	2065129	Y	Y	Y	Y	A	1955267	96293	2003790	47770	-5.39045315239886	-4.34377664700863	A	A	2.07700092143119	2.06622657138131	2.14527987810964	2.1003845829031	0.0048	A	A	A -> A
scaffold_22	1994893	Y	Y	Y	Y	A	1774101	191964	1870141	95924	-4.28509714814405	-3.20817375735088	A	A	2.04123598521104	2.02854078933723	1.94188711173616	1.91209271900813	0.01	A	A	A -> A
scaffold_23	1994711	Y	Y	Y	Y	A	1782121	140258	1837342	85037	-4.43336950078115	-3.66743085150923	A	A	1.80724245068784	1.88682903379315	1.88462078023649	1.90980504732889	0	A	A	A -> A
scaffold_24	1928806	Y	Y	Y	Y	A	1709692	209753	1794626	124819	-3.84576299975263	-3.02696706352164	A	A	2.06922382091363	2.08395887810858	2.05099888507947	2.02676574923475	0	A	A	A -> A
scaffold_25	1916934	Y	Y	Y	Y	A	1613129	292578	1826249	79458	-4.52252982573438	-2.46296457988515	A	A	2.32211024154045	2.21645535445159	2.1026346615509	2.0429623561533	0.0104	A	A	A -> A
scaffold_26	1877544	Y	Y	Y	Y	A	1650480	208182	1734031	124631	-3.79838408095924	-2.98696236101202	A	A	1.9402144450687	1.9919975904409	1.97761557274749	1.97442395746275	0	A	A	A -> A
scaffold_27	1871822	Y	Y	Y	Y	A	1745764	115013	1855029	5748	-8.33391577256335	-3.92397798069887	A	A	2.05069601257996	2.08330003850618	2.037323353715	2.026950204398	0	A	A	A -> A
scaffold_28	1812903	Y	Y	Y	Y	A	1530586	257245	1574107	213724	-2.88070694897981	-2.57286450185271	A	A	2.3797383677824	2.30304066151444	2.21134343392319	2.23416306074544	0.0055	A	A	A -> A
scaffold_29	1762846	Y	Y	Y	Y	A	1613688	117234	1697355	33567	-5.66005879129168	-3.78288731088913	A	A	1.93341060965269	1.92936647628534	1.90930591634739	1.92159671460537	0	A	A	A -> A
scaffold_30	1716177	Y	Y	Y	Y	A	1600817	90675	1646657	44835	-5.19873956245808	-4.14194473352481	A	A	2.09503446712137	2.02393375925765	2.16457412612027	2.16309532424733	0	A	A	A -> A
scaffold_31	1715383	Y	Y	Y	Y	A	1530075	175070	1699410	5735	-8.21077406897387	-3.12759128396757	A	A	2.09622772261671	1.98253681146307	1.98449201875805	1.92864103585159	0	A	A	A -> A
scaffold_32	1713197	Y	Y	Y	Y	A	1648759	52966	1687046	14679	-6.84450438829696	-4.96014380137227	A	A	2.07076215242088	2.03878355181806	2.0550184739322	2.06896772132882	0	A	A	A -> A
scaffold_33	1685622	Y	Y	Y	Y	A	1456500	205220	1567800	93920	-4.06115087121078	-2.82725641926719	A	A	2.11450851859786	2.09279886995443	2.10113983844701	2.11879432579672	0	A	A	A -> A
scaffold_34	1677135	Y	Y	Y	Y	A	1653083	12183	1664988	278	-12.5429599034415	-7.08402837860104	A	A	2.26269446924464	2.19136086392238	2.22882474527417	2.26909535136494	0.006	A	A	A -> A
scaffold_35	1661356	Y	Y	Y	Y	A	1630634	15360	1645597	397	-12.013555894358	-6.73001793782758	A	A	2.52785797134968	2.43719045287132	2.42383301638919	2.5031603681963	0.006	A	A	A -> A
scaffold_36	1654184	Y	Y	Y	Y	A	1523581	115191	1600893	37879	-5.40129764481319	-3.7253547174761	A	A	2.24212124665545	2.27395302835297	2.25338632065116	2.2512568464117	0	A	A	A -> A
scaffold_37	1648890	Y	Y	Y	Y	A	1488620	149782	1574129	64273	-4.61417562172403	-3.31303069744721	A	A	1.83997043800996	2.00828244510552	1.94144653830378	1.94241988795892	0	A	A	A -> A
scaffold_38	1625795	Y	Y	Y	Y	A	1321837	289878	1429066	182649	-2.96791989814026	-2.18902264817932	A	A	2.06591958507467	2.03148650843615	1.95171589593431	1.96207803532253	0.0184	A	A	A -> A
scaffold_39	1602743	Y	Y	Y	Y	A	1472891	117728	1564191	26428	-5.88715196145602	-3.64511000237444	A	A	1.91249562426714	1.971514139295	1.99748144974364	1.92664373545528	0	A	A	A -> A
scaffold_40	1584338	Y	Y	Y	Y	A	1482357	83308	1564408	1257	-10.2802701034353	-4.15327774002694	A	A	2.02883447668832	2.00256372740287	2.00009480343821	1.99998432258344	0	A	A	A -> A
scaffold_41	1577355	Y	Y	Y	Y	A	1539940	30407	1570050	297	-12.3632114718337	-5.66228033724084	A	A	2.22475571684701	2.15864889262022	2.13895851341254	2.17395724138528	0	A	A	A -> A
scaffold_42	1571520	Y	Y	Y	Y	A	1454084	104408	1528588	29904	-5.67567002578173	-3.79979362398891	A	A	1.97064438820466	2.13888260100557	2.02335815428888	2.0009376480349	0.0063	A	A	A -> A
scaffold_43	1553300	Y	Y	Y	Y	A	1379070	115003	1445800	48273	-4.9044788092969	-3.58394078827319	A	A	1.76073461396501	1.78732941770885	1.80677248918481	1.77504078276166	0	A	A	A -> A
scaffold_44	1539515	Y	Y	Y	Y	A	1513676	16430	1530080	26	-15.7902890960297	-6.52549328841399	A	A	2.18990751661491	2.09229118508934	2.0836674333745	2.14376893573524	0	A	A	A -> A
scaffold_45	1519494	Y	Y	Y	Y	A	1351691	159876	1458286	53281	-4.77448263217591	-3.07973214098733	A	A	1.99315613155969	2.12417872272788	2.0104906120417	1.99816596795921	0	A	A	A -> A
scaffold_46	1511820	Y	Y	Y	Y	A	1505368	2849	1508192	25	-15.8239499099796	-9.04493953291367	A	A	2.28961433092613	2.19768225110659	2.28533212791845	2.28770865828446	0	A	A	A -> A
scaffold_47	1504070	Y	Y	Y	Y	A	1368989	93257	1384302	77944	-4.15055946813909	-3.87574060787617	A	A	2.10670111722574	2.08170309813404	2.18265233330879	2.16003732751964	0	A	A	A -> A
scaffold_48	1470363	Y	Y	Y	Y	A	1185038	267961	1357772	95227	-3.83371265856501	-2.14483420939013	A	A	2.31328831365006	2.17844562787753	2.06201164365555	2.07108468298207	0	A	A	A -> A
scaffold_49	1467153	Y	Y	Y	Y	A	1350860	100933	1358947	92846	-3.87149114669015	-3.74239509410933	A	A	2.00099726770201	2.04407114312176	2.13190839347893	2.14721503388172	0	A	A	A -> A
scaffold_50	1438737	Y	Y	Y	Y	A	1181720	243724	1300870	124574	-3.3843914261287	-2.27756331303879	A	A	1.9795406393951	1.88230721528651	1.83610700481863	1.85604248919735	0.0069	A	A	A -> A
scaffold_51	1437107	Y	Y	Y	Y	A	1241770	182317	1347643	76444	-4.13987348445516	-2.76787023609845	A	A	1.95338444406909	1.99879446118471	1.90716907520448	1.93035751460416	0	A	A	A -> A
scaffold_52	1435599	Y	Y	Y	Y	A	1408815	18757	1421688	5884	-7.91634777371633	-6.23083337470297	A	A	2.07827023472152	2.12619651985523	2.18366240664395	2.15387127971746	0.0069	A	A	A -> A
scaffold_53	1421213	Y	Y	Y	Y	A	1292533	115354	1382538	25349	-5.76919062052001	-3.48604978768912	A	A	2.05944399800039	2.01328637237172	2.02237973648007	2.0073604363671	0.014	A	A	A -> A
scaffold_54	1412569	Y	Y	Y	Y	A	1261562	140861	1280618	121805	-3.39418421456043	-3.16285787658927	A	A	2.09438181932086	2.01711746671103	2.09567579554904	2.07999675991399	0	A	A	A -> A
scaffold_55	1407959	Y	Y	Y	Y	A	1307049	81870	1334215	54704	-4.60817573678868	-3.99681800393592	A	A	2.21384971960905	2.20779952059161	2.24471901312475	2.21104781026246	0	A	A	A -> A
scaffold_56	1371732	Y	Y	Y	Y	A	1226918	131139	1258988	99069	-3.6676736156881	-3.22586030173295	A	A	2.14988058023238	2.2370710567963	2.25253209509459	2.24200768756533	0	A	A	A -> A
scaffold_57	1361687	Y	Y	Y	Y	A	1255437	79422	1306269	28590	-5.51374823529685	-3.98249011643107	A	A	1.90631385559903	1.87300980537093	1.91099074263737	1.9136898030818	0	A	A	A -> A
scaffold_58	1360862	Y	Y	Y	Y	A	1297420	53297	1341440	9277	-7.17575404105692	-4.60542148822152	A	A	2.16443511721121	2.11649001928492	2.09364318020968	2.15607078338094	0	A	A	A -> A
scaffold_59	1359663	Y	Y	Y	Y	A	1329465	25898	1354488	875	-10.5945301869766	-5.68180667737722	A	A	1.98810916405299	2.14251466444898	1.95492247591436	2.09171861807497	0	A	A	A -> A
scaffold_60	1353332	Y	Y	Y	Y	A	1308971	37985	1346511	445	-11.5598957564758	-5.10682262554571	A	A	1.94381126415996	2.00801521236149	1.96596147432903	2.00033617073477	0	A	A	A -> A
scaffold_61	1352747	Y	Y	Y	Y	A	1316476	24374	1332801	8049	-7.37125797215783	-5.7551362873775	A	A	2.546989507193	2.596979431659	2.63464135897668	2.63213733284904	0	A	A	A -> A
scaffold_62	1348906	Y	Y	Y	Y	A	1269200	58738	1300641	27297	-5.57428485122928	-4.43345804807702	A	A	1.83944304381705	1.95067986805504	2.09785039404496	2.14902095239474	0	A	A	A -> A
scaffold_63	1338047	Y	Y	Y	Y	A	1301083	31111	1331998	196	-12.7231097491722	-5.38609915758085	A	A	2.05467321631805	2.18040115373189	2.10649040410027	2.18825129310355	0	A	A	A -> A
scaffold_64	1337888	Y	Y	Y	Y	A	1244204	68109	1271810	40503	-4.97267609240297	-4.19121376663364	A	A	1.99320297896812	1.98870375192001	2.05185949682656	2.05980549524328	0	A	A	A -> A
scaffold_65	1324386	Y	Y	Y	Y	A	1140766	175004	1202107	113663	-3.40271921970953	-2.70453610691252	A	A	2.42690457352209	2.22716163509745	2.28413332410574	2.25228505696212	0.0075	A	A	A -> A
scaffold_66	1324262	Y	Y	Y	Y	A	1164710	140156	1185634	119232	-3.31380445234455	-3.05485631781143	A	A	2.03903856256824	2.20106871464277	2.08920727633137	2.12316007274904	0	A	A	A -> A
scaffold_67	1313318	Y	Y	Y	Y	A	1308493	2000	1310454	39	-14.9997082879341	-9.35297042645085	A	A	2.02531489945909	2.11308142959362	2.20216769731818	2.09617517984386	0	A	A	A -> A
scaffold_68	1306168	Y	Y	Y	Y	A	1193917	101089	1213632	81374	-3.89860277117317	-3.56199155815189	A	A	1.91159327416776	1.94491142003457	1.99402627310583	1.95839034883876	0	A	A	A -> A
scaffold_69	1296325	Y	Y	Y	Y	A	1184727	101334	1279538	6523	-7.61565162361146	-3.54735141445611	A	A	2.11487543292059	2.04190652109456	2.06877544625496	2.1020244458453	0.0077	A	A	A -> A
scaffold_70	1292812	Y	Y	Y	Y	A	1221825	64596	1278918	7503	-7.41304935120909	-4.24142787050094	A	A	2.2730738913696	2.22177551634033	2.27469231133435	2.24135974844817	0	A	A	A -> A
scaffold_71	1288280	Y	Y	Y	Y	A	1081025	189465	1137988	132502	-3.10238968315813	-2.51239033944745	A	A	2.00641193789429	2.07464505824763	1.93687824740514	1.94470717012902	0	A	A	A -> A
scaffold_72	1284286	Y	Y	Y	Y	A	1184171	90323	1238335	36159	-5.09786432880671	-3.71262545891661	A	A	2.57964848220857	2.59411873545507	2.70043191141767	2.65398604249541	0	A	A	A -> A
scaffold_73	1283250	Y	Y	Y	Y	A	1202644	66470	1238388	30726	-5.33281383396146	-4.17734197832375	A	A	1.95175928387066	1.93910893536103	2.05843347650541	1.99437357750947	0	A	A	A -> A
scaffold_74	1279699	Y	Y	Y	Y	A	1115497	126990	1165557	76930	-3.92131192523239	-3.13488976668982	A	A	1.81036155117486	1.83863285743916	1.90606658682047	1.91850851879307	0.0078	A	A	A -> A
scaffold_75	1276505	Y	Y	Y	Y	A	1120147	140183	1223252	37078	-5.04397667492106	-2.99829576069427	A	A	2.07174242370925	2.04315941392859	2.02179474097916	1.99322569608498	0	A	A	A -> A
scaffold_76	1257193	Y	Y	Y	Y	A	1228904	17875	1246537	242	-12.3246829289537	-6.10320563299834	A	A	3.39296096107368	3.40430889528224	3.48629647879818	3.31139278544417	0.0079	A	A	A -> A
scaffold_77	1239985	Y	Y	Y	Y	A	1069859	163742	1139216	94385	-3.59332588530287	-2.70791688245445	A	A	2.10060690845534	2.12595096270959	2.09218282023014	2.06575249809618	0	A	A	A -> A
scaffold_78	1238903	Y	Y	Y	Y	A	1116949	113862	1197166	33645	-5.15304560584018	-3.29419368357336	A	A	1.99996326674428	2.03809794233169	2.01996710289814	2.01103227488229	0	A	A	A -> A
scaffold_79	1236716	Y	Y	Y	Y	A	1189598	28237	1214739	3096	-8.61556045757885	-5.39669361839965	A	A	2.25670797379543	2.1364953142069	2.18239849491064	2.18297247824069	0	A	A	A -> A
scaffold_80	1236135	Y	Y	Y	Y	A	1141390	87423	1217238	11575	-6.71633182604713	-3.70661989338874	A	A	2.18290163055093	2.12832539739536	2.12966767512421	2.09324682341181	0	A	A	A -> A
scaffold_81	1225220	Y	Y	Y	Y	A	1018481	175426	1175493	18414	-5.99624196768935	-2.53747776783036	A	A	2.06780548532922	2.00471881446053	1.78554847086744	1.79182747946022	0.0081	A	A	A -> A
scaffold_82	1220856	Y	Y	Y	Y	A	1071866	125383	1096125	101124	-3.43820203827411	-3.09570073802278	A	A	2.1358827973168	2.10491505731319	2.19525365482128	2.15501342650892	0.0081	A	A	A -> A
scaffold_83	1220338	Y	Y	Y	Y	A	1080777	132406	1113326	99857	-3.47885557275597	-3.02901891233892	A	A	2.01529829447273	2.03383467299462	1.97787878475527	1.94126168254628	0.0081	A	A	A -> A
scaffold_84	1218258	Y	Y	Y	Y	A	1015519	193553	1092205	116867	-3.22429312722564	-2.39141062496214	A	A	2.23437540285202	2.1204059582261	1.97675392398037	2.00870912489694	0.0328	A	A	A -> A
scaffold_85	1217065	Y	Y	Y	Y	A	987488	211209	1020703	177994	-2.5196559305921	-2.22508653505703	A	A	2.0997060545562	2.01579053562486	1.97222429121933	1.97161057113836	0.0246	A	A	A -> A
scaffold_86	1216973	Y	Y	Y	Y	A	1097410	103900	1172862	28448	-5.36551275259385	-3.4008224972722	A	A	2.90877878190165	3.20794039288926	3.24611140738255	3.06078222941098	0	A	A	A -> A
scaffold_87	1207356	Y	Y	Y	Y	A	1083126	107883	1168815	22194	-5.71866931364936	-3.3276495899393	A	A	2.29272696872136	2.21155010135487	2.16716761236873	2.23225226168963	0	A	A	A -> A
scaffold_88	1206924	Y	Y	Y	Y	A	1078891	113488	1135042	57337	-4.30711156044365	-3.24892607919965	A	A	1.92488868497744	1.86777843123687	1.93196507286481	1.91729327297044	0	A	A	A -> A
scaffold_89	1205502	Y	Y	Y	Y	A	1090735	103977	1140867	53845	-4.40514889244034	-3.39095174060298	A	A	2.08005144214356	2.06073432630475	2.08095600604639	2.06993107045657	0	A	A	A -> A
scaffold_90	1197345	Y	Y	Y	Y	A	1126799	58680	1139930	45549	-4.64535163647907	-4.26319420199333	A	A	2.42067778028014	2.52308400943227	2.61547160403767	2.45185706837844	0	A	A	A -> A
scaffold_91	1192111	Y	Y	Y	Y	A	984334	195560	1043660	136234	-2.93748387706607	-2.33153070570769	A	A	2.12933798459796	2.27378718140322	2.09273396660839	2.08876885145299	0.0167	A	A	A -> A
scaffold_92	1188863	Y	Y	Y	Y	A	1166021	18889	1184799	111	-13.368857193006	-5.9478284969912	A	A	1.91456021178811	2.17110477010687	1.93906612188683	2.06097626525154	0	A	A	A -> A
scaffold_93	1182508	Y	Y	Y	Y	A	1074109	102213	1163811	12511	-6.53940179884272	-3.393477030508	A	A	2.19834825208728	2.14013781542903	2.15482085466183	2.16363697599472	0	A	A	A -> A
scaffold_94	1173942	Y	Y	Y	Y	A	1077942	79892	1132055	25779	-5.45654925255237	-3.75406797853634	A	A	2.1593500105131	2.01685765333308	2.03437453494919	2.03230981390698	0.0085	A	A	A -> A
scaffold_95	1160631	Y	Y	Y	Y	A	1086827	61893	1147642	1078	-10.0547633491068	-4.13418026768284	A	A	1.95895073090614	2.05464292791884	1.99485983158078	1.98785074045342	0	A	A	A -> A
scaffold_96	1138600	Y	Y	Y	Y	A	1045072	65557	1099905	10724	-6.68025877568296	-3.99468806780348	A	A	1.86483380203225	1.92567146419797	1.87702682335768	1.9055457564062	0	A	A	A -> A
scaffold_97	1135984	Y	Y	Y	Y	A	1077267	49404	1119039	7632	-7.19579569959359	-4.44657633813479	A	A	2.19584955341077	2.06088788497732	2.11412019772594	2.13628068117474	0	A	A	A -> A
scaffold_98	1127684	Y	Y	Y	Y	A	1072787	45606	1090332	28061	-5.28000717282728	-4.55596592077383	A	A	2.28951232017252	2.21385642594565	2.21912451232135	2.26915737661853	0	A	A	A -> A
scaffold_99	1127637	Y	Y	Y	Y	A	972672	131689	1041281	63080	-4.04501149118482	-2.88480907383202	A	A	1.81171545358321	1.86393557755899	1.83087132952892	1.81636401830668	0	A	A	A -> A
scaffold_100	1120582	Y	Y	Y	Y	A	1008524	83790	1079186	13128	-6.36104403013976	-3.58930774444736	A	A	2.40230796353882	2.34170344193793	2.39770244808175	2.30597891210378	0	A	A	A -> A
scaffold_101	1110711	Y	Y	Y	Y	A	1026945	52117	1059696	19366	-5.77390750865958	-4.30043478972551	A	A	2.08162411423102	2.01506897462201	2.08851680214718	2.07147535336655	0	A	A	A -> A
scaffold_102	1107393	Y	Y	Y	Y	A	1078671	21150	1085343	14478	-6.22804660206394	-5.67238655576606	A	A	2.06215788447645	2.15386829301852	2.22306521348542	2.23667416255435	0	A	A	A -> A
scaffold_103	1099892	Y	Y	Y	Y	A	1002730	88159	1044291	46598	-4.4860823622429	-3.5076665957274	A	A	2.0919522856514	1.9774461482912	2.11786727431825	2.02950594591873	0	A	A	A -> A
scaffold_104	1087456	Y	Y	Y	Y	A	926139	125977	1019018	33098	-4.94424951071029	-2.87805848244219	A	A	1.86886984109602	1.8127322744061	1.86664794468646	1.80596922923314	0	A	A	A -> A
scaffold_105	1084854	Y	Y	Y	Y	A	1076746	3261	1079901	106	-13.3010019781552	-8.36670680660427	A	A	2.36604304486671	2.34202326967869	2.42794019376252	2.37709164790695	0	A	A	A -> A
scaffold_106	1075357	Y	Y	Y	Y	A	910661	122847	1021891	11617	-6.45873718601291	-2.89004131434515	A	A	1.83240038689291	1.88693842435591	1.83987618838118	1.86448486724558	0	A	A	A -> A
scaffold_107	1073716	Y	Y	Y	Y	A	908764	159235	946002	121997	-2.95498726184433	-2.51274073566087	A	A	2.07037933716612	2.28023911928428	2.05560368149822	2.01929517454697	0	A	A	A -> A
scaffold_108	1073074	Y	Y	Y	Y	A	1005381	58488	1059011	4858	-7.76784378926368	-4.1034346314578	A	A	2.02453843592668	1.97598727459734	2.05504305648187	2.03146971488016	0	A	A	A -> A
scaffold_109	1067028	Y	Y	Y	Y	A	992293	62267	1033562	20998	-5.62116189304046	-3.9942047833669	A	A	1.9732794086101	1.93211841880018	1.94217303342624	1.95065203128167	0	A	A	A -> A
scaffold_110	1065314	Y	Y	Y	Y	A	933445	127251	1000170	60526	-4.04652402340104	-2.87487823363327	A	A	2.18661286823084	2.19133544750338	1.93330131116253	2.08514385799399	0	A	A	A -> A
scaffold_111	1061684	Y	Y	Y	Y	A	1031905	20426	1040130	12201	-6.41350379499563	-5.65869040725835	A	A	2.89090204464575	2.70811816640919	3.27404497623092	3.12038961847739	0	A	A	A -> A
scaffold_112	1055113	Y	Y	Y	Y	A	1008590	39186	1022035	25741	-5.311178057438	-4.68582231637725	A	A	1.86449685357537	1.99765747611727	1.90897347959841	1.90279119494806	0.0094	A	A	A -> A
scaffold_113	1050071	Y	Y	Y	Y	A	933872	110945	1012822	31995	-4.98434670494543	-3.07336871298475	A	A	2.14668608239592	2.32572211331098	2.0762222290086	2.10209994383796	0	A	A	A -> A
scaffold_114	1045659	Y	Y	Y	Y	A	942363	92187	1008359	26191	-5.26674075793003	-3.35363355254798	A	A	1.83019900030654	1.98488220761251	1.79007333541926	1.82823565373297	0	A	A	A -> A
scaffold_115	1025499	Y	Y	Y	Y	A	957885	59647	1012325	5207	-7.60272879303533	-4.00530829783056	A	A	2.01364348890673	2.07767394909439	2.00152527136644	2.02455917293746	0	A	A	A -> A
scaffold_116	1023870	Y	Y	Y	Y	A	848455	166716	967473	47698	-4.34219196478948	-2.34743862282921	A	A	2.08034311750647	2.06124919877368	1.94985389895642	1.89596217168612	0.0097	A	A	A -> A
scaffold_117	1008249	Y	Y	Y	Y	A	973241	21036	983577	10700	-6.52222193932776	-5.53179769313286	A	A	1.98510685424716	1.90292404979635	2.0491441477159	2.02551725773271	0	A	A	A -> A
scaffold_118	993109	Y	Y	Y	Y	A	842659	140616	893939	89336	-3.3228482891471	-2.58317962323231	A	A	2.21390137567329	2.01516907238677	2.10669035164477	2.09885811108034	0	A	A	A -> A
scaffold_119	991669	Y	Y	Y	Y	A	939863	41293	959140	22016	-5.4450531082738	-4.50844793231148	A	A	1.91669014507441	1.95049695816053	1.9196470049784	1.94855830169928	0	A	A	A -> A
scaffold_120	990960	Y	Y	Y	Y	A	971570	12615	983160	1025	-9.90425314689332	-6.26699295788625	A	A	2.0009098211437	1.99035452428189	2.09972300499945	2.06346056468825	0	A	A	A -> A
scaffold_121	988657	Y	Y	Y	Y	A	897645	71790	936948	32487	-4.84999168376991	-3.64427171034373	A	A	1.82540873327991	1.76165429529674	1.83611357630363	1.78913361773949	0	A	A	A -> A
scaffold_122	982358	Y	Y	Y	Y	A	890619	84006	910518	64107	-3.82811281628558	-3.40622855710709	A	A	2.4779858339793	2.34270409402439	2.3744157954268	2.32064906876813	0	A	A	A -> A
scaffold_123	973757	Y	Y	Y	Y	A	895545	70544	950109	15980	-5.89366496082706	-3.66615180056619	A	A	2.1968797912724	2.15168449328544	2.17988656648112	2.18351267517874	0	A	A	A -> A
scaffold_124	971564	Y	Y	Y	Y	A	950255	12616	957706	5165	-7.5343928929879	-6.23487540920312	A	A	1.86649279722023	1.98792786125099	1.94818495311526	1.991163300883	0	A	A	A -> A
scaffold_125	964565	Y	Y	Y	Y	A	956530	2704	959223	11	-16.2865457294734	-8.46603932103374	A	A	2.07051379610642	2.2204816514685	2.3058594902974	2.1766952093995	0	A	A	A -> A
scaffold_126	958358	Y	Y	Y	Y	A	891100	64196	909923	45373	-4.32580829852442	-3.7950111750717	A	A	2.48394545399095	2.63143608470306	2.56886047899536	2.54568344493502	0	A	A	A -> A
scaffold_127	957964	Y	Y	Y	Y	A	868370	79358	914505	33223	-4.78269495342269	-3.45184579510795	A	A	2.06047955805166	2.00010705640205	2.04608144253909	2.03340138728229	0	A	A	A -> A
scaffold_128	956808	Y	Y	Y	Y	A	860115	89965	919489	30591	-4.90960755101295	-3.25707945731269	A	A	2.19482527260102	2.12330010102312	2.05842172822014	2.09973823837686	0.0208	A	A	A -> A
scaffold_129	951482	Y	Y	Y	Y	A	940123	7142	942877	4388	-7.74703503068806	-7.04017712564698	A	A	2.27728923077404	2.1480507052396	2.30969519034785	2.25844581751631	0	A	A	A -> A
scaffold_130	951268	Y	Y	Y	Y	A	807432	114294	859636	62090	-3.79127150758208	-2.82058025919809	A	A	2.17896714242817	2.36419406761345	2.27786294803158	2.2423974744348	0	A	A	A -> A
scaffold_131	945783	Y	Y	Y	Y	A	861198	64610	896058	29750	-4.9125836613783	-3.73649493502415	A	A	1.8666569272119	1.88592394225537	1.82276757437035	1.87763231209714	0	A	A	A -> A
