"seq","length","PV04.mapped","PV13.mapped","PV21.mapped","PV23.mapped","cov.13v21","cov.13v23","cov.04v21","cov.04v23","cov.04v13","cov.21v23","b.status","PV04.asn","PV13.asn","PV21.asn","PV23.asn","b.status.asn","b.status.cov.asn","A.lo","B.lo","A.st","B.st","AB.ratio.st","AB.ratio.lo","b.status.kmer","b.status.final"
"scaffold_14",2278001,629641,951407,563391,578534,-0.300656812310096,-0.215911343586897,-0.742643576293054,-0.701620059215531,-0.521531911093587,0.0510020208552555,"A","Y","Y","Y","Y","A","A",2190387,72160,2205506,57041,-5.27294196286844,-4.92382330626983,"A","A"
"scaffold_15",2222211,545204,747798,298929,323183,0.266261406981049,0.276723883527084,-0.0360448651903789,-0.06930430558687,-0.381851299844664,-0.0232810370611321,"A","Y","Y","Y","Y","A","A",1979881,220408,2065608,134681,-3.93893823641807,-3.16715940889908,"A","A"
"scaffold_16",2210925,719020,744183,320503,334420,0.158735575831505,0.220423054214605,0.262655020408501,0.280620647410104,0.0243750155301392,0.0279439858609879,"A","Y","Y","Y","Y","A","A",1902876,279709,2000524,182061,-3.45787691836606,-2.76617857221936,"A","A"
"scaffold_17",2133015,680052,810176,418285,397934,-0.102834187952623,0.0921333158276427,-0.201878949025828,-0.0506333349691854,-0.178589466439256,0.161224047549501,"A","Y","Y","Y","Y","A","A",1997813,109958,2083338,24433,-6.41386374173138,-4.18338467509872,"A","A"
"scaffold_18",2121024,774486,780518,474538,527671,-0.338674440332092,-0.368778635853135,-0.196322286404989,-0.270148334279988,0.062807759613403,-0.0638476157174562,"A","Y","Y","Y","Y","A","A",1993849,100343,2077499,16693,-6.95937499075476,-4.31253061850155,"A","A"
"scaffold_19",2112375,485997,767811,291863,369584,0.338875336487962,0.121275974959703,-0.167381583121595,-0.428702902377773,-0.585802298170593,-0.25134289069453,"A","Y","Y","Y","Y","A","A",1989314,106240,2046504,49050,-5.38273583245011,-4.22685920276569,"A","A"
"scaffold_20",2080048,714672,911400,365914,382330,0.259995577244288,0.319692574817155,0.0627382136489182,0.0787132981533282,-0.276802188011742,0.0259534781021367,"A","Y","Y","Y","Y","A","A",1905727,162048,1991758,76017,-4.71155821466735,-3.55584019856434,"A","A"
"scaffold_21",2065129,786392,879206,492955,510491,-0.221837764579464,-0.149256624951997,-0.22924507536427,-0.200385820541063,-0.0869519032242224,0.0388376909754926,"A","Y","Y","Y","Y","A","A",1955267,96293,2003790,47770,-5.39045315239886,-4.34377664700863,"A","A"
"scaffold_22",1994893,708159,789663,284755,312989,0.414931124780975,0.401551381179247,0.411312617733992,0.354211000692418,-0.0831630849906746,-0.047123289010473,"A","Y","Y","Y","Y","A","A",1774101,191964,1870141,95924,-4.28509714814405,-3.20817375735088,"A","A"
"scaffold_23",1994711,479593,588270,264167,292423,0.0984443214601583,0.0748487890141734,-0.0426777593603199,-0.109995156009547,-0.220666876509243,-0.0573389952181383,"A","Y","Y","Y","Y","A","A",1782121,140258,1837342,85037,-4.43336950078115,-3.66743085150923,"A","A"
"scaffold_24",1928806,747877,829152,348651,372979,0.19326893383024,0.218969013532186,0.197978595712609,0.179956798002183,-0.0748349104953836,-0.00804342478844349,"A","Y","Y","Y","Y","A","A",1709692,209753,1794626,124819,-3.84576299975263,-3.02696706352164,"A","A"
"scaffold_25",1916934,1063110,949678,391440,386085,0.222063190820548,0.364946455004119,0.5383883692295,0.637549775660919,0.236780893783439,0.109139749292756,"A","Y","Y","Y","Y","A","A",1613129,292578,1826249,79458,-4.52252982573438,-2.46296457988515,"A","A"
"scaffold_26",1877544,589363,695414,310718,348613,0.10568243551114,0.0626729278692946,0.0205123360626422,-0.0662190439896861,-0.164714787764214,-0.0767529855569515,"A","Y","Y","Y","Y","A","A",1650480,208182,1734031,124631,-3.79838408095924,-2.98696236101202,"A","A"
"scaffold_27",1871822,709104,857326,386659,403201,0.0921983430332963,0.154771677272622,-0.0281027564455052,-0.0092513198868723,-0.19984583065037,0.0288298444334467,"A","Y","Y","Y","Y","A","A",1745764,115013,1855029,5748,-8.33391577256335,-3.92397798069887,"A","A"
"scaffold_28",1812903,623140,628539,270928,295632,0.157508683988467,0.154626691352423,0.298607560665365,0.252003746411406,0.0615545488203059,-0.0366254739415949,"A","Y","Y","Y","Y","A","A",1530586,257245,1574107,213724,-2.88070694897981,-2.57286450185271,"A","A"
"scaffold_29",1762846,601320,614713,306884,335726,-0.0543637822409641,-0.0609437268103556,0.0674010288835251,0.0170992630714557,0.042220461733349,-0.0403233796646309,"A","Y","Y","Y","Y","A","A",1613688,117234,1697355,33567,-5.66005879129168,-3.78288731088913,"A","A"
"scaffold_30",1716177,669810,630556,404048,447737,-0.41448452937039,-0.43959853201297,-0.173812589980232,-0.242648399357467,0.161127752013323,-0.058857379932345,"A","Y","Y","Y","Y","A","A",1600817,90675,1646657,44835,-5.19873956245808,-4.14194473352481,"A","A"
"scaffold_31",1715383,805709,717624,352121,327636,-0.0294265738832298,0.19756105214953,0.291148582005552,0.474414390442142,0.24103100294143,0.193244169958957,"A","Y","Y","Y","Y","A","A",1530075,175070,1699410,5735,-8.21077406897387,-3.12759128396757,"A","A"
"scaffold_32",1713197,559237,689329,296999,339171,0.158150604452556,0.0896069951993427,0.0099634378421962,-0.102302053894918,-0.227731956465224,-0.102287096923472,"A","Y","Y","Y","Y","A","A",1648759,52966,1687046,14679,-6.84450438829696,-4.96014380137227,"A","A"
"scaffold_33",1685622,592028,598005,269749,313528,0.0919560769798813,-0.00200937522617037,0.231008736929623,0.0933214708625547,0.0595083467330614,-0.127708914984468,"A","Y","Y","Y","Y","A","A",1456500,205220,1567800,93920,-4.06115087121078,-2.82725641926719,"A","A"
"scaffold_34",1677135,806563,823868,492927,540106,-0.315543611839516,-0.324401332372859,-0.192624633063412,-0.245204215076173,0.0433745475804925,-0.0426011504584409,"A","Y","Y","Y","Y","A","A",1653083,12183,1664988,278,-12.5429599034415,-7.08402837860104,"A","A"
"scaffold_35",1661356,727263,749189,424569,468714,-0.237252240070499,-0.256950208165596,-0.126559814871515,-0.189979634276046,0.0311480030846727,-0.0534413966202463,"A","Y","Y","Y","Y","A","A",1630634,15360,1645597,397,-12.013555894358,-6.73001793782758,"A","A"
"scaffold_36",1654184,650735,795689,349181,388864,0.131645706231478,0.0993660893456012,-0.00494316395676486,-0.0809446746121979,-0.216133628468767,-0.0660231085597614,"A","Y","Y","Y","Y","A","A",1523581,115191,1600893,37879,-5.40129764481319,-3.7253547174761,"A","A"
"scaffold_37",1648890,403391,607479,213707,261744,0.450615033086308,0.281104456437758,0.0135063990933097,-0.199726111766421,-0.516654036222865,-0.203254129973719,"A","Y","Y","Y","Y","A","A",1488620,149782,1574129,64273,-4.61417562172403,-3.31303069744721,"A","A"
"scaffold_38",1625795,584248,579512,226639,249772,0.297857678494724,0.280653119510278,0.463144731056054,0.40221836805323,0.085742792635797,-0.0509480697140321,"A","Y","Y","Y","Y","A","A",1321837,289878,1429066,182649,-2.96791989814026,-2.18902264817932,"A","A"
"scaffold_39",1602743,514624,609958,288190,279346,0.0251060155961723,0.19308345869348,-0.0665395694942614,0.0577160150526209,-0.171190286568508,0.134233992815674,"A","Y","Y","Y","Y","A","A",1472891,117728,1564191,26428,-5.88715196145602,-3.64511000237444,"A","A"
"scaffold_40",1584338,761958,630648,333308,342202,-0.136604062790377,-0.0515856955936369,0.289816473868765,0.33111306032218,0.346876588564367,0.0512749443818165,"A","Y","Y","Y","Y","A","A",1482357,83308,1564408,1257,-10.2802701034353,-4.15327774002694,"A","A"
"scaffold_41",1577355,812934,763159,385766,450863,-0.0723256652531507,-0.174277681707252,0.172373541964071,0.0266996891134438,0.165154939362944,-0.135695471479485,"A","Y","Y","Y","Y","A","A",1539940,30407,1570050,297,-12.3632114718337,-5.66228033724084,"A","A"
"scaffold_42",1571520,456998,590814,218428,247841,0.378961153322894,0.319715347158549,0.161991074586112,0.0590233875504112,-0.296515022661438,-0.0929893393471604,"A","Y","Y","Y","Y","A","A",1454084,104408,1528588,29904,-5.67567002578173,-3.79979362398891,"A","A"
"scaffold_43",1553300,404836,495876,219985,237745,0.115990211943063,0.12699125200719,-0.0231057318134891,-0.0558265338200186,-0.218640756987725,-0.0227424108377576,"A","Y","Y","Y","Y","A","A",1379070,115003,1445800,48273,-4.9044788092969,-3.58394078827319,"A","A"
"scaffold_44",1539515,844940,750806,351525,469046,0.0382292481563834,-0.254861281373148,0.362182421057257,0.025370067141082,0.24440900048378,-0.326834001124371,"A","Y","Y","Y","Y","A","A",1513676,16430,1530080,26,-15.7902890960297,-6.52549328841399,"A","A"
"scaffold_45",1519494,432443,657763,210900,232860,0.584422955026383,0.564530373549749,0.132912017388549,0.0692974948634698,-0.531056314899238,-0.0536361710566285,"A","Y","Y","Y","Y","A","A",1351691,159876,1458286,53281,-4.77448263217591,-3.07973214098733,"A","A"
"scaffold_46",1511820,913667,798166,488172,528092,-0.347283448383773,-0.337672379449556,0.00124062694236548,-0.0328701350490712,0.26897989793351,-0.0241323531153661,"A","Y","Y","Y","Y","A","A",1505368,2849,1508192,25,-15.8239499099796,-9.04493953291367,"A","A"
"scaffold_47",1504070,499257,543690,305797,316062,-0.226372687036861,-0.150995432552305,-0.195829181935032,-0.164173745620937,-0.0490009644108124,0.0416338705056343,"A","Y","Y","Y","Y","A","A",1368989,93257,1384302,77944,-4.15055946813909,-3.87574060787617,"A","A"
"scaffold_48",1470363,805031,721511,267569,314781,0.374525650783953,0.26309952437344,0.686093050665212,0.530945104666549,0.232023233849606,-0.145169662007275,"A","Y","Y","Y","Y","A","A",1185038,267961,1357772,95227,-3.83371265856501,-2.14483420939013,"A","A"
"scaffold_49",1467153,408946,498282,297550,325220,-0.312752013578635,-0.31802506667371,-0.444258286928214,-0.493253180900606,-0.211051068802704,-0.0390164038116267,"A","Y","Y","Y","Y","A","A",1350860,100933,1358947,92846,-3.87149114669015,-3.74239509410933,"A","A"
"scaffold_50",1438737,483422,458771,195021,222833,0.177560330267063,0.108238190358257,0.40661356025313,0.29356967620675,0.149509203852285,-0.103065601177332,"A","Y","Y","Y","Y","A","A",1181720,243724,1300870,124574,-3.3843914261287,-2.27756331303879,"A","A"
"scaffold_51",1437107,538705,566062,239862,271025,0.182171218681111,0.128961049304518,0.264251561253025,0.167319577037953,0.00253595447181994,-0.086953648995345,"A","Y","Y","Y","Y","A","A",1241770,182317,1347643,76444,-4.13987348445516,-2.76787023609845,"A","A"
"scaffold_52",1435599,609778,704730,406411,432615,-0.262451640846713,-0.229585121366435,-0.317692745846471,-0.328548095243471,-0.134785747536566,-0.000876897501811961,"A","Y","Y","Y","Y","A","A",1408815,18757,1421688,5884,-7.91634777371633,-6.23083337470297,"A","A"
"scaffold_53",1421213,580339,549306,273081,295556,-0.0483022382053866,-0.0393939614550181,0.184528039846794,0.149714534187699,0.15328615067164,-0.0248351457528596,"A","Y","Y","Y","Y","A","A",1292533,115354,1382538,25349,-5.76919062052001,-3.48604978768912,"A","A"
"scaffold_54",1412569,544005,522417,303262,321955,-0.271945430629109,-0.235229055608425,-0.0599828902219332,-0.0669882912335386,0.132418406269263,0.00297300704435101,"A","Y","Y","Y","Y","A","A",1261562,140861,1280618,121805,-3.39418421456043,-3.16285787658927,"A","A"
"scaffold_55",1407959,485402,550873,268770,277823,-0.0212358091678438,0.05398088472321,-0.0502301411595435,-0.0187352795689936,-0.108538914754592,0.0414732650335,"A","Y","Y","Y","Y","A","A",1307049,81870,1334215,54704,-4.60817573678868,-3.99681800393592,"A","A"
"scaffold_56",1371732,410453,477234,241240,262401,-0.0723555312151118,-0.0706487504597277,-0.136289786050694,-0.178304823169157,-0.143478900461072,-0.0320366161575011,"A","Y","Y","Y","Y","A","A",1226918,131139,1258988,99069,-3.6676736156881,-3.22586030173295,"A","A"
"scaffold_57",1361687,425617,448201,245112,271579,-0.185877967557999,-0.210797861470325,-0.106923157444354,-0.175564823418196,-0.000589508814948349,-0.0586632518675174,"A","Y","Y","Y","Y","A","A",1255437,79422,1306269,28590,-5.51374823529685,-3.98249011643107,"A","A"
"scaffold_58",1360862,563632,569929,250614,341208,0.128731174289254,-0.193441300237827,0.266247272333239,-0.0996470081281595,0.0579718002319447,-0.355915941602947,"A","Y","Y","Y","Y","A","A",1297420,53297,1341440,9277,-7.17575404105692,-4.60542148822152,"A","A"
"scaffold_59",1359663,410108,686404,207444,338411,0.66974991885564,0.0867086093796201,0.0802433102339347,-0.546519974017688,-0.669052251878264,-0.616784921452056,"A","Y","Y","Y","Y","A","A",1329465,25898,1354488,875,-10.5945301869766,-5.68180667737722,"A","A"
"scaffold_60",1353332,469495,617541,261026,313148,0.185757211311816,0.0461174757625013,-0.0561217736235948,-0.239483399607435,-0.321423965690676,-0.173383222025787,"A","Y","Y","Y","Y","A","A",1308971,37985,1346511,445,-11.5598957564758,-5.10682262554571,"A","A"
"scaffold_61",1352747,455439,589277,306834,339466,-0.11509553570037,-0.137893339634211,-0.333237566686846,-0.399757251489922,-0.297686977974254,-0.0565412218532852,"A","Y","Y","Y","Y","A","A",1316476,24374,1332801,8049,-7.37125797215783,-5.7551362873775,"A","A"
"scaffold_62",1348906,349292,446919,266791,310935,-0.31227884084689,-0.410170753654191,-0.514312352664568,-0.655926110031554,-0.281578502199787,-0.131635240496526,"A","Y","Y","Y","Y","A","A",1269200,58738,1300641,27297,-5.57428485122928,-4.43345804807702,"A","A"
"scaffold_63",1338047,482259,659994,270861,370784,0.228315919397526,-0.101698435488172,-0.0707825215520771,-0.444518784285403,-0.378643509174471,-0.363757854867081,"A","Y","Y","Y","Y","A","A",1301083,31111,1331998,196,-12.7231097491722,-5.38609915758085,"A","A"
"scaffold_64",1337888,397123,455361,265967,280555,-0.280818881195399,-0.234844618466506,-0.324698235432491,-0.322445777690111,-0.123423951579919,0.0122309238607399,"A","Y","Y","Y","Y","A","A",1244204,68109,1271810,40503,-4.97267609240297,-4.19121376663364,"A","A"
"scaffold_65",1324386,576715,588314,258942,266242,0.127373381864985,0.210274818914213,0.252190395654858,0.291370019128482,0.0452726839648758,0.0491579676339709,"A","Y","Y","Y","Y","A","A",1140766,175004,1202107,113663,-3.40271921970953,-2.70453610691252,"A","A"
"scaffold_66",1324262,323401,476095,162045,178042,0.498268843106038,0.485456911855536,0.0938908026721147,0.0373569601656935,-0.483923548676813,-0.0465555022954152,"A","Y","Y","Y","Y","A","A",1164710,140156,1185634,119232,-3.31380445234455,-3.05485631781143,"A","A"
"scaffold_67",1313318,396057,664862,400304,317792,-0.324623727526777,0.13139908256701,-0.918423018157812,-0.506122183742851,-0.673344975157741,0.422279410730842,"A","Y","Y","Y","Y","A","A",1308493,2000,1310454,39,-14.9997082879341,-9.35297042645085,"A","A"
"scaffold_68",1306168,334794,443548,243894,254338,-0.193746706265067,-0.131228886723305,-0.446016721307408,-0.427220760040569,-0.331815143479206,0.0287744655633155,"A","Y","Y","Y","Y","A","A",1193917,101089,1213632,81374,-3.89860277117317,-3.56199155815189,"A","A"
"scaffold_69",1296325,612794,505377,262329,305454,-0.110600386051126,-0.2071670340424,0.320985500673962,0.180697122249151,0.352042127029813,-0.13031004467662,"A","Y","Y","Y","Y","A","A",1184727,101334,1279538,6523,-7.61565162361146,-3.54735141445611,"A","A"
"scaffold_70",1292812,618746,635464,341342,358301,-0.159990575964715,-0.10693400183616,-0.0449087829102144,-0.0355740362959318,0.0355374230577261,0.0193131544788088,"A","Y","Y","Y","Y","A","A",1221825,64596,1278918,7503,-7.41304935120909,-4.24142787050094,"A","A"
"scaffold_71",1288280,450498,561301,184570,199672,0.548020554410407,0.557567637338583,0.384312526663226,0.35013774599182,-0.243252874913154,-0.0241965011244756,"A","Y","Y","Y","Y","A","A",1081025,189465,1137988,132502,-3.10238968315813,-2.51239033944745,"A","A"
"scaffold_72",1284286,658233,622949,350465,375872,-0.226739144558345,-0.204699444619245,0.00628969530600224,-0.0153924105281775,0.153484647809745,-0.0117037053557048,"A","Y","Y","Y","Y","A","A",1184171,90323,1238335,36159,-5.09786432880671,-3.71262545891661,"A","A"
"scaffold_73",1283250,350992,418251,223689,228800,-0.153708126664562,-0.0632904179810192,-0.253093198141412,-0.206397294402947,-0.178929804493677,0.0566743560906125,"A","Y","Y","Y","Y","A","A",1202644,66470,1238388,30726,-5.33281383396146,-4.17734197832375,"A","A"
"scaffold_74",1279699,351642,411977,222183,247763,-0.165767376664874,-0.199968733073962,-0.240678130794092,-0.318601282458433,-0.154455423423892,-0.0679447026949277,"A","Y","Y","Y","Y","A","A",1115497,126990,1165557,76930,-3.92131192523239,-3.13488976668982,"A","A"
"scaffold_75",1276505,440107,467018,219273,222516,0.034166295716871,0.135995857728783,0.10208742082308,0.160195199885704,-0.0116232312188271,0.0680861403941739,"A","Y","Y","Y","Y","A","A",1120147,140183,1223252,37078,-5.04397667492106,-2.99829576069427,"A","A"
"scaffold_76",1257193,787971,717388,421668,447971,-0.289936694735622,-0.254223745174432,-0.00100327409510976,-0.0090121460484355,0.209389231324237,0.0019695341450161,"A","Y","Y","Y","Y","A","A",1228904,17875,1246537,242,-12.3246829289537,-6.10320563299834,"A","A"
"scaffold_77",1239985,508864,581978,229958,241750,0.283009582909353,0.333874856362124,0.242870499680491,0.250013930740934,-0.119683691089743,0.0171217664423895,"A","Y","Y","Y","Y","A","A",1069859,163742,1139216,94385,-3.59332588530287,-2.70791688245445,"A","A"
"scaffold_78",1238903,339627,475334,207145,209755,0.141716421958145,0.246662679102644,-0.189727132433547,-0.128502764407577,-0.410988861318145,0.0712028032264291,"A","Y","Y","Y","Y","A","A",1116949,113862,1197166,33645,-5.15304560584018,-3.29419368357336,"A","A"
"scaffold_79",1236716,440692,462677,236105,267829,-0.0860063635898174,-0.144878867247463,-0.00269614532960967,-0.105290426574223,0.00376589724062186,-0.0926158922053973,"A","Y","Y","Y","Y","A","A",1189598,28237,1214739,3096,-8.61556045757885,-5.39669361839965,"A","A"
"scaffold_80",1236135,611038,590553,295573,287081,-0.0580312741324656,0.107035693272724,0.14470887881307,0.266054045113771,0.123195942354876,0.131323537838369,"A","Y","Y","Y","Y","A","A",1141390,87423,1217238,11575,-6.71633182604713,-3.70661989338874,"A","A"
"scaffold_81",1225220,520375,471881,195365,208854,0.215666500699061,0.242354602522656,0.510339154084524,0.493305518110544,0.2151287278652,-0.00705537351569901,"A","Y","Y","Y","Y","A","A",1018481,175426,1175493,18414,-5.99624196768935,-2.53747776783036,"A","A"
"scaffold_82",1220856,336320,387708,169107,179461,0.140449804558443,0.177726578704926,0.0888594149192446,0.0824144123838243,-0.131134994152645,0.00353334284729256,"A","Y","Y","Y","Y","A","A",1071866,125383,1096125,101124,-3.43820203827411,-3.09570073802278,"A","A"
"scaffold_83",1220338,455977,505476,234522,246218,0.0513355860024838,0.104133313041099,0.056199284722387,0.0652752002655733,-0.0746808064753428,0.0190542911339162,"A","Y","Y","Y","Y","A","A",1080777,132406,1113326,99857,-3.47885557275597,-3.02901891233892,"A","A"
"scaffold_84",1218258,429517,396991,167632,187364,0.187224147612911,0.149689122817053,0.454377060446612,0.373120337253345,0.187609070652453,-0.0712784753908379,"A","Y","Y","Y","Y","A","A",1015519,193553,1092205,116867,-3.22429312722564,-2.39141062496214,"A","A"
"scaffold_85",1217065,461309,418677,180951,195491,0.153654251434847,0.165162038948161,0.447093963918235,0.41488004418312,0.213895879976255,-0.022235657072881,"A","Y","Y","Y","Y","A","A",987488,211209,1020703,177994,-2.5196559305921,-2.22508653505703,"A","A"
"scaffold_86",1216973,521338,550523,257373,271095,0.0403584416416477,0.0884313791930402,0.115319606193151,0.119670732214174,-0.0045832279316968,0.0143294947152515,"A","Y","Y","Y","Y","A","A",1097410,103900,1172862,28448,-5.36551275259385,-3.4008224972722,"A","A"
"scaffold_87",1207356,590683,499533,205713,280835,0.223362486145633,-0.102715018658802,0.618710407894393,0.248911169521088,0.315804117044442,-0.359820986626467,"A","Y","Y","Y","Y","A","A",1083126,107883,1168815,22194,-5.71866931364936,-3.3276495899393,"A","A"
"scaffold_88",1206924,352361,371272,177125,197018,0.0111250723425665,-0.0194234660985163,0.0892476409491092,0.0149773733581329,-0.00142167834022692,-0.0642919185653627,"A","Y","Y","Y","Y","A","A",1078891,113488,1135042,57337,-4.30711156044365,-3.24892607919965,"A","A"
"scaffold_89",1205502,382136,395875,196771,219306,-0.048055930532222,-0.0814725771076857,0.0545300216790586,-0.0226083631985421,0.0230417379473991,-0.0671600189612065,"A","Y","Y","Y","Y","A","A",1090735,103977,1140867,53845,-4.40514889244034,-3.39095174060298,"A","A"
"scaffold_90",1197345,361385,496889,234607,234248,0.026093905751069,0.151313622472648,-0.279746388612133,-0.198248557816578,-0.38538550819387,0.0914762893355763,"A","Y","Y","Y","Y","A","A",1126799,58680,1139930,45549,-4.64535163647907,-4.26319420199333,"A","A"
"scaffold_91",1192111,381273,449619,172357,187705,0.326717885002723,0.326661726127318,0.242384912420387,0.198606940334642,-0.163877665167549,-0.0337996676265962,"A","Y","Y","Y","Y","A","A",984334,195560,1043660,136234,-2.93748387706607,-2.33153070570769,"A","A"
"scaffold_92",1188863,252784,589420,148603,263388,0.931244627397962,0.22853295596623,-0.136595396505196,-0.883029202856543,-1.14738730787285,-0.736455389839816,"A","Y","Y","Y","Y","A","A",1166021,18889,1184799,111,-13.368857193006,-5.9478284969912,"A","A"
"scaffold_93",1182508,536160,490882,233842,286274,0.0132586077629548,-0.155592446148122,0.294090110430684,0.0815173067661073,0.201287524430213,-0.202594476464057,"A","Y","Y","Y","Y","A","A",1074109,102213,1163811,12511,-6.53940179884272,-3.393477030508,"A","A"
"scaffold_94",1173942,401131,454970,227256,210019,-0.0551302465300713,0.18167811682266,-0.083282813653717,0.109803748805206,-0.107697128131327,0.203064969508671,"A","Y","Y","Y","Y","A","A",1077942,79892,1132055,25779,-5.45654925255237,-3.75406797853634,"A","A"
"scaffold_95",1160631,380436,497226,223822,219392,0.0949659488112706,0.24681714506947,-0.137735701239075,-0.0296063712503474,-0.312246682087905,0.118107750759026,"A","Y","Y","Y","Y","A","A",1086827,61893,1147642,1078,-10.0547633491068,-4.13418026768284,"A","A"
"scaffold_96",1138600,292226,416932,147106,202906,0.446369875808691,0.105427438832854,0.0871896075214431,-0.297474715201397,-0.438725749965217,-0.374685989168854,"A","Y","Y","Y","Y","A","A",1045072,65557,1099905,10724,-6.68025877568296,-3.99468806780348,"A","A"
"scaffold_97",1135984,425674,399972,215864,246553,-0.166806364128466,-0.235570399888375,0.0765876951526517,-0.0358980466414246,0.163850159950511,-0.102507375582211,"A","Y","Y","Y","Y","A","A",1077267,49404,1119039,7632,-7.19579569959359,-4.44657633813479,"A","A"
"scaffold_98",1127684,627129,556977,296935,338246,-0.149112400806947,-0.214027075916223,0.17557625294662,0.06693980782619,0.24514465794487,-0.0986580782974683,"A","Y","Y","Y","Y","A","A",1072787,45606,1090332,28061,-5.28000717282728,-4.55596592077383,"A","A"
"scaffold_99",1127637,264794,353139,135414,146720,0.326273571571675,0.333595946129911,0.0644547946571904,0.0280553385866258,-0.341364054041071,-0.0264211221779935,"A","Y","Y","Y","Y","A","A",972672,131689,1041281,63080,-4.04501149118482,-2.88480907383202,"A","A"
"scaffold_100",1120582,339612,383856,179642,186057,0.0388567678508971,0.111247315305738,0.0157243902344607,0.0443931715134197,-0.102676903547232,0.0386471525218763,"A","Y","Y","Y","Y","A","A",1008524,83790,1079186,13128,-6.36104403013976,-3.58930774444736,"A","A"
"scaffold_101",1110711,396630,437588,255870,268258,-0.282420139160934,-0.227619739311562,-0.2706543090034,-0.259575692716536,-0.067778632365172,0.0210570700137362,"A","Y","Y","Y","Y","A","A",1026945,52117,1059696,19366,-5.77390750865958,-4.30043478972551,"A","A"
