gene	seq	b.status.final
g10231	scaffold_72	A
g10232	scaffold_72	A
g10233	scaffold_72	A
g10234	scaffold_72	A
g10235	scaffold_72	A
g10236	scaffold_72	A
g10237	scaffold_72	A
g10238	scaffold_72	A
g10239	scaffold_72	A
g1024	scaffold_197	A
g10240	scaffold_72	A
g10241	scaffold_72	A
g10242	scaffold_72	A
g10243	scaffold_72	A
g10244	scaffold_72	A
g10245	scaffold_72	A
g10246	scaffold_72	A
g10247	scaffold_72	A
g10248	scaffold_72	A
g10249	scaffold_1355	A
g1025	scaffold_197	A
g10250	scaffold_150	A
g10251	scaffold_150	A
g10252	scaffold_150	A
g10253	scaffold_150	A
g10254	scaffold_150	A
g10255	scaffold_150	A
g10256	scaffold_150	A
g10257	scaffold_150	A
g10258	scaffold_150	A
g10259	scaffold_150	A
g1026	scaffold_197	A
g10260	scaffold_150	A
g10261	scaffold_150	A
g10262	scaffold_150	A
g10263	scaffold_150	A
g10264	scaffold_150	A
g10265	scaffold_150	A
g10266	scaffold_150	A
g10267	scaffold_150	A
g10268	scaffold_150	A
g10269	scaffold_150	A
g1027	scaffold_197	A
g10270	scaffold_150	A
g10271	scaffold_150	A
g10272	scaffold_150	A
g10273	scaffold_150	A
g10274	scaffold_150	A
g10275	scaffold_150	A
g10276	scaffold_150	A
g10277	scaffold_150	A
g10278	scaffold_150	A
g10279	scaffold_150	A
g1028	scaffold_197	A
g10280	scaffold_150	A
g10281	scaffold_150	A
g10282	scaffold_150	A
g10283	scaffold_150	A
g10284	scaffold_150	A
g10285	scaffold_150	A
g10286	scaffold_150	A
g10287	scaffold_150	A
g10288	scaffold_150	A
g10289	scaffold_689	A
g1029	scaffold_197	A
g10290	scaffold_689	A
g10291	scaffold_689	A
g10292	scaffold_689	A
g10293	scaffold_689	A
g10294	scaffold_1090	A
g10295	scaffold_1090	A
g10296	scaffold_652	A
g10297	scaffold_652	A
g10298	scaffold_652	A
g10299	scaffold_652	A
g103	scaffold_360	B-A
g1030	scaffold_197	A
g10300	scaffold_652	A
g10301	scaffold_652	A
g10302	scaffold_652	A
g10303	scaffold_652	A
g10304	scaffold_652	A
g10305	scaffold_652	A
g10306	scaffold_765	A
g10307	scaffold_765	A
g10308	scaffold_765	A
g10309	scaffold_765	A
g1031	scaffold_197	A
g10310	scaffold_765	A
g10311	scaffold_854	A
g10312	scaffold_854	A
g10313	scaffold_854	A
g10314	scaffold_715	A
g10315	scaffold_715	A
g10316	scaffold_715	A
g10317	scaffold_715	A
g10318	scaffold_715	A
g10319	scaffold_259	A
g1032	scaffold_197	A
g10320	scaffold_259	A
g10321	scaffold_259	A
g10322	scaffold_259	A
g10323	scaffold_259	A
g10324	scaffold_259	A
g10325	scaffold_259	A
g10326	scaffold_259	A
g10327	scaffold_259	A
g10328	scaffold_259	A
g10329	scaffold_259	A
g1033	scaffold_197	A
g10330	scaffold_259	A
g10331	scaffold_259	A
g10332	scaffold_259	A
g10333	scaffold_259	A
g10334	scaffold_259	A
g10335	scaffold_259	A
g10336	scaffold_259	A
g10337	scaffold_259	A
g10338	scaffold_259	A
g10339	scaffold_259	A
g1034	scaffold_197	A
g10340	scaffold_259	A
g10341	scaffold_593	A
g10342	scaffold_593	A
g10343	scaffold_593	A
g10344	scaffold_593	A
g10345	scaffold_593	A
g10346	scaffold_593	A
g10347	scaffold_593	A
g10348	scaffold_1571	A
g10349	scaffold_159	A
g1035	scaffold_197	A
g10350	scaffold_159	A
g10351	scaffold_159	A
g10352	scaffold_159	A
g10353	scaffold_159	A
g10354	scaffold_159	A
g10355	scaffold_159	A
g10356	scaffold_159	A
g10357	scaffold_159	A
g10358	scaffold_159	A
g10359	scaffold_159	A
g1036	scaffold_197	A
g10360	scaffold_159	A
g10361	scaffold_159	A
g10362	scaffold_159	A
g10363	scaffold_159	A
g10364	scaffold_159	A
g10365	scaffold_159	A
g10366	scaffold_159	A
g10367	scaffold_159	A
g10368	scaffold_159	A
g10369	scaffold_159	A
g1037	scaffold_197	A
g10370	scaffold_159	A
g10371	scaffold_159	A
g10372	scaffold_159	A
g10373	scaffold_159	A
g10374	scaffold_159	A
g10375	scaffold_159	A
g10376	scaffold_159	A
g10377	scaffold_159	A
g10378	scaffold_159	A
g10379	scaffold_159	A
g1038	scaffold_197	A
g10380	scaffold_159	A
g10381	scaffold_159	A
g10382	scaffold_159	A
g10383	scaffold_159	A
g10384	scaffold_159	A
g10385	scaffold_159	A
g10386	scaffold_159	A
g10387	scaffold_159	A
g10388	scaffold_159	A
g10389	scaffold_159	A
g1039	scaffold_197	A
g10390	scaffold_159	A
g10391	scaffold_159	A
g10392	scaffold_159	A
g10393	scaffold_159	A
g10394	scaffold_159	A
g10395	scaffold_159	A
g10396	scaffold_159	A
g10397	scaffold_159	A
g10398	scaffold_159	A
g10399	scaffold_159	A
g104	scaffold_360	B-A
g1040	scaffold_197	A
g10400	scaffold_159	A
g10401	scaffold_159	A
g10402	scaffold_159	A
g10403	scaffold_159	A
g10404	scaffold_517	A
g10405	scaffold_517	A
g10406	scaffold_1091	A
g10407	scaffold_1376	A
g10408	scaffold_1376	A
g10409	scaffold_1030	A
g1041	scaffold_197	A
g10410	scaffold_1030	A
g10411	scaffold_509	A
g10412	scaffold_509	A
g10413	scaffold_509	A
g10414	scaffold_509	A
g10415	scaffold_509	A
g10416	scaffold_509	A
g10417	scaffold_509	A
g10418	scaffold_509	A
g10419	scaffold_509	A
g1042	scaffold_197	A
g10420	scaffold_23	A
g10421	scaffold_23	A
g10422	scaffold_23	A
g10423	scaffold_23	A
g10424	scaffold_23	A
g10425	scaffold_23	A
g10426	scaffold_23	A
g10427	scaffold_23	A
g10428	scaffold_23	A
g10429	scaffold_23	A
g1043	scaffold_197	A
g10430	scaffold_23	A
g10431	scaffold_23	A
g10432	scaffold_23	A
g10433	scaffold_23	A
g10434	scaffold_23	A
g10435	scaffold_23	A
g10436	scaffold_23	A
g10437	scaffold_23	A
g10438	scaffold_23	A
g10439	scaffold_23	A
g1044	scaffold_197	A
g10440	scaffold_23	A
g10441	scaffold_23	A
g10442	scaffold_23	A
g10443	scaffold_23	A
g10444	scaffold_23	A
g10445	scaffold_23	A
g10446	scaffold_23	A
g10447	scaffold_23	A
g10448	scaffold_23	A
g10449	scaffold_23	A
g1045	scaffold_197	A
g10450	scaffold_23	A
g10451	scaffold_23	A
g10452	scaffold_23	A
g10453	scaffold_23	A
g10454	scaffold_23	A
g10455	scaffold_23	A
g10456	scaffold_23	A
g10457	scaffold_23	A
g10458	scaffold_23	A
g10459	scaffold_23	A
g1046	scaffold_197	A
g10460	scaffold_23	A
g10461	scaffold_23	A
g10462	scaffold_23	A
g10463	scaffold_23	A
g10464	scaffold_23	A
g10465	scaffold_23	A
g10466	scaffold_23	A
g10467	scaffold_23	A
g10468	scaffold_23	A
g10469	scaffold_23	A
g1047	scaffold_197	A
g10470	scaffold_23	A
g10471	scaffold_23	A
g10472	scaffold_23	A
g10473	scaffold_23	A
g10474	scaffold_23	A
g10475	scaffold_23	A
g10476	scaffold_23	A
g10477	scaffold_23	A
g10478	scaffold_23	A
g10479	scaffold_23	A
g1048	scaffold_197	A
g10480	scaffold_23	A
g10481	scaffold_23	A
g10482	scaffold_23	A
g10483	scaffold_23	A
g10484	scaffold_23	A
g10485	scaffold_23	A
g10486	scaffold_23	A
g10487	scaffold_23	A
g10488	scaffold_23	A
g10489	scaffold_23	A
g1049	scaffold_197	A
g10490	scaffold_23	A
g10491	scaffold_23	A
g10492	scaffold_23	A
g10493	scaffold_23	A
g10494	scaffold_23	A
g10495	scaffold_23	A
g10496	scaffold_23	A
g10497	scaffold_23	A
g10498	scaffold_825	A
g10499	scaffold_825	A
g105	scaffold_360	B-A
g1050	scaffold_197	A
g10500	scaffold_825	A
g10501	scaffold_825	A
g10502	scaffold_1343	A
g10503	scaffold_1343	A
g10504	scaffold_1343	A
g10505	scaffold_1343	A
g10506	scaffold_1343	A
g10507	scaffold_780	A
g10508	scaffold_934	A
g10509	scaffold_934	A
g1051	scaffold_197	A
g10510	scaffold_1206	A
g10511	scaffold_103	A
g10512	scaffold_103	A
g10513	scaffold_103	A
g10514	scaffold_103	A
g10515	scaffold_103	A
g10516	scaffold_103	A
g10517	scaffold_103	A
g10518	scaffold_103	A
g10519	scaffold_103	A
g1052	scaffold_197	A
g10520	scaffold_103	A
g10521	scaffold_103	A
g10522	scaffold_103	A
g10523	scaffold_103	A
g10524	scaffold_103	A
g10525	scaffold_103	A
g10526	scaffold_103	A
g10527	scaffold_103	A
g10528	scaffold_103	A
g10529	scaffold_103	A
g1053	scaffold_197	A
g10530	scaffold_103	A
g10531	scaffold_103	A
g10532	scaffold_103	A
g10533	scaffold_103	A
g10534	scaffold_103	A
g10535	scaffold_103	A
g10536	scaffold_103	A
g10537	scaffold_103	A
g10538	scaffold_103	A
g10539	scaffold_103	A
g1054	scaffold_197	A
g10540	scaffold_103	A
g10541	scaffold_103	A
g10542	scaffold_103	A
g10543	scaffold_103	A
g10544	scaffold_103	A
g10545	scaffold_103	A
g10546	scaffold_103	A
g10547	scaffold_103	A
g10548	scaffold_103	A
g10549	scaffold_103	A
g1055	scaffold_197	A
g10550	scaffold_103	A
g10551	scaffold_103	A
g10552	scaffold_103	A
g10553	scaffold_103	A
g10554	scaffold_103	A
g10555	scaffold_103	A
g10556	scaffold_103	A
g10557	scaffold_103	A
g10558	scaffold_637	A
g10559	scaffold_637	A
g1056	scaffold_197	A
g10560	scaffold_637	A
g10561	scaffold_637	A
g10562	scaffold_637	A
g10563	scaffold_637	A
g10564	scaffold_637	A
g10565	scaffold_637	A
g10566	scaffold_637	A
g10567	scaffold_637	A
g10568	scaffold_637	A
g10569	scaffold_637	A
g1057	scaffold_197	A
g10570	scaffold_637	A
g10571	scaffold_637	A
g10572	scaffold_637	A
g10573	scaffold_637	A
g10574	scaffold_32	A
g10575	scaffold_32	A
g10576	scaffold_32	A
g10577	scaffold_32	A
g10578	scaffold_32	A
g10579	scaffold_32	A
g1058	scaffold_197	A
g10580	scaffold_32	A
g10581	scaffold_32	A
g10582	scaffold_32	A
g10583	scaffold_32	A
g10584	scaffold_32	A
g10585	scaffold_32	A
g10586	scaffold_32	A
g10587	scaffold_32	A
g10588	scaffold_32	A
g10589	scaffold_32	A
g1059	scaffold_197	A
g10590	scaffold_32	A
g10591	scaffold_32	A
g10592	scaffold_32	A
g10593	scaffold_32	A
g10594	scaffold_32	A
g10595	scaffold_32	A
g10596	scaffold_32	A
g10597	scaffold_32	A
g10598	scaffold_32	A
g10599	scaffold_32	A
g106	scaffold_360	B-A
g1060	scaffold_197	A
g10600	scaffold_32	A
g10601	scaffold_32	A
g10602	scaffold_32	A
g10603	scaffold_32	A
g10604	scaffold_32	A
g10605	scaffold_32	A
g10606	scaffold_32	A
g10607	scaffold_32	A
g10608	scaffold_32	A
g10609	scaffold_32	A
g1061	scaffold_197	A
g10610	scaffold_32	A
g10611	scaffold_32	A
g10612	scaffold_32	A
g10613	scaffold_32	A
g10614	scaffold_32	A
g10615	scaffold_32	A
g10616	scaffold_32	A
g10617	scaffold_32	A
g10618	scaffold_32	A
g10619	scaffold_32	A
g1062	scaffold_197	A
g10620	scaffold_32	A
g10621	scaffold_32	A
g10622	scaffold_32	A
g10623	scaffold_32	A
g10624	scaffold_32	A
g10625	scaffold_32	A
g10626	scaffold_32	A
g10627	scaffold_32	A
g10628	scaffold_32	A
g10629	scaffold_32	A
g1063	scaffold_197	A
g10630	scaffold_32	A
g10631	scaffold_32	A
g10632	scaffold_32	A
g10633	scaffold_32	A
g10634	scaffold_32	A
g10635	scaffold_32	A
g10636	scaffold_32	A
g10637	scaffold_32	A
g10638	scaffold_32	A
g10639	scaffold_32	A
g1064	scaffold_197	A
g10640	scaffold_32	A
g10641	scaffold_32	A
g10642	scaffold_32	A
g10643	scaffold_32	A
g10644	scaffold_32	A
g10645	scaffold_32	A
g10646	scaffold_32	A
g10647	scaffold_32	A
g10648	scaffold_32	A
g10649	scaffold_32	A
g1065	scaffold_197	A
g10650	scaffold_32	A
g10651	scaffold_32	A
g10652	scaffold_32	A
g10653	scaffold_32	A
g10654	scaffold_32	A
g10655	scaffold_32	A
g10656	scaffold_32	A
g10657	scaffold_32	A
g10658	scaffold_32	A
g10659	scaffold_32	A
g1066	scaffold_197	A
g10660	scaffold_32	A
g10661	scaffold_32	A
g10662	scaffold_32	A
g10663	scaffold_32	A
g10664	scaffold_32	A
g10665	scaffold_32	A
g10666	scaffold_32	A
g10667	scaffold_32	A
g10668	scaffold_32	A
g10669	scaffold_32	A
g1067	scaffold_197	A
g10670	scaffold_32	A
g10671	scaffold_32	A
g10672	scaffold_32	A
g10673	scaffold_32	A
g10674	scaffold_32	A
g10675	scaffold_32	A
g10676	scaffold_32	A
g10677	scaffold_32	A
g10678	scaffold_32	A
g10679	scaffold_32	A
g1068	scaffold_197	A
g10680	scaffold_32	A
g10681	scaffold_32	A
g10682	scaffold_32	A
g10683	scaffold_32	A
g10684	scaffold_32	A
g10685	scaffold_32	A
g10686	scaffold_32	A
g10687	scaffold_32	A
g10688	scaffold_32	A
g10689	scaffold_32	A
g1069	scaffold_197	A
g10690	scaffold_32	A
g10691	scaffold_32	A
g10692	scaffold_32	A
g10693	scaffold_32	A
g10694	scaffold_32	A
g10695	scaffold_32	A
g10696	scaffold_32	A
g10697	scaffold_32	A
g10698	scaffold_32	A
g10699	scaffold_32	A
g107	scaffold_360	B-A
g1070	scaffold_197	A
g10700	scaffold_32	A
g10701	scaffold_32	A
g10702	scaffold_32	A
g10703	scaffold_32	A
g10704	scaffold_32	A
g10705	scaffold_32	A
g10706	scaffold_32	A
g10707	scaffold_32	A
g10708	scaffold_32	A
g10709	scaffold_32	A
g1071	scaffold_197	A
g10710	scaffold_32	A
g10711	scaffold_32	A
g10712	scaffold_32	A
g10713	scaffold_32	A
g10714	scaffold_32	A
g10715	scaffold_32	A
g10716	scaffold_32	A
g10717	scaffold_32	A
g10718	scaffold_32	A
g10719	scaffold_32	A
g1072	scaffold_197	A
g10720	scaffold_32	A
g10721	scaffold_534	A
g10722	scaffold_534	A
g10723	scaffold_534	A
g10724	scaffold_534	A
g10725	scaffold_518	A
g10726	scaffold_518	A
g10727	scaffold_518	A
g10728	scaffold_518	A
g10729	scaffold_518	A
g1073	scaffold_197	A
g10730	scaffold_518	A
g10731	scaffold_518	A
g10732	scaffold_518	A
g10733	scaffold_518	A
g10734	scaffold_518	A
g10735	scaffold_518	A
g10736	scaffold_518	A
g10737	scaffold_412	A
g10738	scaffold_412	A
g10739	scaffold_412	A
g1074	scaffold_197	A
g10740	scaffold_412	A
g10741	scaffold_412	A
g10742	scaffold_412	A
g10743	scaffold_412	A
g10744	scaffold_412	A
g10745	scaffold_412	A
g10746	scaffold_412	A
g10747	scaffold_412	A
g10748	scaffold_412	A
g10749	scaffold_412	A
g1075	scaffold_197	A
g10750	scaffold_412	A
g10751	scaffold_412	A
g10752	scaffold_412	A
g10753	scaffold_412	A
g10754	scaffold_412	A
g10755	scaffold_412	A
g10756	scaffold_412	A
g10757	scaffold_412	A
g10758	scaffold_412	A
g10759	scaffold_412	A
g1076	scaffold_197	A
g10760	scaffold_412	A
g10761	scaffold_412	A
g10762	scaffold_412	A
g10763	scaffold_669	A
g10764	scaffold_669	A
g10765	scaffold_669	A
g10766	scaffold_1847	A
g10767	scaffold_1847	A
g10768	scaffold_870	A
g10769	scaffold_270	A
g1077	scaffold_197	A
g10770	scaffold_270	A
g10771	scaffold_270	A
g10772	scaffold_270	A
g10773	scaffold_270	A
g10774	scaffold_270	A
g10775	scaffold_270	A
g10776	scaffold_270	A
g10777	scaffold_270	A
g10778	scaffold_270	A
g10779	scaffold_270	A
g1078	scaffold_197	A
g10780	scaffold_270	A
g10781	scaffold_270	A
g10782	scaffold_270	A
g10783	scaffold_270	A
g10784	scaffold_270	A
g10785	scaffold_270	A
g10786	scaffold_270	A
g10787	scaffold_270	A
g10788	scaffold_270	A
g10789	scaffold_270	A
g1079	scaffold_197	A
g10790	scaffold_270	A
g10791	scaffold_270	A
g10792	scaffold_270	A
g10793	scaffold_270	A
g10794	scaffold_270	A
g10795	scaffold_270	A
g10796	scaffold_270	A
g10797	scaffold_270	A
g10798	scaffold_270	A
g10799	scaffold_270	A
g108	scaffold_360	B-A
g1080	scaffold_197	A
g10800	scaffold_270	A
g10801	scaffold_464	A
g10802	scaffold_464	A
g10803	scaffold_464	A
g10804	scaffold_464	A
g10805	scaffold_464	A
g10806	scaffold_464	A
g10807	scaffold_464	A
g10808	scaffold_464	A
g10809	scaffold_464	A
g1081	scaffold_197	A
g10810	scaffold_464	A
g10811	scaffold_464	A
g10812	scaffold_464	A
g10813	scaffold_464	A
g10814	scaffold_464	A
g10815	scaffold_464	A
g10816	scaffold_464	A
g10817	scaffold_464	A
g10818	scaffold_1123	A
g10819	scaffold_830	A
g1082	scaffold_414	A
g10820	scaffold_830	A
g10821	scaffold_830	A
g10822	scaffold_830	A
g10823	scaffold_830	A
g10824	scaffold_830	A
g10825	scaffold_776	A
g10826	scaffold_776	A
g10827	scaffold_776	A
g10828	scaffold_776	A
g10829	scaffold_776	A
g1083	scaffold_414	A
g10830	scaffold_776	A
g10831	scaffold_776	A
g10832	scaffold_776	A
g10833	scaffold_776	A
g10834	scaffold_776	A
g10835	scaffold_776	A
g10836	scaffold_691	A
g10837	scaffold_691	A
g10838	scaffold_691	A
g10839	scaffold_691	A
g1084	scaffold_414	A
g10840	scaffold_691	A
g10841	scaffold_691	A
g10842	scaffold_519	A
g10843	scaffold_519	A
g10844	scaffold_519	A
g10845	scaffold_519	A
g10846	scaffold_519	A
g10847	scaffold_519	A
g10848	scaffold_519	A
g10849	scaffold_519	A
g1085	scaffold_414	A
g10850	scaffold_519	A
g10851	scaffold_519	A
g10852	scaffold_519	A
g10853	scaffold_519	A
g10854	scaffold_519	A
g10855	scaffold_519	A
g10856	scaffold_519	A
g10857	scaffold_519	A
g10858	scaffold_519	A
g10859	scaffold_519	A
g1086	scaffold_414	A
g10860	scaffold_519	A
g10861	scaffold_519	A
g10862	scaffold_643	A
g10863	scaffold_643	A
g10864	scaffold_643	A
g10865	scaffold_643	A
g10866	scaffold_643	A
g10867	scaffold_643	A
g10868	scaffold_643	A
g10869	scaffold_643	A
g1087	scaffold_414	A
g10870	scaffold_643	A
g10871	scaffold_1	A
g10872	scaffold_1	A
g10873	scaffold_1	A
g10874	scaffold_1	A
g10875	scaffold_1	A
g10876	scaffold_1	A
g10877	scaffold_1	A
g10878	scaffold_1	A
g10879	scaffold_1	A
g1088	scaffold_414	A
g10880	scaffold_1	A
g10881	scaffold_1	A
g10882	scaffold_1	A
g10883	scaffold_1	A
g10884	scaffold_1	A
g10885	scaffold_1	A
g10886	scaffold_1	A
g10887	scaffold_1	A
g10888	scaffold_1	A
g10889	scaffold_1	A
g1089	scaffold_400	A
g10890	scaffold_1	A
g10891	scaffold_1	A
g10892	scaffold_1	A
g10893	scaffold_1	A
g10894	scaffold_1	A
g10895	scaffold_1	A
g10896	scaffold_1	A
g10897	scaffold_1	A
g10898	scaffold_1	A
g10899	scaffold_1	A
g109	scaffold_360	B-A
g1090	scaffold_400	A
g10900	scaffold_1	A
g10901	scaffold_1	A
g10902	scaffold_1	A
g10903	scaffold_1	A
g10904	scaffold_1	A
g10905	scaffold_1	A
g10906	scaffold_1	A
g10907	scaffold_1	A
g10908	scaffold_1	A
g10909	scaffold_1	A
g1091	scaffold_400	A
g10910	scaffold_1	A
g10911	scaffold_1	A
g10912	scaffold_1	A
g10913	scaffold_1	A
g10914	scaffold_1	A
g10915	scaffold_1	A
g10916	scaffold_1	A
g10917	scaffold_1	A
g10918	scaffold_1	A
g10919	scaffold_1	A
g1092	scaffold_400	A
g10920	scaffold_1	A
g10921	scaffold_1	A
g10922	scaffold_1	A
g10923	scaffold_1	A
g10924	scaffold_1	A
g10925	scaffold_1	A
g10926	scaffold_1	A
g10927	scaffold_1	A
g10928	scaffold_1	A
g10929	scaffold_1	A
g1093	scaffold_400	A
g10930	scaffold_1	A
g10931	scaffold_1	A
g10932	scaffold_1	A
g10933	scaffold_1	A
g10934	scaffold_1	A
g10935	scaffold_1	A
g10936	scaffold_1	A
g10937	scaffold_1	A
g10938	scaffold_1	A
g10939	scaffold_1	A
g1094	scaffold_884	A
g10940	scaffold_1	A
g10941	scaffold_1	A
g10942	scaffold_1	A
g10943	scaffold_1	A
g10944	scaffold_1	A
g10945	scaffold_1	A
g10946	scaffold_1	A
g10947	scaffold_1	A
g10948	scaffold_1	A
g10949	scaffold_1	A
g1095	scaffold_884	A
g10950	scaffold_1	A
g10951	scaffold_1	A
g10952	scaffold_1	A
g10953	scaffold_1	A
g10954	scaffold_1	A
g10955	scaffold_1	A
g10956	scaffold_1	A
g10957	scaffold_1	A
g10958	scaffold_1	A
g10959	scaffold_1	A
g1096	scaffold_389	A
g10960	scaffold_1	A
g10961	scaffold_1	A
g10962	scaffold_1	A
