gene,seq,b.status.final,transcripts
g11011,scaffold_1,A,g11011.t1
g10903,scaffold_1,A,g10903.t1
g10978,scaffold_1,A,g10978.t1
g11050,scaffold_1,A,g11050.t1
g10871,scaffold_1,A,g10871.t1
g11052,scaffold_1,A,g11052.t1
g11053,scaffold_1,A,g11053.t1
g11054,scaffold_1,A,g11054.t1
g10946,scaffold_1,A,g10946.t1
g11055,scaffold_1,A,g11055.t1
g10911,scaffold_1,A,g10911.t1
g10949,scaffold_1,A,g10949.t1
g11022,scaffold_1,A,g11022.t1
g10986,scaffold_1,A,g10986.t1
g11059,scaffold_1,A,g11059.t1
g11059,scaffold_1,A,g11059.t2
g10952,scaffold_1,A,g10952.t1
g11027,scaffold_1,A,g11027.t1
g10955,scaffold_1,A,g10955.t1
g11064,scaffold_1,A,g11064.t1
g10956,scaffold_1,A,g10956.t1
g10994,scaffold_1,A,g10994.t1
g10959,scaffold_1,A,g10959.t1
g10888,scaffold_1,A,g10888.t1
g10961,scaffold_1,A,g10961.t1
g11032,scaffold_1,A,g11032.t1
g11070,scaffold_1,A,g11070.t1
g10962,scaffold_1,A,g10962.t1
g10890,scaffold_1,A,g10890.t1
g10963,scaffold_1,A,g10963.t1
g11074,scaffold_1,A,g11074.t1
g11074,scaffold_1,A,g11074.t2
g11074,scaffold_1,A,g11074.t3
g11073,scaffold_1,A,g11073.t1
g10943,scaffold_1,A,g10943.t1
g10968,scaffold_1,A,g10968.t1
g11077,scaffold_1,A,g11077.t1
g10970,scaffold_1,A,g10970.t1
g10898,scaffold_1,A,g10898.t1
g10935,scaffold_1,A,g10935.t1
g10973,scaffold_1,A,g10973.t1
g11082,scaffold_1,A,g11082.t1
g11045,scaffold_1,A,g11045.t1
g10974,scaffold_1,A,g10974.t1
g11048,scaffold_1,A,g11048.t1
g10977,scaffold_1,A,g10977.t1
g10976,scaffold_1,A,g10976.t1
g10880,scaffold_1,A,g10880.t1
g10980,scaffold_1,A,g10980.t1
g10981,scaffold_1,A,g10981.t1
g10908,scaffold_1,A,g10908.t1
g10872,scaffold_1,A,g10872.t1
g10872,scaffold_1,A,g10872.t2
g11018,scaffold_1,A,g11018.t1
g10874,scaffold_1,A,g10874.t1
g10984,scaffold_1,A,g10984.t1
g10877,scaffold_1,A,g10877.t1
g10913,scaffold_1,A,g10913.t1
g10950,scaffold_1,A,g10950.t1
g11023,scaffold_1,A,g11023.t1
g10954,scaffold_1,A,g10954.t1
g10891,scaffold_1,A,g10891.t1
g10891,scaffold_1,A,g10891.t2
g10891,scaffold_1,A,g10891.t3
g10891,scaffold_1,A,g10891.t4
g10891,scaffold_1,A,g10891.t5
g10882,scaffold_1,A,g10882.t1
g10919,scaffold_1,A,g10919.t1
g10991,scaffold_1,A,g10991.t1
g10920,scaffold_1,A,g10920.t1
g10958,scaffold_1,A,g10958.t1
g10995,scaffold_1,A,g10995.t1
g10886,scaffold_1,A,g10886.t1
g10924,scaffold_1,A,g10924.t1
g10889,scaffold_1,A,g10889.t1
g11072,scaffold_1,A,g11072.t1
g11036,scaffold_1,A,g11036.t1
g10892,scaffold_1,A,g10892.t1
g11047,scaffold_1,A,g11047.t1
g10941,scaffold_1,A,g10941.t1
g10967,scaffold_1,A,g10967.t1
g10897,scaffold_1,A,g10897.t1
g11003,scaffold_1,A,g11003.t1
g10931,scaffold_1,A,g10931.t1
g11080,scaffold_1,A,g11080.t1
g11007,scaffold_1,A,g11007.t1
g11009,scaffold_1,A,g11009.t1
g10972,scaffold_1,A,g10972.t1
g10972,scaffold_1,A,g10972.t2
g10901,scaffold_1,A,g10901.t1
g10901,scaffold_1,A,g10901.t2
g10902,scaffold_1,A,g10902.t1
g11034,scaffold_1,A,g11034.t1
g10989,scaffold_1,A,g10989.t1
g10917,scaffold_1,A,g10917.t1
g10906,scaffold_1,A,g10906.t1
g10907,scaffold_1,A,g10907.t1
g10944,scaffold_1,A,g10944.t1
g10942,scaffold_1,A,g10942.t1
g10905,scaffold_1,A,g10905.t1
g11019,scaffold_1,A,g11019.t1
g11067,scaffold_1,A,g11067.t1
g10910,scaffold_1,A,g10910.t1
g10947,scaffold_1,A,g10947.t1
g10876,scaffold_1,A,g10876.t1
g10938,scaffold_1,A,g10938.t1
g10938,scaffold_1,A,g10938.t2
g10938,scaffold_1,A,g10938.t3
g10928,scaffold_1,A,g10928.t1
g10927,scaffold_1,A,g10927.t1
g10915,scaffold_1,A,g10915.t1
g11062,scaffold_1,A,g11062.t1
g11063,scaffold_1,A,g11063.t1
g11040,scaffold_1,A,g11040.t1
g11015,scaffold_1,A,g11015.t1
g10997,scaffold_1,A,g10997.t1
g11043,scaffold_1,A,g11043.t1
g10960,scaffold_1,A,g10960.t1
g10925,scaffold_1,A,g10925.t1
g11030,scaffold_1,A,g11030.t1
g11020,scaffold_1,A,g11020.t1
g10921,scaffold_1,A,g10921.t1
g10914,scaffold_1,A,g10914.t1
g11046,scaffold_1,A,g11046.t1
g11013,scaffold_1,A,g11013.t1
g11076,scaffold_1,A,g11076.t1
g11026,scaffold_1,A,g11026.t1
g11075,scaffold_1,A,g11075.t1
g10971,scaffold_1,A,g10971.t1
g10909,scaffold_1,A,g10909.t1
g11041,scaffold_1,A,g11041.t1
g11057,scaffold_1,A,g11057.t1
g11031,scaffold_1,A,g11031.t1
g10922,scaffold_1,A,g10922.t1
g11051,scaffold_1,A,g11051.t1
g11071,scaffold_1,A,g11071.t1
g11061,scaffold_1,A,g11061.t1
g10916,scaffold_1,A,g10916.t1
g11068,scaffold_1,A,g11068.t1
g10904,scaffold_1,A,g10904.t1
g10923,scaffold_1,A,g10923.t1
g10899,scaffold_1,A,g10899.t1
g11025,scaffold_1,A,g11025.t1
g11079,scaffold_1,A,g11079.t1
g11014,scaffold_1,A,g11014.t1
g10926,scaffold_1,A,g10926.t1
g11035,scaffold_1,A,g11035.t1
g10990,scaffold_1,A,g10990.t1
g11081,scaffold_1,A,g11081.t1
g11004,scaffold_1,A,g11004.t1
g11066,scaffold_1,A,g11066.t1
g3476,scaffold_10,A,g3476.t1
g3456,scaffold_10,A,g3456.t1
g3475,scaffold_10,A,g3475.t1
g3439,scaffold_10,A,g3439.t1
g3502,scaffold_10,A,g3502.t1
g3457,scaffold_10,A,g3457.t1
g3465,scaffold_10,A,g3465.t1
g3441,scaffold_10,A,g3441.t1
g3482,scaffold_10,A,g3482.t1
g3492,scaffold_10,A,g3492.t1
g3469,scaffold_10,A,g3469.t1
g3446,scaffold_10,A,g3446.t1
g3446,scaffold_10,A,g3446.t2
g3474,scaffold_10,A,g3474.t1
g3474,scaffold_10,A,g3474.t2
g3499,scaffold_10,A,g3499.t1
g3511,scaffold_10,A,g3511.t1
g3497,scaffold_10,A,g3497.t1
g3537,scaffold_10,A,g3537.t1
g3514,scaffold_10,A,g3514.t1
g3455,scaffold_10,A,g3455.t1
g3512,scaffold_10,A,g3512.t1
g3493,scaffold_10,A,g3493.t1
g3494,scaffold_10,A,g3494.t1
g3483,scaffold_10,A,g3483.t1
g3528,scaffold_10,A,g3528.t1
g3472,scaffold_10,A,g3472.t1
g3473,scaffold_10,A,g3473.t1
g3546,scaffold_10,A,g3546.t1
g3463,scaffold_10,A,g3463.t1
g3452,scaffold_10,A,g3452.t1
g3549,scaffold_10,A,g3549.t1
g3549,scaffold_10,A,g3549.t2
g3466,scaffold_10,A,g3466.t1
g3539,scaffold_10,A,g3539.t1
g3443,scaffold_10,A,g3443.t1
g3504,scaffold_10,A,g3504.t1
g3504,scaffold_10,A,g3504.t2
g3505,scaffold_10,A,g3505.t1
g3554,scaffold_10,A,g3554.t1
g3448,scaffold_10,A,g3448.t1
g3484,scaffold_10,A,g3484.t1
g3485,scaffold_10,A,g3485.t1
g3449,scaffold_10,A,g3449.t1
g3510,scaffold_10,A,g3510.t1
g3548,scaffold_10,A,g3548.t1
g3489,scaffold_10,A,g3489.t1
g3478,scaffold_10,A,g3478.t1
g3550,scaffold_10,A,g3550.t1
g3527,scaffold_10,A,g3527.t1
g3564,scaffold_10,A,g3564.t1
g3445,scaffold_10,A,g3445.t1
g3566,scaffold_10,A,g3566.t1
g3555,scaffold_10,A,g3555.t1
g3496,scaffold_10,A,g3496.t1
g3532,scaffold_10,A,g3532.t1
g3533,scaffold_10,A,g3533.t1
g3461,scaffold_10,A,g3461.t1
g3462,scaffold_10,A,g3462.t1
g3464,scaffold_10,A,g3464.t1
g3573,scaffold_10,A,g3573.t1
g3501,scaffold_10,A,g3501.t1
g3501,scaffold_10,A,g3501.t2
g3501,scaffold_10,A,g3501.t3
g3575,scaffold_10,A,g3575.t1
g3576,scaffold_10,A,g3576.t1
g3565,scaffold_10,A,g3565.t1
g3578,scaffold_10,A,g3578.t1
g3530,scaffold_10,A,g3530.t1
g3507,scaffold_10,A,g3507.t1
g3508,scaffold_10,A,g3508.t1
g3545,scaffold_10,A,g3545.t1
g3582,scaffold_10,A,g3582.t1
g3583,scaffold_10,A,g3583.t1
g3584,scaffold_10,A,g3584.t1
g3585,scaffold_10,A,g3585.t1
g3440,scaffold_10,A,g3440.t1
g3477,scaffold_10,A,g3477.t1
g3479,scaffold_10,A,g3479.t1
g3540,scaffold_10,A,g3540.t1
g3553,scaffold_10,A,g3553.t1
g3481,scaffold_10,A,g3481.t1
g3518,scaffold_10,A,g3518.t1
g3556,scaffold_10,A,g3556.t1
g3556,scaffold_10,A,g3556.t2
g3557,scaffold_10,A,g3557.t1
g3557,scaffold_10,A,g3557.t2
g3520,scaffold_10,A,g3520.t1
g3559,scaffold_10,A,g3559.t1
g3450,scaffold_10,A,g3450.t1
g3523,scaffold_10,A,g3523.t1
g3561,scaffold_10,A,g3561.t1
g3453,scaffold_10,A,g3453.t1
g3454,scaffold_10,A,g3454.t1
g3491,scaffold_10,A,g3491.t1
g3418,scaffold_10,A,g3418.t1
g3529,scaffold_10,A,g3529.t1
g3458,scaffold_10,A,g3458.t1
g3459,scaffold_10,A,g3459.t1
g3421,scaffold_10,A,g3421.t1
g3422,scaffold_10,A,g3422.t1
g3498,scaffold_10,A,g3498.t1
g3534,scaffold_10,A,g3534.t1
g3534,scaffold_10,A,g3534.t2
g3534,scaffold_10,A,g3534.t3
g3536,scaffold_10,A,g3536.t1
g3426,scaffold_10,A,g3426.t1
g3574,scaffold_10,A,g3574.t1
g3538,scaffold_10,A,g3538.t1
g3429,scaffold_10,A,g3429.t1
g3468,scaffold_10,A,g3468.t1
g3503,scaffold_10,A,g3503.t1
g3541,scaffold_10,A,g3541.t1
g3541,scaffold_10,A,g3541.t2
g3543,scaffold_10,A,g3543.t1
g3433,scaffold_10,A,g3433.t1
g3581,scaffold_10,A,g3581.t1
g3509,scaffold_10,A,g3509.t1
g3436,scaffold_10,A,g3436.t1
g3437,scaffold_10,A,g3437.t1
g3438,scaffold_10,A,g3438.t1
g3488,scaffold_10,A,g3488.t1
g3513,scaffold_10,A,g3513.t1
g3526,scaffold_10,A,g3526.t1
g3552,scaffold_10,A,g3552.t1
g3552,scaffold_10,A,g3552.t2
g3516,scaffold_10,A,g3516.t1
g3517,scaffold_10,A,g3517.t1
g3444,scaffold_10,A,g3444.t1
g3420,scaffold_10,A,g3420.t1
g3519,scaffold_10,A,g3519.t1
g3569,scaffold_10,A,g3569.t1
g3521,scaffold_10,A,g3521.t1
g3487,scaffold_10,A,g3487.t1
g3522,scaffold_10,A,g3522.t1
g3571,scaffold_10,A,g3571.t1
g3525,scaffold_10,A,g3525.t1
g3500,scaffold_10,A,g3500.t1
g3417,scaffold_10,A,g3417.t1
g3416,scaffold_10,A,g3416.t1
g3430,scaffold_10,A,g3430.t1
g3577,scaffold_10,A,g3577.t1
g3542,scaffold_10,A,g3542.t1
g3542,scaffold_10,A,g3542.t2
g3568,scaffold_10,A,g3568.t1
g3434,scaffold_10,A,g3434.t1
g3423,scaffold_10,A,g3423.t1
g3570,scaffold_10,A,g3570.t1
g3572,scaffold_10,A,g3572.t1
g3460,scaffold_10,A,g3460.t1
g3427,scaffold_10,A,g3427.t1
g3547,scaffold_10,A,g3547.t1
g3428,scaffold_10,A,g3428.t1
g3442,scaffold_10,A,g3442.t1
g3551,scaffold_10,A,g3551.t1
g3467,scaffold_10,A,g3467.t1
g3480,scaffold_10,A,g3480.t1
g3470,scaffold_10,A,g3470.t1
g3506,scaffold_10,A,g3506.t1
g3435,scaffold_10,A,g3435.t1
g3435,scaffold_10,A,g3435.t2
g3435,scaffold_10,A,g3435.t3
g3544,scaffold_10,A,g3544.t1
g3447,scaffold_10,A,g3447.t1
g3486,scaffold_10,A,g3486.t1
g3535,scaffold_10,A,g3535.t1
g3451,scaffold_10,A,g3451.t1
g3562,scaffold_10,A,g3562.t1
g3563,scaffold_10,A,g3563.t1
g3490,scaffold_10,A,g3490.t1
g3567,scaffold_10,A,g3567.t1
g3558,scaffold_10,A,g3558.t1
g3419,scaffold_10,A,g3419.t1
g3531,scaffold_10,A,g3531.t1
g3560,scaffold_10,A,g3560.t1
g3425,scaffold_10,A,g3425.t1
g3495,scaffold_10,A,g3495.t1
g3524,scaffold_10,A,g3524.t1
g3515,scaffold_10,A,g3515.t1
g3431,scaffold_10,A,g3431.t1
g3586,scaffold_10,A,g3586.t1
g3579,scaffold_10,A,g3579.t1
g3471,scaffold_10,A,g3471.t1
g3580,scaffold_10,A,g3580.t1
g3432,scaffold_10,A,g3432.t1
g3424,scaffold_10,A,g3424.t1
g15303,scaffold_100,A,g15303.t1
g15319,scaffold_100,A,g15319.t1
g15319,scaffold_100,A,g15319.t2
g15293,scaffold_100,A,g15293.t1
g15294,scaffold_100,A,g15294.t1
g15310,scaffold_100,A,g15310.t1
g15333,scaffold_100,A,g15333.t1
g15317,scaffold_100,A,g15317.t1
g15302,scaffold_100,A,g15302.t1
g15340,scaffold_100,A,g15340.t1
g15328,scaffold_100,A,g15328.t1
g15328,scaffold_100,A,g15328.t2
g15328,scaffold_100,A,g15328.t3
g15305,scaffold_100,A,g15305.t1
g15330,scaffold_100,A,g15330.t1
g15301,scaffold_100,A,g15301.t1
g15337,scaffold_100,A,g15337.t1
g15321,scaffold_100,A,g15321.t1
g15309,scaffold_100,A,g15309.t1
g15306,scaffold_100,A,g15306.t1
g15300,scaffold_100,A,g15300.t1
g15327,scaffold_100,A,g15327.t1
g15329,scaffold_100,A,g15329.t1
g15311,scaffold_100,A,g15311.t1
g15316,scaffold_100,A,g15316.t1
g15341,scaffold_100,A,g15341.t1
g15308,scaffold_100,A,g15308.t1
g15292,scaffold_100,A,g15292.t1
g15298,scaffold_100,A,g15298.t1
g15312,scaffold_100,A,g15312.t1
g15336,scaffold_100,A,g15336.t1
g15297,scaffold_100,A,g15297.t1
g15299,scaffold_100,A,g15299.t1
g15338,scaffold_100,A,g15338.t1
g15331,scaffold_100,A,g15331.t1
g15339,scaffold_100,A,g15339.t1
g15318,scaffold_100,A,g15318.t1
g15314,scaffold_100,A,g15314.t1
g15296,scaffold_100,A,g15296.t1
g15315,scaffold_100,A,g15315.t1
g15307,scaffold_100,A,g15307.t1
g15307,scaffold_100,A,g15307.t2
g15307,scaffold_100,A,g15307.t3
g15332,scaffold_100,A,g15332.t1
g15334,scaffold_100,A,g15334.t1
g15323,scaffold_100,A,g15323.t1
g15313,scaffold_100,A,g15313.t1
g15320,scaffold_100,A,g15320.t1
g15322,scaffold_100,A,g15322.t1
g15322,scaffold_100,A,g15322.t2
g15322,scaffold_100,A,g15322.t3
g15325,scaffold_100,A,g15325.t1
g15326,scaffold_100,A,g15326.t1
g15295,scaffold_100,A,g15295.t1
g15304,scaffold_100,A,g15304.t1
g15335,scaffold_100,A,g15335.t1
g15324,scaffold_100,A,g15324.t1
g19187,scaffold_1000,B2,g19187.t1
g9416,scaffold_1003,A,g9416.t1
g20839,scaffold_1004,A,g20839.t1
g20838,scaffold_1004,A,g20838.t1
g2373,scaffold_1006,A,g2373.t1
g22724,scaffold_1008,A,g22724.t1
g7018,scaffold_1009,A,g7018.t1
g9456,scaffold_101,A,g9456.t1
g9459,scaffold_101,A,g9459.t1
g9492,scaffold_101,A,g9492.t1
g9457,scaffold_101,A,g9457.t1
g9466,scaffold_101,A,g9466.t1
g9491,scaffold_101,A,g9491.t1
g9460,scaffold_101,A,g9460.t1
g9469,scaffold_101,A,g9469.t1
g9458,scaffold_101,A,g9458.t1
g9470,scaffold_101,A,g9470.t1
g9464,scaffold_101,A,g9464.t1
g9472,scaffold_101,A,g9472.t1
g9472,scaffold_101,A,g9472.t2
g9461,scaffold_101,A,g9461.t1
g9474,scaffold_101,A,g9474.t1
g9474,scaffold_101,A,g9474.t2
g9468,scaffold_101,A,g9468.t1
g9476,scaffold_101,A,g9476.t1
g9465,scaffold_101,A,g9465.t1
g9478,scaffold_101,A,g9478.t1
g9479,scaffold_101,A,g9479.t1
g9515,scaffold_101,A,g9515.t1
g9480,scaffold_101,A,g9480.t1
g9505,scaffold_101,A,g9505.t1
g9482,scaffold_101,A,g9482.t1
g9482,scaffold_101,A,g9482.t2
g9496,scaffold_101,A,g9496.t1
g9484,scaffold_101,A,g9484.t1
g9485,scaffold_101,A,g9485.t1
g9486,scaffold_101,A,g9486.t1
g9475,scaffold_101,A,g9475.t1
g9488,scaffold_101,A,g9488.t1
g9489,scaffold_101,A,g9489.t1
g9525,scaffold_101,A,g9525.t1
g9525,scaffold_101,A,g9525.t2
g9525,scaffold_101,A,g9525.t3
g9525,scaffold_101,A,g9525.t4
g9526,scaffold_101,A,g9526.t1
g9526,scaffold_101,A,g9526.t2
g9527,scaffold_101,A,g9527.t1
g9528,scaffold_101,A,g9528.t1
g9529,scaffold_101,A,g9529.t1
g9494,scaffold_101,A,g9494.t1
g9494,scaffold_101,A,g9494.t2
g9495,scaffold_101,A,g9495.t1
g9530,scaffold_101,A,g9530.t1
g9497,scaffold_101,A,g9497.t1
g9498,scaffold_101,A,g9498.t1
g9499,scaffold_101,A,g9499.t1
g9463,scaffold_101,A,g9463.t1
g9535,scaffold_101,A,g9535.t1
g9500,scaffold_101,A,g9500.t1
g9501,scaffold_101,A,g9501.t1
g9467,scaffold_101,A,g9467.t1
g9503,scaffold_101,A,g9503.t1
g9504,scaffold_101,A,g9504.t1
g9540,scaffold_101,A,g9540.t1
g9506,scaffold_101,A,g9506.t1
g9507,scaffold_101,A,g9507.t1
g9508,scaffold_101,A,g9508.t1
g9509,scaffold_101,A,g9509.t1
g9473,scaffold_101,A,g9473.t1
g9510,scaffold_101,A,g9510.t1
g9511,scaffold_101,A,g9511.t1
g9477,scaffold_101,A,g9477.t1
g9513,scaffold_101,A,g9513.t1
g9513,scaffold_101,A,g9513.t2
g9514,scaffold_101,A,g9514.t1
g9490,scaffold_101,A,g9490.t1
g9516,scaffold_101,A,g9516.t1
g9517,scaffold_101,A,g9517.t1
g9518,scaffold_101,A,g9518.t1
g9519,scaffold_101,A,g9519.t1
g9483,scaffold_101,A,g9483.t1
g9483,scaffold_101,A,g9483.t2
g9483,scaffold_101,A,g9483.t3
g9520,scaffold_101,A,g9520.t1
g9521,scaffold_101,A,g9521.t1
g9521,scaffold_101,A,g9521.t2
g9487,scaffold_101,A,g9487.t1
g9523,scaffold_101,A,g9523.t1
g9524,scaffold_101,A,g9524.t1
g9536,scaffold_101,A,g9536.t1
g9537,scaffold_101,A,g9537.t1
g9538,scaffold_101,A,g9538.t1
g9502,scaffold_101,A,g9502.t1
g9539,scaffold_101,A,g9539.t1
g9493,scaffold_101,A,g9493.t1
g9541,scaffold_101,A,g9541.t1
g9542,scaffold_101,A,g9542.t1
g9531,scaffold_101,A,g9531.t1
g9532,scaffold_101,A,g9532.t1
g9533,scaffold_101,A,g9533.t1
g9462,scaffold_101,A,g9462.t1
g9547,scaffold_101,A,g9547.t1
g9548,scaffold_101,A,g9548.t1
g9512,scaffold_101,A,g9512.t1
g9549,scaffold_101,A,g9549.t1
g9546,scaffold_101,A,g9546.t1
g9543,scaffold_101,A,g9543.t1
g9471,scaffold_101,A,g9471.t1
g9481,scaffold_101,A,g9481.t1
g9544,scaffold_101,A,g9544.t1
g9522,scaffold_101,A,g9522.t1
g9534,scaffold_101,A,g9534.t1
g9534,scaffold_101,A,g9534.t2
g9545,scaffold_101,A,g9545.t1
g2937,scaffold_1010,A,g2937.t1
g2936,scaffold_1010,A,g2936.t1
g5653,scaffold_1013,A,g5653.t1
g5651,scaffold_1013,A,g5651.t1
g5652,scaffold_1013,A,g5652.t1
g3598,scaffold_1016,A,g3598.t1
g3600,scaffold_1016,A,g3600.t1
g3599,scaffold_1016,A,g3599.t1
g5991,scaffold_1017,A,g5991.t1
g12684,scaffold_1018,A,g12684.t1
g21053,scaffold_1019,B3,g21053.t1
g21053,scaffold_1019,B3,g21053.t2
g21054,scaffold_1019,B3,g21054.t1
g6467,scaffold_102,A,g6467.t1
g6465,scaffold_102,A,g6465.t1
g6502,scaffold_102,A,g6502.t1
g6512,scaffold_102,A,g6512.t1
g6504,scaffold_102,A,g6504.t1
g6481,scaffold_102,A,g6481.t1
g6463,scaffold_102,A,g6463.t1
g6462,scaffold_102,A,g6462.t1
g6464,scaffold_102,A,g6464.t1
g6476,scaffold_102,A,g6476.t1
g6466,scaffold_102,A,g6466.t1
g6501,scaffold_102,A,g6501.t1
g6515,scaffold_102,A,g6515.t1
g6490,scaffold_102,A,g6490.t1
g6505,scaffold_102,A,g6505.t1
g6480,scaffold_102,A,g6480.t1
g6507,scaffold_102,A,g6507.t1
g6508,scaffold_102,A,g6508.t1
g6509,scaffold_102,A,g6509.t1
g6485,scaffold_102,A,g6485.t1
g6498,scaffold_102,A,g6498.t1
g6475,scaffold_102,A,g6475.t1
g6461,scaffold_102,A,g6461.t1
g6461,scaffold_102,A,g6461.t2
g6511,scaffold_102,A,g6511.t1
g6514,scaffold_102,A,g6514.t1
g6478,scaffold_102,A,g6478.t1
g6479,scaffold_102,A,g6479.t1
g6468,scaffold_102,A,g6468.t1
g6469,scaffold_102,A,g6469.t1
g6494,scaffold_102,A,g6494.t1
g6493,scaffold_102,A,g6493.t1
g6484,scaffold_102,A,g6484.t1
g6471,scaffold_102,A,g6471.t1
g6473,scaffold_102,A,g6473.t1
g6487,scaffold_102,A,g6487.t1
g6510,scaffold_102,A,g6510.t1
g6472,scaffold_102,A,g6472.t1
g6500,scaffold_102,A,g6500.t1
g6503,scaffold_102,A,g6503.t1
g6513,scaffold_102,A,g6513.t1
g6516,scaffold_102,A,g6516.t1
g6517,scaffold_102,A,g6517.t1
g6482,scaffold_102,A,g6482.t1
g6506,scaffold_102,A,g6506.t1
g6496,scaffold_102,A,g6496.t1
g6483,scaffold_102,A,g6483.t1
g6488,scaffold_102,A,g6488.t1
g6499,scaffold_102,A,g6499.t1
g6474,scaffold_102,A,g6474.t1
g6477,scaffold_102,A,g6477.t1
g6491,scaffold_102,A,g6491.t1
g6497,scaffold_102,A,g6497.t1
g6497,scaffold_102,A,g6497.t2
g6489,scaffold_102,A,g6489.t1
g6470,scaffold_102,A,g6470.t1
g6495,scaffold_102,A,g6495.t1
g6492,scaffold_102,A,g6492.t1
g6486,scaffold_102,A,g6486.t1
g5581,scaffold_1020,A,g5581.t1
g5580,scaffold_1020,A,g5580.t1
g2358,scaffold_1022,A,g2358.t1
g2361,scaffold_1022,A,g2361.t1
g2359,scaffold_1022,A,g2359.t1
g2362,scaffold_1022,A,g2362.t1
g2360,scaffold_1022,A,g2360.t1
g1545,scaffold_1023,A,g1545.t1
g7435,scaffold_1025,A,g7435.t1
g7434,scaffold_1025,A,g7434.t1
g7433,scaffold_1025,A,g7433.t1
g6286,scaffold_1026,A,g6286.t1
g8483,scaffold_1028,A,g8483.t1
g2452,scaffold_1029,A,g2452.t1
g10538,scaffold_103,A,g10538.t1
g10533,scaffold_103,A,g10533.t1
g10545,scaffold_103,A,g10545.t1
g10516,scaffold_103,A,g10516.t1
g10517,scaffold_103,A,g10517.t1
g10557,scaffold_103,A,g10557.t1
g10557,scaffold_103,A,g10557.t2
g10515,scaffold_103,A,g10515.t1
g10555,scaffold_103,A,g10555.t1
g10528,scaffold_103,A,g10528.t1
g10519,scaffold_103,A,g10519.t1
g10553,scaffold_103,A,g10553.t1
g10527,scaffold_103,A,g10527.t1
g10518,scaffold_103,A,g10518.t1
g10537,scaffold_103,A,g10537.t1
g10532,scaffold_103,A,g10532.t1
g10542,scaffold_103,A,g10542.t1
g10530,scaffold_103,A,g10530.t1
g10540,scaffold_103,A,g10540.t1
g10551,scaffold_103,A,g10551.t1
g10511,scaffold_103,A,g10511.t1
g10511,scaffold_103,A,g10511.t2
g10511,scaffold_103,A,g10511.t3
