gene	gene_len	seq
g290	1355	scaffold_137
g291	584	scaffold_137
g292	1994	scaffold_137
g293	1678	scaffold_137
g294	707	scaffold_137
g295	502	scaffold_826
g296	100	scaffold_42
g297	296	scaffold_42
g298	321	scaffold_42
g299	1661	scaffold_42
g300	1315	scaffold_42
g301	538	scaffold_42
g302	1095	scaffold_42
g303	461	scaffold_42
g304	792	scaffold_42
g305	452	scaffold_42
g306	1681	scaffold_42
g307	373	scaffold_42
g308	1216	scaffold_42
g309	423	scaffold_42
g310	1382	scaffold_42
g311	704	scaffold_42
g312	1739	scaffold_42
g313	1537	scaffold_42
g314	1376	scaffold_42
g315	779	scaffold_42
g316	1778	scaffold_42
g317	1088	scaffold_42
g318	1474	scaffold_42
g319	1400	scaffold_42
g320	1576	scaffold_42
g321	802	scaffold_42
g322	940	scaffold_42
g323	325	scaffold_42
g324	909	scaffold_42
g325	962	scaffold_42
g326	278	scaffold_42
g327	275	scaffold_42
g328	976	scaffold_42
g329	346	scaffold_42
g330	1180	scaffold_42
g331	219	scaffold_42
g332	3331	scaffold_42
g333	785	scaffold_42
g334	1386	scaffold_42
g335	565	scaffold_42
g336	281	scaffold_42
g337	388	scaffold_42
g338	515	scaffold_42
g339	3312	scaffold_42
g340	392	scaffold_42
g341	804	scaffold_42
g342	1303	scaffold_42
g343	242	scaffold_42
g344	302	scaffold_42
g345	1662	scaffold_42
g346	1741	scaffold_42
g347	1665	scaffold_42
g348	218	scaffold_42
g349	3909	scaffold_42
g350	417	scaffold_42
g351	1183	scaffold_42
g352	2120	scaffold_42
g353	2124	scaffold_42
g354	2124	scaffold_42
g355	2477	scaffold_42
g356	533	scaffold_42
g357	1667	scaffold_42
g358	447	scaffold_42
g359	686	scaffold_42
g360	393	scaffold_42
g361	201	scaffold_42
g362	310	scaffold_616
g363	250	scaffold_616
g364	1098	scaffold_616
g365	1074	scaffold_616
g366	1071	scaffold_616
g367	1077	scaffold_616
g368	574	scaffold_616
g369	391	scaffold_616
g370	943	scaffold_616
g371	1277	scaffold_616
g372	983	scaffold_616
g373	353	scaffold_861
g374	1201	scaffold_861
g375	1343	scaffold_861
g376	558	scaffold_861
g377	893	scaffold_260
g378	550	scaffold_260
g379	398	scaffold_260
g380	449	scaffold_260
g381	264	scaffold_260
g382	689	scaffold_260
g383	2952	scaffold_260
g384	673	scaffold_260
g385	435	scaffold_260
g386	506	scaffold_260
g387	932	scaffold_260
g388	468	scaffold_260
g389	5768	scaffold_260
g390	2350	scaffold_260
g391	1925	scaffold_260
g392	295	scaffold_260
g393	1081	scaffold_260
g394	2911	scaffold_260
g395	896	scaffold_260
g396	215	scaffold_260
g397	338	scaffold_260
g398	415	scaffold_260
g399	231	scaffold_260
g400	470	scaffold_260
g401	1147	scaffold_260
g402	424	scaffold_260
g403	353	scaffold_260
g404	2921	scaffold_260
g405	820	scaffold_260
g406	400	scaffold_260
g407	647	scaffold_1758
g408	312	scaffold_806
g409	715	scaffold_806
g410	271	scaffold_548
g411	3035	scaffold_548
g412	960	scaffold_548
g413	1399	scaffold_548
g414	1185	scaffold_548
g415	1511	scaffold_548
g416	1331	scaffold_548
g417	782	scaffold_548
g418	742	scaffold_548
g419	736	scaffold_548
g420	685	scaffold_548
g421	923	scaffold_548
g422	279	scaffold_548
g423	744	scaffold_548
g424	1456	scaffold_548
g425	880	scaffold_88
g426	1657	scaffold_88
g427	613	scaffold_88
g428	372	scaffold_88
g429	1448	scaffold_88
g430	1853	scaffold_88
g431	290	scaffold_88
g432	475	scaffold_88
g433	387	scaffold_88
g434	2734	scaffold_88
g435	650	scaffold_88
g436	2209	scaffold_88
g437	1675	scaffold_88
g438	1713	scaffold_88
g439	1221	scaffold_88
g440	1479	scaffold_88
g441	3862	scaffold_88
g442	1184	scaffold_88
g443	362	scaffold_88
g444	604	scaffold_88
g445	2025	scaffold_88
g446	2082	scaffold_88
g447	1631	scaffold_88
g448	2402	scaffold_88
g449	3370	scaffold_88
g450	336	scaffold_88
g451	514	scaffold_88
g452	277	scaffold_88
g453	575	scaffold_88
g454	1559	scaffold_88
g455	382	scaffold_88
g456	218	scaffold_88
g457	1478	scaffold_88
g458	1179	scaffold_88
g459	3284	scaffold_88
g460	2159	scaffold_88
g461	1132	scaffold_88
g462	1194	scaffold_88
g463	1181	scaffold_88
g464	2072	scaffold_88
g465	1402	scaffold_88
g466	1438	scaffold_88
g467	1068	scaffold_88
g468	3437	scaffold_88
g469	3152	scaffold_88
g470	3428	scaffold_88
g471	4685	scaffold_88
g472	2154	scaffold_88
g473	7211	scaffold_88
g474	1059	scaffold_88
g475	5714	scaffold_88
g476	979	scaffold_88
g477	922	scaffold_88
g478	686	scaffold_88
g479	956	scaffold_88
g480	2710	scaffold_88
g481	1571	scaffold_88
g482	2056	scaffold_88
g483	2234	scaffold_88
g484	1223	scaffold_88
g485	1617	scaffold_88
g486	954	scaffold_88
g487	330	scaffold_88
g488	251	scaffold_88
g489	638	scaffold_88
g490	1172	scaffold_88
g491	430	scaffold_88
g492	626	scaffold_88
g493	620	scaffold_1491
g494	899	scaffold_947
g495	3411	scaffold_947
g496	271	scaffold_1789
g497	555	scaffold_1342
g498	696	scaffold_1415
g499	293	scaffold_559
g500	244	scaffold_559
g501	200	scaffold_559
g502	2080	scaffold_559
g503	2043	scaffold_559
g504	304	scaffold_559
g505	1645	scaffold_1924
g506	905	scaffold_816
g507	601	scaffold_816
g508	488	scaffold_942
g509	851	scaffold_384
g510	2023	scaffold_384
g511	2227	scaffold_384
g512	575	scaffold_384
g513	717	scaffold_384
g514	2399	scaffold_384
g515	649	scaffold_384
g516	355	scaffold_384
g517	328	scaffold_384
g518	1301	scaffold_384
g519	4093	scaffold_384
g520	153	scaffold_262
g521	305	scaffold_262
g522	321	scaffold_262
g523	1109	scaffold_262
g524	1287	scaffold_262
g525	1286	scaffold_262
g526	498	scaffold_262
g527	280	scaffold_262
g528	347	scaffold_262
g529	685	scaffold_262
g530	426	scaffold_262
g531	841	scaffold_262
g532	579	scaffold_262
g533	936	scaffold_262
g534	1554	scaffold_262
g535	2251	scaffold_262
g536	1910	scaffold_262
g537	1349	scaffold_262
g538	2348	scaffold_262
g539	341	scaffold_262
g540	512	scaffold_262
g541	1597	scaffold_262
g542	3554	scaffold_262
g543	993	scaffold_262
g544	1634	scaffold_262
g545	2904	scaffold_262
g546	516	scaffold_262
g547	3141	scaffold_262
g548	853	scaffold_262
g549	997	scaffold_262
g550	628	scaffold_262
g551	1814	scaffold_262
g552	140	scaffold_107
g553	2111	scaffold_107
g554	4888	scaffold_107
g555	4153	scaffold_107
g556	794	scaffold_107
g557	3299	scaffold_107
g558	3650	scaffold_107
g559	1623	scaffold_107
g560	2139	scaffold_107
g561	533	scaffold_107
g562	249	scaffold_107
g563	737	scaffold_107
g564	359	scaffold_107
g565	667	scaffold_107
g566	443	scaffold_107
g567	228	scaffold_107
g568	565	scaffold_107
g569	880	scaffold_107
g570	2618	scaffold_107
g571	975	scaffold_107
g572	918	scaffold_107
g573	1072	scaffold_107
g574	1011	scaffold_107
g575	1612	scaffold_107
g576	1213	scaffold_107
g577	436	scaffold_107
g578	427	scaffold_107
g579	373	scaffold_107
g580	424	scaffold_107
g581	243	scaffold_107
g582	311	scaffold_107
g583	2788	scaffold_107
g584	1639	scaffold_107
g585	364	scaffold_107
g586	603	scaffold_107
g587	616	scaffold_107
g588	305	scaffold_107
g589	812	scaffold_107
g590	540	scaffold_107
g591	292	scaffold_107
g592	1273	scaffold_107
g593	466	scaffold_107
g594	1113	scaffold_592
g595	1177	scaffold_592
g596	350	scaffold_592
g597	606	scaffold_592
g598	2292	scaffold_592
g599	1346	scaffold_592
g600	807	scaffold_592
g601	3711	scaffold_592
g602	307	scaffold_592
g603	305	scaffold_592
g604	1766	scaffold_592
g605	416	scaffold_592
g606	399	scaffold_592
g607	2067	scaffold_592
g608	465	scaffold_592
g609	2786	scaffold_592
g610	433	scaffold_592
g611	2583	scaffold_592
g612	296	scaffold_592
g613	522	scaffold_592
g614	458	scaffold_592
g615	718	scaffold_132
g616	260	scaffold_132
g617	696	scaffold_132
g618	1185	scaffold_132
g619	1038	scaffold_132
g620	574	scaffold_132
g621	636	scaffold_132
g622	281	scaffold_132
g623	234	scaffold_132
g624	1026	scaffold_132
g625	685	scaffold_132
g626	1103	scaffold_132
g627	434	scaffold_132
g628	1030	scaffold_132
g629	839	scaffold_132
g630	386	scaffold_132
g631	1245	scaffold_132
g632	689	scaffold_132
g633	1112	scaffold_132
g634	1718	scaffold_132
g635	702	scaffold_132
g636	1107	scaffold_132
g637	445	scaffold_132
g638	475	scaffold_132
g639	1291	scaffold_132
g640	1466	scaffold_132
g641	1242	scaffold_132
g642	254	scaffold_132
g643	257	scaffold_132
g644	2451	scaffold_132
g645	245	scaffold_132
g646	771	scaffold_132
g647	316	scaffold_132
g648	904	scaffold_132
g649	1000	scaffold_132
g650	1073	scaffold_132
g651	1306	scaffold_132
g652	480	scaffold_132
g653	1219	scaffold_132
g654	938	scaffold_132
g655	1503	scaffold_132
g656	229	scaffold_132
g657	342	scaffold_132
g658	1204	scaffold_132
g659	384	scaffold_132
g660	2341	scaffold_132
g661	994	scaffold_132
g662	424	scaffold_132
g663	593	scaffold_132
g664	1733	scaffold_132
g665	740	scaffold_132
g666	600	scaffold_132
g667	373	scaffold_132
g668	371	scaffold_132
g669	540	scaffold_132
g670	644	scaffold_132
g671	8161	scaffold_132
g672	285	scaffold_132
g673	841	scaffold_132
g674	659	scaffold_132
g675	1810	scaffold_132
g676	409	scaffold_132
g677	734	scaffold_132
g678	577	scaffold_132
g679	4050	scaffold_132
g680	1412	scaffold_132
g681	309	scaffold_132
g682	1361	scaffold_132
g683	581	scaffold_1076
g684	380	scaffold_1076
g685	287	scaffold_1076
g686	305	scaffold_1076
g687	253	scaffold_1076
g688	406	scaffold_1076
g689	503	scaffold_1076
g690	753	scaffold_1076
g691	287	scaffold_1076
g692	305	scaffold_1076
g693	2903	scaffold_56
g694	3164	scaffold_56
g695	1472	scaffold_56
g696	273	scaffold_56
g697	1766	scaffold_56
g698	209	scaffold_56
g699	1449	scaffold_56
g700	1759	scaffold_56
g701	1765	scaffold_56
g702	687	scaffold_56
g703	1869	scaffold_56
g704	2949	scaffold_56
g705	710	scaffold_56
g706	891	scaffold_56
g707	1128	scaffold_56
g708	990	scaffold_56
g709	289	scaffold_56
g710	1602	scaffold_56
g711	459	scaffold_56
g712	5234	scaffold_56
g713	1780	scaffold_56
g714	533	scaffold_56
g715	560	scaffold_56
g716	1015	scaffold_56
g717	963	scaffold_56
g718	1451	scaffold_56
g719	1444	scaffold_56
g720	1596	scaffold_56
g721	1183	scaffold_56
g722	3109	scaffold_56
g723	1160	scaffold_56
g724	3519	scaffold_56
g725	1044	scaffold_56
g726	617	scaffold_56
g727	379	scaffold_56
g728	347	scaffold_56
g729	384	scaffold_56
g730	731	scaffold_56
g731	1136	scaffold_56
g732	1460	scaffold_56
g733	238	scaffold_56
g734	3089	scaffold_56
g735	703	scaffold_56
g736	337	scaffold_56
g737	2195	scaffold_56
g738	1208	scaffold_56
g739	1108	scaffold_56
g740	307	scaffold_56
g741	427	scaffold_56
g742	376	scaffold_56
g743	974	scaffold_140
g744	845	scaffold_140
g745	329	scaffold_140
g746	984	scaffold_140
g747	595	scaffold_140
g748	797	scaffold_140
g749	1154	scaffold_140
g750	1362	scaffold_140
g751	1670	scaffold_140
g752	889	scaffold_140
g753	1519	scaffold_140
g754	919	scaffold_140
g755	1674	scaffold_140
g756	870	scaffold_140
g757	447	scaffold_140
g758	1222	scaffold_140
g759	237	scaffold_140
g760	7646	scaffold_140
g761	426	scaffold_140
g762	421	scaffold_140
g763	3355	scaffold_140
g764	1087	scaffold_140
g765	1183	scaffold_140
g766	1183	scaffold_140
g767	1135	scaffold_140
g768	253	scaffold_140
g769	376	scaffold_140
g770	268	scaffold_140
g771	224	scaffold_140
g772	504	scaffold_140
g773	679	scaffold_140
g774	1297	scaffold_140
g775	1183	scaffold_140
g776	1153	scaffold_140
g777	548	scaffold_140
g778	242	scaffold_140
g779	684	scaffold_140
g780	347	scaffold_140
g781	301	scaffold_140
g782	1207	scaffold_140
g783	1198	scaffold_140
g784	675	scaffold_140
g785	490	scaffold_140
g786	2162	scaffold_140
g787	586	scaffold_140
g788	891	scaffold_140
g789	1898	scaffold_140
g790	1565	scaffold_140
g791	2267	scaffold_140
g792	2264	scaffold_140
g793	4190	scaffold_140
g794	2559	scaffold_140
g795	3091	scaffold_140
g796	1441	scaffold_140
g797	1427	scaffold_140
g798	1454	scaffold_140
g799	1436	scaffold_140
g800	1412	scaffold_140
g801	343	scaffold_140
g802	1736	scaffold_140
g803	811	scaffold_140
g804	814	scaffold_140
g805	842	scaffold_140
g806	722	scaffold_140
g807	425	scaffold_140
g808	647	scaffold_140
g809	362	scaffold_140
g810	834	scaffold_140
g811	328	scaffold_140
g812	633	scaffold_140
g813	333	scaffold_140
g814	571	scaffold_140
g815	4587	scaffold_140
g816	1813	scaffold_140
g817	1389	scaffold_140
g818	1067	scaffold_1226
g819	1096	scaffold_1226
g820	2000	scaffold_1226
g821	1661	scaffold_127
g822	947	scaffold_127
g823	944	scaffold_127
g824	359	scaffold_127
g825	1352	scaffold_127
g826	1559	scaffold_127
g827	2277	scaffold_127
g828	820	scaffold_127
g829	4287	scaffold_127
g830	1655	scaffold_127
g831	12260	scaffold_127
g832	595	scaffold_127
g833	577	scaffold_127
g834	1130	scaffold_127
g835	226	scaffold_127
g836	767	scaffold_127
g837	521	scaffold_127
g838	1982	scaffold_127
g839	546	scaffold_127
g840	665	scaffold_127
g841	2255	scaffold_127
g842	562	scaffold_127
g843	453	scaffold_127
g844	596	scaffold_127
g845	488	scaffold_127
g846	265	scaffold_127
g847	537	scaffold_127
g848	869	scaffold_127
g849	7048	scaffold_127
g850	3516	scaffold_127
g851	478	scaffold_127
g852	957	scaffold_127
g853	545	scaffold_127
g854	2615	scaffold_127
g855	5379	scaffold_127
g856	269	scaffold_127
g857	2180	scaffold_127
g858	1807	scaffold_127
g859	2958	scaffold_127
g860	2937	scaffold_127
g861	280	scaffold_1035
g862	472	scaffold_158
g863	1931	scaffold_158
g864	441	scaffold_158
g865	475	scaffold_158
g866	965	scaffold_158
g867	1368	scaffold_158
g868	489	scaffold_158
g869	538	scaffold_158
g870	1969	scaffold_158
g871	716	scaffold_158
g872	2129	scaffold_158
g873	380	scaffold_158
g874	1206	scaffold_158
g875	847	scaffold_158
g876	233	scaffold_158
g877	407	scaffold_158
g878	374	scaffold_158
g879	371	scaffold_158
g880	308	scaffold_158
g881	620	scaffold_158
g882	3005	scaffold_158
g883	826	scaffold_158
g884	1325	scaffold_158
g885	322	scaffold_158
g886	605	scaffold_158
g887	2010	scaffold_158
g888	1935	scaffold_158
g889	558	scaffold_158
g890	2051	scaffold_158
g891	433	scaffold_158
g892	1224	scaffold_158
g893	1122	scaffold_158
g894	236	scaffold_158
g895	2411	scaffold_158
g896	1456	scaffold_158
g897	221	scaffold_158
g898	1589	scaffold_158
g899	893	scaffold_158
g900	775	scaffold_158
g901	1764	scaffold_158
g902	1370	scaffold_158
g903	2353	scaffold_158
g904	1517	scaffold_158
g905	1325	scaffold_158
g906	1328	scaffold_158
g907	1010	scaffold_158
g908	1328	scaffold_158
g909	1074	scaffold_828
g910	427	scaffold_828
g911	295	scaffold_828
g912	537	scaffold_675
g913	2488	scaffold_675
g914	351	scaffold_675
g915	177	scaffold_2167
g916	109	scaffold_536
g917	539	scaffold_536
g918	1646	scaffold_536
g919	1376	scaffold_536
g920	2386	scaffold_536
g921	203	scaffold_536
g922	1526	scaffold_536
g923	224	scaffold_536
g924	1522	scaffold_536
g925	1231	scaffold_1031
g926	2577	scaffold_1031
g927	2372	scaffold_1031
g928	6225	scaffold_603
g929	548	scaffold_603
g930	333	scaffold_603
g931	1392	scaffold_603
g932	705	scaffold_603
g933	1751	scaffold_603
g934	518	scaffold_603
g935	7745	scaffold_603
g936	1484	scaffold_603
g937	518	scaffold_603
g938	448	scaffold_603
g939	218	scaffold_875
g940	218	scaffold_875
g941	218	scaffold_875
g942	1158	scaffold_1328
g943	589	scaffold_1328
g944	472	scaffold_1458
g945	475	scaffold_1458
g946	958	scaffold_699
g947	366	scaffold_699
g948	413	scaffold_699
g949	1598	scaffold_699
g950	1931	scaffold_699
g951	224	scaffold_699
g952	1432	scaffold_699
g953	231	scaffold_699
g954	974	scaffold_697
g955	333	scaffold_697
g956	337	scaffold_697
g957	1519	scaffold_1214
g958	59	scaffold_988
g959	1429	scaffold_988
g960	284	scaffold_253
g961	218	scaffold_253
g962	572	scaffold_253
g963	198	scaffold_253
g964	3368	scaffold_253
g965	1240	scaffold_253
g966	209	scaffold_253
g967	2227	scaffold_253
g968	646	scaffold_253
g969	348	scaffold_253
g970	8145	scaffold_253
g971	1342	scaffold_253
g972	1072	scaffold_253
g973	767	scaffold_253
g974	788	scaffold_253
g975	227	scaffold_253
g976	1494	scaffold_253
g977	1622	scaffold_253
g978	1605	scaffold_253
g979	864	scaffold_253
g980	1613	scaffold_253
g981	5976	scaffold_253
g982	1031	scaffold_253
g983	2999	scaffold_253
g984	1963	scaffold_253
g985	1828	scaffold_253
g986	930	scaffold_253
g987	955	scaffold_253
g988	2627	scaffold_253
g989	571	scaffold_253
g990	725	scaffold_1966
g991	365	scaffold_832
g992	1105	scaffold_832
g993	272	scaffold_832
g994	644	scaffold_832
g995	627	scaffold_832
g996	236	scaffold_832
g997	1322	scaffold_832
g998	5149	scaffold_832
g999	1892	scaffold_832
g1000	237	scaffold_832
g1001	2399	scaffold_197
g1002	1005	scaffold_197
g1003	479	scaffold_197
g1004	661	scaffold_197
g1005	247	scaffold_197
g1006	300	scaffold_197
g1007	499	scaffold_197
g1008	584	scaffold_197
g1009	435	scaffold_197
g1010	401	scaffold_197
g1011	433	scaffold_197
g1012	211	scaffold_197
g1013	448	scaffold_197
g1014	2081	scaffold_197
g1015	223	scaffold_197
g1016	796	scaffold_197
g1017	1712	scaffold_197
g1018	439	scaffold_197
g1019	1005	scaffold_197
g1020	2042	scaffold_197
g1021	358	scaffold_197
g1022	1408	scaffold_197
g1023	919	scaffold_197
g1024	283	scaffold_197
g1025	665	scaffold_197
g1026	901	scaffold_197
g1027	373	scaffold_197
g1028	383	scaffold_197
g1029	1433	scaffold_197
g1030	791	scaffold_197
g1031	1568	scaffold_197
g1032	1881	scaffold_197
g1033	1649	scaffold_197
g1034	277	scaffold_197
g1035	1682	scaffold_197
g1036	2932	scaffold_197
g1037	266	scaffold_197
g1038	1132	scaffold_197
g1039	2740	scaffold_197
g1040	3240	scaffold_197
g1041	736	scaffold_197
g1042	2222	scaffold_197
g1043	1440	scaffold_197
g1044	2419	scaffold_197
g1045	801	scaffold_197
g1046	356	scaffold_197
g1047	1406	scaffold_197
g1048	952	scaffold_197
g1049	1320	scaffold_197
g1050	1180	scaffold_197
g1051	4278	scaffold_197
g1052	3194	scaffold_197
g1053	438	scaffold_197
g1054	1529	scaffold_197
g1055	2039	scaffold_197
g1056	875	scaffold_197
g1057	6037	scaffold_197
g1058	798	scaffold_197
g1059	910	scaffold_197
g1060	602	scaffold_197
g1061	1232	scaffold_197
g1062	340	scaffold_197
g1063	230	scaffold_197
g1064	592	scaffold_197
g1065	749	scaffold_197
g1066	284	scaffold_197
g1067	197	scaffold_197
g1068	1466	scaffold_197
g1069	335	scaffold_197
g1070	523	scaffold_197
g1071	663	scaffold_197
g1072	242	scaffold_197
g1073	5569	scaffold_197
g1074	835	scaffold_197
g1075	1642	scaffold_197
g1076	1543	scaffold_197
g1077	1531	scaffold_197
g1078	1444	scaffold_197
g1079	196	scaffold_197
g1080	1184	scaffold_197
g1081	426	scaffold_197
g1082	121	scaffold_414
g1083	211	scaffold_414
g1084	295	scaffold_414
g1085	467	scaffold_414
g1086	4112	scaffold_414
g1087	347	scaffold_414
g1088	4296	scaffold_414
g1089	209	scaffold_400
g1090	1648	scaffold_400
g1091	2596	scaffold_400
g1092	367	scaffold_400
g1093	1119	scaffold_400
g1094	1189	scaffold_884
g1095	449	scaffold_884
g1096	1529	scaffold_389
g1097	1310	scaffold_389
g1098	1327	scaffold_389
g1099	249	scaffold_389
g1100	887	scaffold_389
g1101	1482	scaffold_389
g1102	558	scaffold_389
g1103	1084	scaffold_389
g1104	659	scaffold_389
g1105	5752	scaffold_389
g1106	702	scaffold_389
g1107	278	scaffold_389
g1108	1816	scaffold_389
g1109	1905	scaffold_389
